name				dknight
	frame	data/chars/dknight/pain101.gif
	frame	data/chars/dknight/pain101.gif
	move	-2
	frame	data/chars/dknight/pain101.gif
	frame	data/chars/dknight/pain101.gif
	move	-1
	frame	data/chars/dknight/pain101.gif
	frame	data/chars/dknight/pain101.gif
	move	-1
	frame	data/chars/dknight/pain101.gif
	frame	data/chars/dknight/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif

anim fall4
	shadowcoords 215 200
	dropframe	16
	landframe	17
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	frame	data/chars/misc/shock/101.gif
	frame	data/chars/misc/shock/102.gif
	frame	data/chars/misc/shock/103.gif
	delay   999
	frame	data/chars/dknight/fall01.gif
	frame	data/chars/dknight/fall01.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall01.wav
	frame	data/chars/dknight/fall01.gif
	delay	40
	frame	data/chars/dknight/rise01.gif

anim rise4
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/dknight/jdel00.gif

anim death4
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay   8
	frame	data/chars/dknight/rise02.gif
	frame	data/chars/dknight/rise00.gif

#----------------------------------------SHOCK ATTACK----------------------------------------;

#----------------------------------------FREEZE ATTACK----------------------------------------;

anim pain5
	shadowcoords 215 200
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/freeze/101.gif
	delay   5
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/misc/freeze/101.gif
	delay   4
	frame	data/chars/dknight/pain101.gif
	delay   3
	frame	data/chars/misc/freeze/101.gif
	delay   3
	frame	data/chars/dknight/pain101.gif
	delay   4
	frame	data/chars/misc/freeze/101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   5
	frame	data/chars/misc/freeze/101.gif
	delay   1
	frame	data/chars/dknight/pain101.gif

	delay   50
	frame	data/chars/misc/freeze/101.gif

	delay   5
	frame	data/chars/misc/freeze/101.gif
	delay   1
	frame	data/chars/dknight/pain101.gif
	delay   4
	frame	data/chars/misc/freeze/101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   3
	frame	data/chars/misc/freeze/101.gif
	delay   3
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/misc/freeze/101.gif
	delay   4
	frame	data/chars/dknight/pain101.gif
	delay   1
	frame	data/chars/misc/freeze/101.gif
	delay   5
	frame	data/chars/dknight/pain101.gif
	bbox		0 0 0 0
	frame	data/chars/dknight/pain101.gif
	frame	data/chars/dknight/fall01.gif
	delay   70
	frame	data/chars/dknight/rise00.gif
	delay	10
	frame	data/chars/dknight/rise01.gif
	delay	8
	frame	data/chars/dknight/jdel00.gif

anim fall5
	shadowcoords 215 200
	subentity	dust01
	spawnframe	11 0 0 0 0
	jumpframe	0 1 -1
	landframe	11
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/freeze/101.gif
	delay   5
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/misc/freeze/101.gif
	delay   4
	frame	data/chars/dknight/pain101.gif
	delay   3
	frame	data/chars/misc/freeze/101.gif
	delay   3
	frame	data/chars/dknight/pain101.gif
	delay   4
	frame	data/chars/misc/freeze/101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   5
	frame	data/chars/misc/freeze/101.gif
	delay   1
	frame	data/chars/dknight/pain101.gif

	delay   999
	frame	data/chars/misc/freeze/101.gif
	delay   1
	frame	data/chars/misc/freeze/101.gif

anim rise5
	shadowcoords 215 200
	loop	0
	 offset     225 198

	bbox		212 143 30 55
	delay   50
	frame	data/chars/misc/freeze/101.gif
	delay   5
	frame	data/chars/misc/freeze/101.gif
	delay   1
	frame	data/chars/dknight/pain101.gif
	delay   4
	frame	data/chars/misc/freeze/101.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   3
	frame	data/chars/misc/freeze/101.gif
	delay   3
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/misc/freeze/101.gif
	delay   4
	frame	data/chars/dknight/pain101.gif
	delay   1
	frame	data/chars/misc/freeze/101.gif
	delay   5
	frame	data/chars/dknight/pain101.gif
	bbox		0 0 0 0
	frame	data/chars/dknight/pain101.gif
	frame	data/chars/dknight/fall01.gif
	delay   70
	frame	data/chars/dknight/rise00.gif
	delay	10
	frame	data/chars/dknight/rise01.gif
	delay	8
	frame	data/chars/dknight/jdel00.gif

	
anim death5
	shadowcoords 215 200
	loop	0
	 offset     225 198

	delay   50
	frame	data/chars/misc/freeze/101.gif
	delay   5
	frame	data/chars/misc/freeze/101.gif
	delay   1
	frame	data/chars/misc/empty.gif
	delay   4
	frame	data/chars/misc/freeze/101.gif
	delay   2
	frame	data/chars/misc/empty.gif
	delay   3
	frame	data/chars/misc/freeze/101.gif
	delay   3
	frame	data/chars/misc/empty.gif
	delay   2
	frame	data/chars/misc/freeze/101.gif
	delay   4
	frame	data/chars/misc/empty.gif
	delay   1
	frame	data/chars/misc/freeze/101.gif
	delay   5
	frame	data/chars/misc/empty.gif

#----------------------------------------FREEZE ATTACK----------------------------------------;


#----------------------------------------POLYMORPH ATTACK----------------------------------------;

anim pain6
	shadowcoords 215 200
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/poly/frog01.gif
	delay   5
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog01.gif
	delay   4
	frame	data/chars/dknight/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog01.gif
	delay   3
	frame	data/chars/dknight/pain101.gif
	delay   4
	frame	data/chars/misc/poly/frog01.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   5
	frame	data/chars/misc/poly/frog01.gif
	delay   1
	frame	data/chars/dknight/pain101.gif

	delay   8
	frame	data/chars/misc/poly/frog01.gif
	frame	data/chars/misc/poly/frog02.gif
	frame	data/chars/misc/poly/frog03.gif
	frame	data/chars/misc/poly/frog04.gif
	frame	data/chars/misc/poly/frog05.gif
	frame	data/chars/misc/poly/frog06.gif
	frame	data/chars/misc/poly/frog07.gif
	delay   200
	frame	data/chars/misc/poly/frog08.gif

	delay   5
	frame	data/chars/misc/poly/frog08.gif
	delay   1
	frame	data/chars/dknight/pain101.gif
	delay   4
	frame	data/chars/misc/poly/frog08.gif
	delay   2
	frame	data/chars/dknight/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog08.gif
	delay   3
	frame	data/chars/dknight/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog08.gif
	delay   4
	frame	data/chars/dknight/pain101.gif
	delay   1
	frame	data/chars/misc/poly/frog08.gif
	delay   5
	frame	data/chars/dknight/pain101.gif

anim fall6
	shadowcoords 215 200
	subentity	dust01
	spawnframe	11 0 0 0 0
