name	    		Carlos
       frame      data/chars/carlos/jump01.gif
	 delay      24
       frame      data/chars/carlos/jump02.gif
	 delay      7
       frame      data/chars/carlos/fjump01.gif
       frame      data/chars/carlos/fjump02.gif
       frame      data/chars/carlos/fjump03.gif
       frame      data/chars/carlos/jump02.gif
	 delay      999
       frame      data/chars/carlos/jump01.gif


anim jumpland
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/carlos/land01.gif

anim jumpattack
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/carlos/carlos02.wav
	 delay      5
       frame      data/chars/carlos/jump02.gif
	 delay      7
       frame      data/chars/carlos/ja101.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 87 	41 		91 		10 			1 		0 		0 			25			15
	 delay      35
	 frame	data/chars/carlos/ja102.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      7
       frame      data/chars/carlos/ja101.gif
	 delay      5
       frame      data/chars/carlos/jump02.gif
	 delay      999
       frame      data/chars/carlos/jump01.gif

anim jumpforward
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/carlos/carlos02.wav
	 delay      5
       frame      data/chars/carlos/jump02.gif
	 delay      7
       frame      data/chars/carlos/ja201.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 115 54 		63 		10 			1 		0 		0 			25			15
	 delay      35
	 frame	data/chars/carlos/ja202.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      7
       frame      data/chars/carlos/ja201.gif
	 delay      5
       frame      data/chars/carlos/jump02.gif
	 delay      999
       frame      data/chars/carlos/jump01.gif

anim jumpattack2
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat1.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 89 	17 		89 		5 			0 		0 		0 			20			15
	 delay      999
	 frame	data/chars/carlos/ja301.gif


anim grab
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      6
       frame      data/chars/carlos/grab01.gif

anim grabattack
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 113 32 		65 		5 			0 		0 		0 			20			0
       frame      data/chars/carlos/th101.gif

anim grabattack2
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 113 32 		65 		10 			1 		0 		0 			25			0
       frame      data/chars/carlos/th101.gif

anim grabbackward
	 jumpframe 4 2 0.5
	 landframe  8
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/carlos/carlos03.wav
	attackone	0
	
	 delay      35
	@cmd slamstart
	@cmd position 0 1 1 0 1
       frame      data/chars/carlos/th201.gif
	 delay      30
	@cmd position 1 15 -20 0 1
      frame      data/chars/carlos/th202.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 10 1 -2.5 2.5 0 1
	@cmd clearL
	damageonlanding 2 1
	 delay      55
       frame      data/chars/carlos/th203.gif
	 delay      12
       frame      data/chars/carlos/th204.gif

	 delay      6
       frame      data/chars/carlos/th205.gif
 	 delay      8
       frame      data/chars/carlos/th206.gif
       frame      data/chars/carlos/jump01.gif
 	 delay      999
       frame      data/chars/carlos/jump02.gif
 	 delay      10
       frame      data/chars/carlos/land01.gif

anim grabdown
	 jumpframe 4 2 0.5
	 landframe  8
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/carlos/carlos03.wav
	attackone	0
	
	 delay      35
	@cmd slamstart
	@cmd position 0 1 1 0 1
       frame      data/chars/carlos/th201.gif
	 delay      30
	@cmd position 1 15 -20 0 1
      frame      data/chars/carlos/th202.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 10 1 -2.5 2.5 0 1
	@cmd clearL
	damageonlanding 2 1
	 delay      55
       frame      data/chars/carlos/th203.gif
	 delay      12
       frame      data/chars/carlos/th204.gif

	 delay      6
       frame      data/chars/carlos/th205.gif
 	 delay      8
       frame      data/chars/carlos/th206.gif
       frame      data/chars/carlos/jump01.gif
 	 delay      999
       frame      data/chars/carlos/jump02.gif
 	 delay      10
       frame      data/chars/carlos/land01.gif


anim grabforward
	flipframe	0
	 jumpframe 4 2 0.5
	 landframe  8
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/carlos/carlos03.wav
	attackone	0
	
	 delay      35
	@cmd slamstart
	@cmd position 0 1 1 0 1
       frame      data/chars/carlos/th201.gif
	 delay      30
	@cmd position 1 15 -20 0 1
      frame      data/chars/carlos/th202.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 10 1 -2.5 2.5 0 1
	@cmd clearL
	damageonlanding 2 1
	 delay      55
       frame      data/chars/carlos/th203.gif
	 delay      12
       frame      data/chars/carlos/th204.gif

	 delay      6
       frame      data/chars/carlos/th205.gif
 	 delay      8
       frame      data/chars/carlos/th206.gif
       frame      data/chars/carlos/jump01.gif
 	 delay      999
       frame      data/chars/carlos/jump02.gif
 	 delay      10
       frame      data/chars/carlos/land01.gif

anim grabup
	flipframe	0
	 jumpframe 4 2 0.5
	 landframe  8
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/carlos/carlos03.wav
	attackone	0
	
	 delay      35
	@cmd slamstart
	@cmd position 0 1 1 0 1
       frame      data/chars/carlos/th201.gif
	 delay      30
	@cmd position 1 15 -20 0 1
      frame      data/chars/carlos/th202.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 10 1 -2.5 2.5 0 1
	@cmd clearL
	damageonlanding 2 1
	 delay      55
       frame      data/chars/carlos/th203.gif
	 delay      12
       frame      data/chars/carlos/th204.gif

	 delay      6
       frame      data/chars/carlos/th205.gif
 	 delay      8
       frame      data/chars/carlos/th206.gif
       frame      data/chars/carlos/jump01.gif
 	 delay      999
       frame      data/chars/carlos/jump02.gif
 	 delay      10
       frame      data/chars/carlos/land01.gif

anim riseattack1
	jugglecost 	2
	 fastattack 1
	 hitfx   data/sounds/slash1.wav
	 hitflash 	Blood
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0

	 delay      10
       frame      data/chars/carlos/rise01.gif
       frame      data/chars/carlos/get01.gif

	 sound   	data/chars/carlos/carlos03.wav

	 delay      14
       frame      data/chars/carlos/sp01.gif

	 delay      6
       frame      data/chars/carlos/sp02.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	185 85 	55 		93 		10 			1 		1 		0 			25			15
       frame      data/chars/carlos/sp03.gif

	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
	 delay      8
       frame      data/chars/carlos/sp04.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	232 85 	55 		93 		10 			1 		1 		0 			25			15
       frame      data/chars/carlos/sp05.gif

	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
	 delay      6
       frame      data/chars/carlos/sp02.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	185 85 	55 		93 		10 			1 		1 		0 			25			15
       frame      data/chars/carlos/sp03.gif

	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
	 delay      8
       frame      data/chars/carlos/sp04.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	232 85 	55 		93 		10 			1 		1 		0 			25			15
	 delay      12
       frame      data/chars/carlos/sp05.gif

	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
	 delay      25
       frame      data/chars/carlos/sp01.gif

#-----------------NORMAL PUNCH 01-----------------#

anim pain
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/carlos/pain01.gif
	 offset     237 177
       frame      data/chars/carlos/pain01.gif
	 offset     238 177
       frame      data/chars/carlos/pain01.gif
	 offset     239 177
       frame      data/chars/carlos/pain01.gif
	 offset     238 177
       frame      data/chars/carlos/pain01.gif
	 offset     237 177
       frame      data/chars/carlos/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/carlos/pain01.gif

anim fall
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/carlos/fall01.gif
	 delay      1
       frame      data/chars/carlos/fall02.gif


#-----------------NORMAL PUNCH 01-----------------#


#-----------------NORMAL PUNCH 02-----------------#

anim pain2
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/carlos/pain02.gif
	 offset     237 177
       frame      data/chars/carlos/pain02.gif
	 offset     238 177
       frame      data/chars/carlos/pain02.gif
	 offset     239 177
       frame      data/chars/carlos/pain02.gif
	 offset     238 177
       frame      data/chars/carlos/pain02.gif
	 offset     237 177
       frame      data/chars/carlos/pain02.gif
	 offset     238 177
	 delay      12
       frame      data/chars/carlos/pain02.gif

anim fall2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/carlos/fall01.gif
	 delay      1
       frame      data/chars/carlos/fall02.gif

#-----------------NORMAL PUNCH 02-----------------#


#-----------------SPECIAL ATTACK-----------------#

anim pain3
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/carlos/pain01.gif
	 offset     237 177
       frame      data/chars/carlos/pain01.gif
	 offset     238 177
       frame      data/chars/carlos/pain01.gif
	 offset     239 177
       frame      data/chars/carlos/pain01.gif
	 offset     238 177
       frame      data/chars/carlos/pain01.gif
	 offset     237 177
       frame      data/chars/carlos/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/carlos/pain01.gif

anim fall3
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		0 0 0 0
       frame      data/chars/carlos/fall01.gif
	 delay      1
       frame      data/chars/carlos/fall02.gif

#-----------------SPECIAL ATTACK-----------------#

#-----------------THROW LAUNCH-----------------#

anim fall4
#	 jumpframe 	2 2.5 -2
#	 landframe	5
	 flipframe	0 
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0

#-------------------------------------------cody
	 delay      999
       frame      data/chars/carlos/cody01.gif	# 0
	 delay      999
       frame      data/chars/carlos/cody02.gif	# 1
#-------------------------------------------cody
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/carlos/hagg01.gif	# 2
	 delay      999
       frame      data/chars/carlos/hagg02.gif	# 3
 	 delay      999
       frame      data/chars/carlos/hagg03.gif	# 4
	 delay      999
       frame      data/chars/carlos/hagg04.gif	# 5
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/carlos/hagg05.gif	# 6
	 delay      999
       frame      data/chars/carlos/hagg06.gif	# 7
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/carlos/hagg07.gif	# 8
	 delay      999
       frame      data/chars/carlos/hagg08.gif	# 9
	 delay      999
       frame      data/chars/carlos/hagg09.gif	# 10
	 delay      999
       frame      data/chars/carlos/hagg10.gif	# 11
	 delay      999
       frame      data/chars/carlos/hagg11.gif	# 12
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/carlos/hagg12.gif	# 13
	 delay      999
       frame      data/chars/carlos/hagg13.gif	# 14
#-------------------------------------------Haggar
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/carlos/dean01.gif	# 15
	 delay      999
       frame      data/chars/carlos/dean02.gif	# 16
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/carlos/dean03.gif	# 17

	 delay      999
       frame      data/chars/carlos/dean04.gif	# 18

	 delay      999
       frame      data/chars/carlos/dean05.gif	# 19
#-------------------------------------------Dean
	   

#-----------------THROW LAUNCH-----------------#

#-----------------THROW FALL-----------------#

anim fall5
	shadowcoords 238 177
	fastattack	1
	 landframe  1
	 loop       0
	 offset     198 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/carlos/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 offset     238 177
	shadowcoords 238 177
	move	50
	 delay      1
       frame      data/chars/carlos/fall02.gif

#-----------------THROW FALL-----------------#

#-----------------THROW FALL 2-----------------#

anim fall6
	fastattack	1
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/carlos/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 delay      1
       frame      data/chars/carlos/fall02.gif

#-----------------THROW FALL 2-----------------#


#-----------------BURN1-----------------#

anim pain11
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     239 177
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
	 delay      12
       frame      data/chars/carlos/pain01.gif

anim fall11
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
	 delay      999
       frame      data/chars/carlos/fall01.gif
	 delay      1
       frame      data/chars/carlos/fall02.gif

#-----------------BURN1-----------------#

#-----------------BURN2-----------------#

anim pain12
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     239 177
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
	 delay      12
       frame      data/chars/carlos/pain01.gif

anim fall12
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
	 delay      999
       frame      data/chars/carlos/fall01.gif
	 delay      1
       frame      data/chars/carlos/fall02.gif

#-----------------BURN2-----------------#

#-----------------SHOCK-----------------#

anim pain13
	 loop       0
	 offset     238 167
	 bbox		226 102 23 76
	 sound   	data/sounds/shock01.wav
	 delay      2
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     237 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     238 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
