name	Golrio
	frame	data/chars/golrio/162.gif
	offset	66 48
	frame	data/chars/golrio/178.gif
	offset	60 33
	frame	data/chars/golrio/179.gif
		
anim	freespecial
	delay	7
	offset	64 69
	frame	data/chars/golrio/99.gif
	offset	74 66
	frame	data/chars/golrio/100.gif
	attack	1 1 127 63 13 0 1 0 0 0
	offset	69 62
	frame	data/chars/golrio/101.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	41 65
	frame	data/chars/golrio/102.gif
	attack	1 1 127 63 13 0 0 1 0 0
	offset	61 62
	frame	data/chars/golrio/103.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	42 62
	frame	data/chars/golrio/104.gif
	attack	1 1 127 63 13 0 1 0 0 0
	offset	69 62
	frame	data/chars/golrio/101.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	41 65
	frame	data/chars/golrio/102.gif
	attack	1 1 127 63 13 0 0 1 0 0
	offset	61 62
	frame	data/chars/golrio/103.gif
	offset	42 62
	frame	data/chars/golrio/104.gif
	offset	36 85
	frame	data/chars/golrio/105.gif
		
anim	freespecial10
	delay	7
	offset	49 74
	frame	data/chars/golrio/19.gif
	offset	43 86
	frame	data/chars/golrio/20.gif
	offset	40 68
	frame	data/chars/golrio/21.gif
	offset	29 79
	frame	data/chars/golrio/22.gif
		
anim	freespecial2
	delay	7
	offset	32 90
	frame	data/chars/golrio/93.gif
	attack	1 0 159 144 0 0 1 0 0 0
	offset	74 134
	frame	data/chars/golrio/94.gif
	offset	58 135
	frame	data/chars/golrio/95.gif
	attack	0 1 115 87 0 0 1 0 0 0
	offset	56 119
	frame	data/chars/golrio/96.gif
	offset	35 124
	frame	data/chars/golrio/97.gif
	attack	0 0 85 56 0 0 1 0 0 0
	offset	37 106
	frame	data/chars/golrio/98.gif
		
anim	freespecial3
	bbox	0 0 64 102
	delay	7
	offset	32 100
	frame	data/chars/golrio/80.gif
	bbox	71 1 -70 117
	offset	38 116
	frame	data/chars/golrio/81.gif
	bbox	0 0 0 0
	offset	35 125
	frame	data/chars/golrio/82.gif
	offset	39 121
	frame	data/chars/golrio/83.gif
	offset	39 108
	frame	data/chars/golrio/84.gif
	offset	43 120
	frame	data/chars/golrio/85.gif
	offset	39 106
	frame	data/chars/golrio/86.gif
	offset	53 104
	frame	data/chars/golrio/87.gif
	offset	53 104
	frame	data/chars/golrio/88.gif
	offset	9 23
	frame	data/chars/golrio/89.gif
	offset	26 34
	frame	data/chars/golrio/90.gif
	offset	38 21
	frame	data/chars/golrio/91.gif
	offset	44 23
	frame	data/chars/golrio/92.gif
		
anim	get
	offset	35 86
	frame	data/chars/golrio/59.gif
		
anim	idle
	attack	0 0 0 0 0 0 0 0 0 0
	loop	1
	bbox	0 1 83 98
	delay	18
	offset	32 96
	frame	data/chars/golrio/3.gif
	bbox	1 1 79 107
	offset	32 104
	frame	data/chars/golrio/4.gif
	bbox	1 1 90 102
	offset	32 100
	frame	data/chars/golrio/5.gif
		
anim	jump
	offset	41 121
	frame	data/chars/golrio/71.gif
		
anim	jumpattack
	delay	8
	offset	41 121
	frame	data/chars/golrio/71.gif
	attack	91 24 40 54 10 0 1 0 0 0
	bbox	0 0 92 91
	offset	41 121
	frame	data/chars/golrio/72.gif
		
anim	jumpattack2
	bbox	1 0 77 102
	delay	20
	offset	39 122
	frame	data/chars/golrio/65.gif
	attack	75 50 35 43 0 0 1 0 0 0
	bbox	0 1 70 89
	offset	35 124
	frame	data/chars/golrio/66.gif
		
anim	jumpattack3
	offset	23 120
	frame	data/chars/golrio/69.gif
	attack	66 41 21 47 0 0 1 0 0 0
	bbox	0 1 60 93
	offset	23 120
	frame	data/chars/golrio/70.gif
		
anim	lose
	delay	7
	offset	32 98
	frame	data/chars/golrio/27.gif
	offset	30 84
	frame	data/chars/golrio/28.gif
	offset	34 77
	frame	data/chars/golrio/29.gif
	offset	34 78
	frame	data/chars/golrio/30.gif
	offset	32 86
	frame	data/chars/golrio/31.gif
	offset	32 85
	frame	data/chars/golrio/32.gif
	offset	32 84
	frame	data/chars/golrio/33.gif
		
anim	pain
	delay	7
	offset	32 101
	frame	data/chars/golrio/106.gif
	offset	36 105
	frame	data/chars/golrio/107.gif
	offset	36 105
	frame	data/chars/golrio/108.gif
	offset	36 105
	frame	data/chars/golrio/109.gif
	offset	36 105
	frame	data/chars/golrio/110.gif
	offset	36 105
	frame	data/chars/golrio/111.gif
		
anim	pain2
	delay	7
	offset	33 95
	frame	data/chars/golrio/124.gif
	offset	38 96
	frame	data/chars/golrio/125.gif
	offset	38 96
	frame	data/chars/golrio/126.gif
	offset	38 96
	frame	data/chars/golrio/127.gif
	offset	38 96
	frame	data/chars/golrio/128.gif
	offset	38 96
	frame	data/chars/golrio/129.gif
		
anim	respawn
	delay	7
	offset	29 143
	frame	data/chars/golrio/36.gif
	offset	34 144
	frame	data/chars/golrio/37.gif
		
anim	rise
	delay	7
	offset	41 63
	frame	data/chars/golrio/180.gif
	offset	27 78
	frame	data/chars/golrio/181.gif
	offset	32 83
	frame	data/chars/golrio/182.gif
	offset	49 68
	frame	data/chars/golrio/183.gif
		
anim	run
	loop	1
	delay	7
	offset	37 144
	frame	data/chars/golrio/8.gif
	offset	47 140
	frame	data/chars/golrio/9.gif
		
anim	victory
	delay	7
	offset	42 106
	frame	data/chars/golrio/34.gif
	offset	32 123
	frame	data/chars/golrio/35.gif
		
anim	walk
	loop	1
	bbox	1 1 60 105
	delay	20
	offset	25 104
	frame	data/chars/golrio/10.gif
	bbox	0 1 82 105
	offset	34 102
	frame	data/chars/golrio/11.gif
	bbox	1 1 60 108
	offset	24 106
	frame	data/chars/golrio/12.gif
	bbox	0 0 79 106
	offset	32 104
	frame	data/chars/golrio/13.gif
		
#|edited by openBor Stats v 0.67
		
