#West Bridge
music		data/music/saviour.bor
at	2300

spawn	Storm
health  10
map     1
flip    1
item    burger
coords	-100 195
at	2300

spawn	Gale
alias   Hujan
map     1
flip    1
coords	-100 220
at	2300

blockade 2450
at      2450

spawn	BikerT
map     4
flip    0
alias   Badai
coords	400 195
at	2450

wait
at	2450

group   1 1
at      2450

group   1 3
at      2450

spawn	Rider
map     6
coords	460 170
at	2450

spawn	Rider
map     6
coords	460 195
at	2450

spawn	Rider
map     6
coords	460 220
at	2450

spawn	BikerL
alias   Lightning
map     8
flip    1
coords	-100 170
at	2450

spawn	BikerL1
alias   Lightning
map     3
flip    1
coords	-100 195
at	2450

spawn	BikerL
alias   Lightning
map     8
flip    1
coords	-100 215
at	2450

spawn	Rider
map     5
health  80
coords	460 175
at	2450

spawn	Rider2
alias   Rider
map     5
health  80
coords	-100 195
at	2450

spawn	Rider
map     5
health  80
coords	460 220
at	2450

group   100 100
at      2500

spawn	Fence
health  20
2pitem	turkey
coords	-60 220
at	2500

spawn	Fence
health  20
item	turkey
coords	-60 170
at	2500

blockade 2580
at      2680

group	1 1
at	2680

group	3 3
at	2680

spawn	Brian
spawnscript data/scripts/lifebar.c
alias	Bruno
health	500
boss	1
flip    1
aggression 15
coords	-100 195
at	2680

spawn	Joe
alias   Kasuari
map     0
coords	-30 160
at	0

spawn	Joe
alias   Cucak_Rawa
map     1
coords	360 230
at	0

spawn	Joe
alias   Rangkong
map     2
coords	360 160
at	0

spawn	Joe
alias   Elang
map     3
coords	-30 230
at	0

spawn	Joe
alias   Magpie
map     4
coords	-30 160
at	0

spawn	Joe
alias   Robin
map     5
coords	360 230
at	0

spawn	Joe
alias   Eagle
map     0
coords	360 160
at	0

spawn	Joe
alias   Hawk
map     1
coords	-30 230
at	0

spawn	Joe
alias   Camar
map     2
coords	-30 160
at	0

spawn	Joe
alias   Ayam
map     3
coords	360 230
at	0

spawn	Joe
alias   Bebek
map     4
coords	360 160
at	0

spawn	Joe
alias   Angsa
map     5
coords	-30 230
at	0

spawn	Joe
alias   Chicken
map     0
coords	-30 160
at	0

spawn	Joe
alias   Rooster
map     1
coords	360 230
at	0

spawn	Joe
alias   Hen
map     2
coords	360 160
at	0

spawn	Joe
alias   Chick
map     3
coords	-30 230
at	0

spawn	Joe
alias   Itik
map     4
coords	-30 160
at	0

spawn	Joe
alias   Gagak
map     5
coords	360 230
at	0

spawn	Joe
alias   Kakaktua
map     0
coords	360 160
at	0

spawn	Joe
alias   Nuri
map     1
coords	-30 230
at	0

spawn	Joe
alias   Wren
map     2
coords	-30 160
at	0

spawn	Joe
alias   Canary
map     3
coords	360 230
at	0

spawn	Joe
alias   Heron
map     4
coords	360 160
at	0

spawn	Joe
alias   Raven
map     5
coords	-30 230
at	0

spawn	Joe
alias   Betet
map     0
coords	-30 160
at	0

spawn	Joe
alias   Tekukur
map     1
coords	360 230
at	0

spawn	Joe
alias   Rajawali
map     2
coords	360 160
at	0

spawn	Joe
alias   Dadali
map     3
coords	-30 230
at	0

spawn	Joe
alias   Condor
map     4
coords	-30 160
at	0

spawn	Joe
alias   Buzzard
map     5
coords	360 230
at	0

spawn	Joe
alias   Ibis
map     0
coords	360 160
at	0

spawn	Joe
alias   Sparrow
map     1
coords	-30 230
at	0

spawn	Joe
alias   Merpati
map     2
coords	-30 160
at	0

spawn	Joe
alias   Nasar
map     3
coords	360 230
at	0

spawn	Joe
alias   Perkutut
map     4
coords	360 160
at	0

spawn	Joe
alias   Belibis
map     5
coords	-30 230
at	0
