name	    		E._Honda
	@cmd depost 0
	@cmd throw 12 1 -2.5 2.5 0 -1
	@cmd clearL
	damageonlanding 2 1
	 delay      75
       frame      data/chars/honda/th204.gif

	 delay      1
       frame      data/chars/honda/idle01.gif

anim grabdown
	flipframe	9
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	attackone	0
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
 	 sound   	data/chars/honda/honda02.wav
      frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda02.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda02.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda03.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      20
	@cmd position 19 1 1 0 1
      frame      data/chars/honda/th203.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 12 1 -2.5 2.5 0 -1
	@cmd clearL
	damageonlanding 2 1
	 delay      75
       frame      data/chars/honda/th204.gif

	 delay      1
       frame      data/chars/honda/idle01.gif


anim grabforward
	flipframe	0
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	attackone	0
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
 	 sound   	data/chars/honda/honda02.wav
      frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda02.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda02.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda03.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      20
	@cmd position 19 1 1 0 1
      frame      data/chars/honda/th203.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 12 1 -2.5 2.5 0 -1
	@cmd clearL
	damageonlanding 2 1
	 delay      75
       frame      data/chars/honda/th204.gif

	 delay      1
       frame      data/chars/honda/idle01.gif


anim grabup
	flipframe	0
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	attackone	0
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
 	 sound   	data/chars/honda/honda02.wav
      frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda02.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda02.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      45
	 sound   	data/sounds/beat2.wav
@cmd spawn01 "flash" 20 1 -45
	@cmd position 15 -15 11 0 1
      frame      data/chars/honda/th202.gif
	
	 delay      15
	@cmd slamstart
	@cmd position 0 25 20 0 1
	 sound   	data/chars/honda/honda03.wav
       frame      data/chars/honda/th201.gif
	   
	 delay      20
	@cmd position 19 1 1 0 1
      frame      data/chars/honda/th203.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 12 1 -2.5 2.5 0 -1
	@cmd clearL
	damageonlanding 2 1
	 delay      75
       frame      data/chars/honda/th204.gif

	 delay      1
       frame      data/chars/honda/idle01.gif

anim riseattack1
	 jugglecost 100
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/beat2.wav

	 delay      10
       frame      data/chars/honda/get01.gif
       frame      data/chars/honda/land01.gif

	   sound   	data/chars/honda/honda03.wav
	 delay      8
       frame      data/chars/honda/land01.gif
       frame      data/chars/honda/get01.gif

	 delay      6
       frame      data/chars/honda/sp01.gif
	   
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	233 151 59 		35 		12 			1 		1 		0 			30			15
       frame      data/chars/honda/sp02.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/honda/sp03.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	174 151 59 		35 		12 			1 		1 		0 			30			15
       frame      data/chars/honda/sp04.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/honda/sp05.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	233 151 59 		35 		12 			1 		1 		0 			30			15
       frame      data/chars/honda/sp02.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/honda/sp03.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	174 151 59 		35 		12 			1 		1 		0 			30			15
       frame      data/chars/honda/sp04.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/honda/sp05.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	233 151 59 		35 		12 			1 		1 		0 			30			15
       frame      data/chars/honda/sp02.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/honda/sp03.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	174 151 59 		35 		12 			1 		1 		0 			30			15
       frame      data/chars/honda/sp04.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/honda/sp05.gif

	 delay      8
       frame      data/chars/honda/get01.gif
       frame      data/chars/honda/land01.gif


#-----------------NORMAL PUNCH 01-----------------#

anim pain
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/honda/pain01.gif
	 offset     237 177
       frame      data/chars/honda/pain01.gif
	 offset     238 177
       frame      data/chars/honda/pain01.gif
	 offset     239 177
       frame      data/chars/honda/pain01.gif
	 offset     238 177
       frame      data/chars/honda/pain01.gif
	 offset     237 177
       frame      data/chars/honda/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/honda/pain01.gif

anim fall
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/honda/fall01.gif
	 delay      1
       frame      data/chars/honda/fall02.gif


#-----------------NORMAL PUNCH 01-----------------#


#-----------------NORMAL PUNCH 02-----------------#

anim pain2
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/honda/pain02.gif
	 offset     237 177
       frame      data/chars/honda/pain02.gif
	 offset     238 177
       frame      data/chars/honda/pain02.gif
	 offset     239 177
       frame      data/chars/honda/pain02.gif
	 offset     238 177
       frame      data/chars/honda/pain02.gif
	 offset     237 177
       frame      data/chars/honda/pain02.gif
	 offset     238 177
	 delay      12
       frame      data/chars/honda/pain02.gif

anim fall2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/honda/fall01.gif
	 delay      1
       frame      data/chars/honda/fall02.gif

#-----------------NORMAL PUNCH 02-----------------#


#-----------------SPECIAL ATTACK-----------------#

anim pain3
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/honda/pain01.gif
	 offset     237 177
       frame      data/chars/honda/pain01.gif
	 offset     238 177
       frame      data/chars/honda/pain01.gif
	 offset     239 177
       frame      data/chars/honda/pain01.gif
	 offset     238 177
       frame      data/chars/honda/pain01.gif
	 offset     237 177
       frame      data/chars/honda/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/honda/pain01.gif

anim fall3
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		0 0 0 0
       frame      data/chars/honda/fall01.gif
	 delay      1
       frame      data/chars/honda/fall02.gif

#-----------------SPECIAL ATTACK-----------------#

#-----------------THROW LAUNCH-----------------#

anim fall4
#	 jumpframe 	2 2.5 -2
#	 landframe	5
	 flipframe	0 
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0

#-------------------------------------------cody
	 delay      999
       frame      data/chars/honda/cody01.gif	# 0
	 delay      999
       frame      data/chars/honda/cody02.gif	# 1
#-------------------------------------------cody
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/honda/hagg01.gif	# 2
	 delay      999
       frame      data/chars/honda/hagg02.gif	# 3
 	 delay      999
       frame      data/chars/honda/hagg03.gif	# 4
	 delay      999
       frame      data/chars/honda/hagg04.gif	# 5
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/honda/hagg05.gif	# 6
	 delay      999
       frame      data/chars/honda/hagg06.gif	# 7
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/honda/hagg07.gif	# 8
	 delay      999
       frame      data/chars/honda/hagg08.gif	# 9
	 delay      999
       frame      data/chars/honda/hagg09.gif	# 10
	 delay      999
       frame      data/chars/honda/hagg10.gif	# 11
	 delay      999
       frame      data/chars/honda/hagg11.gif	# 12
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/honda/hagg12.gif	# 13
	 delay      999
       frame      data/chars/honda/hagg13.gif	# 14
#-------------------------------------------Haggar
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/honda/dean01.gif	# 15
	 delay      999
       frame      data/chars/honda/dean02.gif	# 16
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/honda/dean03.gif	# 17

	 delay      999
       frame      data/chars/honda/dean04.gif	# 18

	 delay      999
       frame      data/chars/honda/dean05.gif	# 19
#-------------------------------------------Dean
	   

#-----------------THROW LAUNCH-----------------#

#-----------------THROW FALL-----------------#

anim fall5
	shadowcoords 238 177
	fastattack	1
	 landframe  1
	 loop       0
	 offset     198 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/honda/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 offset     238 177
	shadowcoords 238 177
	move	50
	 delay      1
       frame      data/chars/honda/fall02.gif

#-----------------THROW FALL-----------------#

#-----------------THROW FALL 2-----------------#

anim fall6
	fastattack	1
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/honda/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 delay      1
       frame      data/chars/honda/fall02.gif

#-----------------THROW FALL 2-----------------#


#-----------------BURN1-----------------#

anim pain11
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     239 177
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
	 delay      12
       frame      data/chars/honda/pain01.gif

anim fall11
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
	 delay      999
       frame      data/chars/honda/fall01.gif
	 delay      1
       frame      data/chars/honda/fall02.gif

#-----------------BURN1-----------------#

#-----------------BURN2-----------------#

anim pain12
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     239 177
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
	 delay      12
       frame      data/chars/honda/pain01.gif

anim fall12
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
