name	shin
	attack	23 3 97 106 4 0 0 0 0 0
	delay	7
	frame	data/chars/shin/fire3.png
	attack	0 0 0 0 0 0 0 0 0 0
	bbox	34 6 31 70
	offset	31 109
	frame	data/chars/shin/fire4.png
	bbox	34 6 31 70
	offset	31 112
	attack	23 3 97 106 4 0 0 0 0 0
	delay	7
	frame	data/chars/shin/fire5.png
	bbox	34 6 31 70
	offset	31 113
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/shin/fire6.png
	bbox	34 6 31 70
	offset	31 114
	attack	23 3 110 106 4 0 0 0 0 0
	delay	7
	frame	data/chars/shin/fire7.png
	bbox	34 6 31 68
	offset	31 102
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/shin/fire8.png
		
anim	idle
	loop	1
	delay	8
	offset	31 110
	bbox	11 3 36 113
	frame	data/chars/shin/idle000.png
	offset	31 110
	bbox	11 3 36 113
	frame	data/chars/shin/idle001.png
	offset	31 110
	bbox	11 3 36 113
	frame	data/chars/shin/idle002.png
	offset	31 110
	bbox	11 3 36 113
	frame	data/chars/shin/idle003.png
		
anim	jump
	loop	0
	delay	10
	offset	19 121
	bbox	3 3 38 103
	frame	data/chars/shin/jump0.png
	offset	20 133
	bbox	3 0 38 100
	frame	data/chars/shin/jump1.png
	offset	28 136
	delay	10
	bbox	7 1 34 85
	frame	data/chars/shin/jump2.png
		
anim	jumpattack
	sound	data/sounds/Kenshiro/punch000.wav
	loop	0
	delay	7
	offset	23 127
	bbox	6 0 37 79
	frame	data/chars/shin/jpunch0.png
	offset	30 117
	attack	50 23 55 48 7 0 0 0 0 0
	bbox	14 2 33 69
	frame	data/chars/shin/jpunch1.png
		
anim	land
	loop	0
	delay	25
	offset	22 130
	bbox	7 11 31 88
	frame	data/chars/shin/jump3.png
		
anim	pain
	loop	0
	offset	32 109
	bbox	0 1 48 105
	delay	8
	frame	data/chars/shin/pain00.png
	sound	data/sounds/shin/pain.wav
	offset	35 109
	frame	data/chars/shin/pain01.png
	offset	61 98
	frame	data/chars/shin/pain02.png
		
anim	rise
	loop	0
	offset	35 70
	delay	10
	frame	data/chars/shin/rise0.png
	offset	34 99
	delay	10
	frame	data/chars/shin/rise1.png
		
anim	spawn
	delay	1
	offset	27 117
	bbox	6 0 35 122
	frame	data/chars/shin/blank.png
		
anim	special2
	sound	data/sounds/shin/goketoken.wav
	loop	0
	delay	8
	offset	43 134
	bbox	17 0 46 81
	frame	data/chars/shin/sp0.png
	blast	-13 -12 156 86 60 0 1 0 0 2
	sound	data/sounds/Kenshiro/spec1.wav
	delay	20
	offset	58 124
	move	100
	bbox	28 -1 44 56
	frame	data/chars/shin/sp1.png
	delay	6
	move	50
	offset	58 124
	blast	-13 -12 156 86 60 0 0 0 0 0
	bbox	27 -1 44 56
	frame	data/chars/shin/sp1.png
		
anim	walk
	loop	1
	delay	9
	offset	24 115
	bbox	6 0 35 122
	frame	data/chars/shin/walk000.png
	offset	24 115
	frame	data/chars/shin/walk001.png
	offset	24 115
	frame	data/chars/shin/walk002.png
	offset	24 115
	frame	data/chars/shin/walk003.png
	offset	24 115
	frame	data/chars/shin/walk005.png
	offset	24 115
	frame	data/chars/shin/walk005.png
		
#|edited by openBor Stats v 0.41
		
