name	    		Ryu
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			2 		1 		d f a 			freespecial2
	cancel 	0 			2 		1 		d u a 			freespecial3
	cancel 	0 			2 		1 		f f a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      2
       frame      data/chars/ryu/a101.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 	117 	36 		69 		5 		0 		0 		0 		20		15
	 delay      8
       frame      data/chars/ryu/a102.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      4
       frame      data/chars/ryu/a101.gif

anim attack2
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			2 		1 		d f a 			freespecial2
	cancel 	0 			2 		1 		d u a 			freespecial3
	cancel 	0 			2 		1 		f f a 			freespecial4
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/ryu/a201.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 75 	58 		37 		3 			0 		0 		0 			20		15
	 delay      9
       frame      data/chars/ryu/a202.gif
	 delay      1
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
       frame      data/chars/ryu/a202.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 99 	58 		37 		2 			0 		0 		0 			20		15
	 delay      10
       frame      data/chars/ryu/a203.gif
	 attack2  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      4
       frame      data/chars/ryu/a201.gif

anim attack3
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			6 		1 		d f a 			freespecial2
	cancel 	0 			6 		1 		d u a 			freespecial3
	cancel 	0 			6 		1 		f f a 			freespecial4
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/ryu/ryu02.wav
	 delay      3
       frame      data/chars/ryu/a301.gif
       frame      data/chars/ryu/a302.gif
	 delay      5
       frame      data/chars/ryu/a303.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 81 	58 		55 		10 			1 		0 		0 			25			15
	 delay      10
       frame      data/chars/ryu/a304.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      6
       frame      data/chars/ryu/a303.gif
       frame      data/chars/ryu/a302.gif
       frame      data/chars/ryu/a301.gif

anim jumpdelay
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/ryu/land01.gif

anim jump
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      35
       frame      data/chars/ryu/jump01.gif
	 delay      15
       frame      data/chars/ryu/jump02.gif
	 delay      999
       frame      data/chars/ryu/jump01.gif

anim forwardjump
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      24
       frame      data/chars/ryu/jump01.gif
	 delay      10
       frame      data/chars/ryu/fjump01.gif
       frame      data/chars/ryu/fjump02.gif
       frame      data/chars/ryu/fjump03.gif
       frame      data/chars/ryu/fjump04.gif
	 delay      999
       frame      data/chars/ryu/jump01.gif


anim jumpland
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      10
       frame      data/chars/ryu/land01.gif

anim jumpattack
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/ryu/ryu02.wav
	 delay      5
       frame      data/chars/ryu/jump02.gif
	 delay      7
       frame      data/chars/ryu/ja101.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 	127 	39 		59 		10 		1 		0 		0 		25		15
	 delay      35
	 frame	data/chars/ryu/ja102.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      7
       frame      data/chars/ryu/ja103.gif
	 delay      5
       frame      data/chars/ryu/jump02.gif
	 delay      999
       frame      data/chars/ryu/jump01.gif

anim jumpforward
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/ryu/ryu02.wav
	 delay      4
       frame      data/chars/ryu/jump02.gif
       frame      data/chars/ryu/ja201.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 	127 	45 		59  		10 		1 		0 		0 		25		15
	 delay      35
	 frame	data/chars/ryu/ja202.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      6
       frame      data/chars/ryu/jump02.gif
	 delay      999
       frame      data/chars/ryu/jump01.gif

anim jumpattack2
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat1.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	223 	127 	39 		32 		5 		0 		0 		0 		20		15
	 delay      999
	 frame	data/chars/ryu/ja301.gif


anim grab
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      6
       frame      data/chars/ryu/grab01.gif

anim grabattack
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 	119 	35 		67 		5 		0 		0 		0 		20		0
       frame      data/chars/ryu/th101.gif

anim grabattack2
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 	119 	35 		67 		10 		1 		0 		0 		25		0
       frame      data/chars/ryu/th101.gif

anim grabbackward
	flipframe	4
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/ryu/ryu03.wav
	attackone	0
	
	 delay      35
	@cmd slamstart
	@cmd position 0 20 1 0 1
       frame      data/chars/ryu/th201.gif
	 delay      30
	@cmd position 1 1 -11 0 1
      frame      data/chars/ryu/th202.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 10 1 -2.5 2.5 0 1
	@cmd clearL
	damageonlanding 2 1
	 delay      75
       frame      data/chars/ryu/th203.gif
	 delay      1
       frame      data/chars/ryu/th203.gif

	 delay      1
       frame      data/chars/ryu/idle01.gif

anim grabdown
	flipframe	4
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/ryu/ryu03.wav
	attackone	0
	
	 delay      35
	@cmd slamstart
	@cmd position 0 20 1 0 1
       frame      data/chars/ryu/th201.gif
	 delay      30
	@cmd position 1 1 -11 0 1
      frame      data/chars/ryu/th202.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 10 1 -2.5 2.5 0 1
	@cmd clearL
	damageonlanding 2 1
	 delay      75
       frame      data/chars/ryu/th203.gif
	 delay      1
       frame      data/chars/ryu/th203.gif

	 delay      1
       frame      data/chars/ryu/idle01.gif


anim grabforward
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/ryu/ryu03.wav
	attackone	0

	 delay      35
	@cmd slamstart
	@cmd position 2 -11 -31 0 -1
	frame		data/chars/ryu/th301.gif
	   
	 delay      15
	@cmd position 0 -11 1 0 -1
	frame		data/chars/ryu/th302.gif

	@cmd position 1 1 -11 0 -1
	frame		data/chars/ryu/th303.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 10 1 -2.5 2.5 0 1
	@cmd clearL
#	 damageonlanding 2 1
	 delay      55
       frame      data/chars/ryu/th304.gif
	 delay      12
       frame      data/chars/ryu/th305.gif
	 delay      8
       frame      data/chars/ryu/th306.gif
       frame      data/chars/ryu/th307.gif
	 delay      1
       frame      data/chars/ryu/idle01.gif


anim grabup
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/ryu/ryu03.wav
	attackone	0

	 delay      35
	@cmd slamstart
	@cmd position 2 -11 -31 0 -1
	frame		data/chars/ryu/th301.gif
	   
	 delay      15
	@cmd position 0 -11 1 0 -1
	frame		data/chars/ryu/th302.gif

	@cmd position 1 1 -11 0 -1
	frame		data/chars/ryu/th303.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 10 1 -2.5 2.5 0 1
	@cmd clearL
#	 damageonlanding 2 1
	 delay      55
       frame      data/chars/ryu/th304.gif
	 delay      12
       frame      data/chars/ryu/th305.gif
	 delay      8
       frame      data/chars/ryu/th306.gif
       frame      data/chars/ryu/th307.gif
	 delay      1
       frame      data/chars/ryu/idle01.gif

anim riseattack1
	 jugglecost 100
	 jumpframe 2 3.3
	 landframe  14
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/beat2.wav

	 delay      10
       frame      data/chars/ryu/get01.gif
       frame      data/chars/ryu/land01.gif

	 sound   	data/chars/ryu/ryu07.wav
	 delay      8
       frame      data/chars/ryu/jump01.gif
       frame      data/chars/ryu/sp01.gif
       frame      data/chars/ryu/sp02.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	240 	115 	41 		71 		10 		1 		1 		0 		25		15
	 delay      6
       frame      data/chars/ryu/sp03.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/ryu/sp04.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	199 	115 	41 		71 		10 		1 		1 		0 		25		15
       frame      data/chars/ryu/sp05.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/ryu/sp06.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	240 	115 	41 		71 		10 		1 		1 		0 		25		15
	 delay      6
       frame      data/chars/ryu/sp03.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/ryu/sp04.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	199 	115 	41 		71 		10 		1 		1 		0 		25		15
       frame      data/chars/ryu/sp05.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
       frame      data/chars/ryu/sp06.gif

	 delay      999
       frame      data/chars/ryu/sp07.gif

	 delay      9
       frame      data/chars/ryu/land01.gif


#-----------------NORMAL PUNCH 01-----------------#

anim pain
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/ryu/pain01.gif
	 offset     237 177
       frame      data/chars/ryu/pain01.gif
	 offset     238 177
       frame      data/chars/ryu/pain01.gif
	 offset     239 177
       frame      data/chars/ryu/pain01.gif
	 offset     238 177
       frame      data/chars/ryu/pain01.gif
	 offset     237 177
       frame      data/chars/ryu/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/ryu/pain01.gif

anim fall
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/ryu/fall01.gif
	 delay      1
       frame      data/chars/ryu/fall02.gif


#-----------------NORMAL PUNCH 01-----------------#


#-----------------NORMAL PUNCH 02-----------------#

anim pain2
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/ryu/pain02.gif
	 offset     237 177
       frame      data/chars/ryu/pain02.gif
	 offset     238 177
       frame      data/chars/ryu/pain02.gif
	 offset     239 177
       frame      data/chars/ryu/pain02.gif
	 offset     238 177
       frame      data/chars/ryu/pain02.gif
	 offset     237 177
       frame      data/chars/ryu/pain02.gif
	 offset     238 177
	 delay      12
       frame      data/chars/ryu/pain02.gif

anim fall2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/ryu/fall01.gif
	 delay      1
       frame      data/chars/ryu/fall02.gif

#-----------------NORMAL PUNCH 02-----------------#


#-----------------SPECIAL ATTACK-----------------#

anim pain3
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/ryu/pain01.gif
	 offset     237 177
       frame      data/chars/ryu/pain01.gif
	 offset     238 177
       frame      data/chars/ryu/pain01.gif
	 offset     239 177
       frame      data/chars/ryu/pain01.gif
	 offset     238 177
       frame      data/chars/ryu/pain01.gif
	 offset     237 177
       frame      data/chars/ryu/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/ryu/pain01.gif

anim fall3
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		0 0 0 0
       frame      data/chars/ryu/fall01.gif
	 delay      1
       frame      data/chars/ryu/fall02.gif

#-----------------SPECIAL ATTACK-----------------#

#-----------------THROW LAUNCH-----------------#

anim fall4
#	 jumpframe 	2 2.5 -2
#	 landframe	5
	 flipframe	0 
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0

#-------------------------------------------cody
	 delay      999
       frame      data/chars/ryu/cody01.gif	# 0
	 delay      999
       frame      data/chars/ryu/cody02.gif	# 1
#-------------------------------------------cody
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/ryu/hagg01.gif	# 2
	 delay      999
       frame      data/chars/ryu/hagg02.gif	# 3
 	 delay      999
       frame      data/chars/ryu/hagg03.gif	# 4
	 delay      999
       frame      data/chars/ryu/hagg04.gif	# 5
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/ryu/hagg05.gif	# 6
	 delay      999
       frame      data/chars/ryu/hagg06.gif	# 7
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/ryu/hagg07.gif	# 8
	 delay      999
       frame      data/chars/ryu/hagg08.gif	# 9
	 delay      999
       frame      data/chars/ryu/hagg09.gif	# 10
	 delay      999
       frame      data/chars/ryu/hagg10.gif	# 11
	 delay      999
       frame      data/chars/ryu/hagg11.gif	# 12
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/ryu/hagg12.gif	# 13
	 delay      999
       frame      data/chars/ryu/hagg13.gif	# 14
#-------------------------------------------Haggar
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/ryu/dean01.gif	# 15
	 delay      999
       frame      data/chars/ryu/dean02.gif	# 16
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/ryu/dean03.gif	# 17

	 delay      999
       frame      data/chars/ryu/dean04.gif	# 18

	 delay      999
       frame      data/chars/ryu/dean05.gif	# 19
#-------------------------------------------Dean
	   

#-----------------THROW LAUNCH-----------------#

#-----------------THROW FALL-----------------#

anim fall5
	shadowcoords 238 177
	fastattack	1
	 landframe  1
	 loop       0
	 offset     198 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/ryu/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 offset     238 177
	shadowcoords 238 177
	move	50
	 delay      1
       frame      data/chars/ryu/fall02.gif

#-----------------THROW FALL-----------------#

#-----------------THROW FALL 2-----------------#

anim fall6
	fastattack	1
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/ryu/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 delay      1
       frame      data/chars/ryu/fall02.gif

#-----------------THROW FALL 2-----------------#


#-----------------BURN1-----------------#

anim pain11
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     239 177
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
	 delay      12
       frame      data/chars/ryu/pain01.gif

anim fall11
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
	 delay      999
       frame      data/chars/ryu/fall01.gif
	 delay      1
       frame      data/chars/ryu/fall02.gif

#-----------------BURN1-----------------#

#-----------------BURN2-----------------#

anim pain12
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     239 177
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
	 delay      12
       frame      data/chars/ryu/pain01.gif

anim fall12
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
	 delay      999
       frame      data/chars/ryu/fall01.gif
	 delay      1
       frame      data/chars/ryu/fall02.gif

#-----------------BURN2-----------------#

#-----------------SHOCK-----------------#

anim pain13
	 loop       0
	 offset     238 167
	 bbox		226 102 23 76
	 sound   	data/sounds/shock01.wav
	 delay      2
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     237 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     238 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     239 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 sound   	data/sounds/shock01.wav
	 offset     238 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     237 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
