
name	Buggy
	frame	data/chars/Buggy/escape04.gif
	frame	data/chars/Buggy/escape05.gif
	delay	7
	frame	data/chars/Buggy/rise01.gif
	frame	data/chars/Buggy/rise02.gif
	frame	data/chars/Buggy/rise03.gif
		
anim	idle
	loop	1
	delay	15
	offset	38 77
	bbox	38 27 19 40
	frame	data/chars/Buggy/idle01.gif
	frame	data/chars/Buggy/idle02.gif
	frame	data/chars/Buggy/idle03.gif
	frame	data/chars/Buggy/idle02.gif
		
anim	pain
	sound	data/chars/Buggy/pain.wav
	loop	0
	offset	38 77
	bbox	38 27 19 40
	delay	10
	frame	data/chars/Buggy/pain01.gif
	frame	data/chars/Buggy/pain02.gif
		
anim	rise
	loop	0
	offset	38 77
	delay	7
	frame	data/chars/Buggy/rise01.gif
	frame	data/chars/Buggy/rise02.gif
	frame	data/chars/Buggy/rise02.gif
	frame	data/chars/Buggy/rise03.gif
		
anim	spawn
	loop	0
	offset	38 77
	delay	50
	frame	data/chars/Buggy/idle01.gif
	frame	data/chars/Buggy/idle02.gif
	frame	data/chars/Buggy/idle03.gif
	frame	data/chars/Buggy/idle02.gif
		
anim	walk
	loop	1
	delay	10
	offset	38 77
	bbox	38 27 19 40
	sound	data/chars/Buggy/walk.wav
	frame	data/chars/Buggy/walk01.gif
	frame	data/chars/Buggy/walk02.gif
	frame	data/chars/Buggy/walk03.gif
	frame	data/chars/Buggy/walk04.gif
		
#|edited by openBor Stats v 0.67
		
