name	       Deadpool
	blast	83 3 78 49 16 0 0 45
	dropv	2 9 0
	frame	data/Chars/Deadpool/anew9.gif
	attack	0
	frame	data/Chars/Deadpool/anew10.gif
		
anim	freespecial10
	loop	0
	offset	47 118
	delay	6
	hitfx	data/sounds/bukk.wav
	@cmd	spawn01 "super" 5 64 0
	frame	data/Chars/Deadpool/s1.gif
	@cmd	spawn01	"deadpoole" 135 96 0
	frame	data/Chars/Deadpool/s1.gif
	frame	data/Chars/Deadpool/s1.gif
	frame	data/Chars/Deadpool/s1.gif
		
anim	freespecial12
	@cmd	leaper 0 5 0
	bbox	30 2 36 83
	loop	0
	offset	49 82
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/dnew1.gif
	frame	data/Chars/Deadpool/dnew2.gif
	sound	data/sounds/shot3.wav
	blast	25 -1 71 114 17 0 0 0 0 0
	dropv	6 1 0
	bbox	23 31 29 103
	offset	40 150
	frame	data/Chars/Deadpool/dnew3.gif
	offset	41 152
	frame	data/Chars/Deadpool/dnew4.gif
		
anim	freespecial2
	cancel	0 7 0 d f s freespecial10
	cancel	0 7 0 d u a freespecial12
	cancel	0 7 0 A2 freespecial4
	bbox	47 2 19 101
	loop	0
	offset	52 103
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/bnew1.gif
	frame	data/Chars/Deadpool/bnew2.gif
	frame	data/Chars/Deadpool/bnew3.gif
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablez" 45 69 0
	frame	data/Chars/Deadpool/bnew4.gif
	frame	data/Chars/Deadpool/bnew5.gif
	frame	data/Chars/Deadpool/bnew6.gif
	frame	data/Chars/Deadpool/bnew7.gif
	frame	data/Chars/Deadpool/bnew8.gif
		
anim	freespecial3
	cancel	0 9 0 d f s freespecial10
	cancel	0 9 0 d u a freespecial12
	cancel	0 9 0 A2 freespecial4
	hitflash	bblod2
	bbox	41 3 15 109
	loop	0
	offset	45 111
	delay	6
	hitfx	data/sounds/none.wav
	frame	data/Chars/Deadpool/cnew1.gif
	frame	data/Chars/Deadpool/cnew2.gif
	frame	data/Chars/Deadpool/cnew3.gif
	sound	data/sounds/shot3.wav
	blast	80 6 255 36 16 0 0 35
	dropv	2 0 0
	frame	data/Chars/Deadpool/cnew4.gif
	attack	0
	frame	data/Chars/Deadpool/cnew5.gif
	frame	data/Chars/Deadpool/cnew6.gif
	sound	data/sounds/shot3.wav
	blast	83 10 258 43 16 0 0 35
	dropv	-1 0 0
	frame	data/Chars/Deadpool/cnew7.gif
	attack	0
	frame	data/Chars/Deadpool/cnew8.gif
	sound	data/sounds/shot3.wav
	blast	90 12 246 75 16 0 0 35
	dropv	4 3 0
	frame	data/Chars/Deadpool/cnew9.gif
	attack	0
	frame	data/Chars/Deadpool/cnew10.gif
		
anim	freespecial4
	cancel	0 12 0 d f s freespecial10
	loop	0
	offset	47 104
	delay	2
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -480 0 -20
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -460 0 -10
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -430 0 30
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -410 0 -30
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -400 0 10
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -500 0 20
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -400 0 0
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -500 0 0
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -480 0 -20
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -460 0 -10
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -430 0 30
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -410 0 -30
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -400 0 10
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -500 0 20
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -400 0 0
	frame	data/Chars/Deadpool/spawn2.gif
	@cmd	spawn01 "deadpoolg" -500 0 0
	frame	data/Chars/Deadpool/spawn2.gif
		
anim	freespecial5
	cancel	0 18 0 d f s freespecial10
	hitflash	bblod2
	fastattack	1
	bbox	28 2 28 109
	loop	0
	offset	48 107
	delay	6
	hitfx	data/sounds/none.wav
	frame	data/Chars/Deadpool/anew1.gif
	offset	48 108
	frame	data/Chars/Deadpool/anew2.gif
	offset	48 102
	frame	data/Chars/Deadpool/anew3.gif
	loop	0
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablea" 54 87 0
	blast	87 3 73 52 16 0 0 45 0 0
	dropv	1 0 0
	frame	data/Chars/Deadpool/anew4.gif
	attack	0
	frame	data/Chars/Deadpool/anew5.gif
	frame	data/Chars/Deadpool/anew6.gif
	@cmd	spawn01 "cablea" 54 87 0
	sound	data/sounds/shot3.wav
	blast	83 6 69 48 16 0 0 45
	dropv	1 0 0
	frame	data/Chars/Deadpool/anew7.gif
	attack	0
	frame	data/Chars/Deadpool/anew8.gif
	sound	data/sounds/shot3.wav
	blast	83 3 78 49 16 0 0 45
	dropv	2 9 0
	frame	data/Chars/Deadpool/anew9.gif
	attack	0
	frame	data/Chars/Deadpool/anew10.gif
	bbox	28 2 28 109
	loop	0
	offset	48 107
	delay	6
	hitfx	data/sounds/none.wav
	frame	data/Chars/Deadpool/anew1.gif
	offset	48 108
	frame	data/Chars/Deadpool/anew2.gif
	offset	48 102
	frame	data/Chars/Deadpool/anew3.gif
	loop	0
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablea" 54 87 0
	blast	87 3 73 52 16 0 0 45 0 0
	dropv	1 0 0
	frame	data/Chars/Deadpool/anew4.gif
	attack	0
	frame	data/Chars/Deadpool/anew5.gif
	frame	data/Chars/Deadpool/anew6.gif
	@cmd	spawn01 "cablea" 54 87 0
	sound	data/sounds/shot3.wav
	blast	83 6 69 48 16 0 0 45
	dropv	1 0 0
	frame	data/Chars/Deadpool/anew7.gif
	attack	0
	frame	data/Chars/Deadpool/anew8.gif
	sound	data/sounds/shot3.wav
	blast	83 3 78 49 16 0 0 45
	dropv	2 9 0
	frame	data/Chars/Deadpool/anew9.gif
	attack	0
	frame	data/Chars/Deadpool/anew10.gif
		
anim	freespecial6
	cancel	0 21 0 d f s freespecial10
	bbox	47 2 19 101
	loop	0
	offset	52 103
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/bnew1.gif
	frame	data/Chars/Deadpool/bnew2.gif
	frame	data/Chars/Deadpool/bnew3.gif
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablez" 45 69 0
	frame	data/Chars/Deadpool/bnew4.gif
	frame	data/Chars/Deadpool/bnew5.gif
	frame	data/Chars/Deadpool/bnew6.gif
	frame	data/Chars/Deadpool/bnew7.gif
	frame	data/Chars/Deadpool/bnew8.gif
	offset	52 103
	delay	3
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/bnew1.gif
	frame	data/Chars/Deadpool/bnew2.gif
	frame	data/Chars/Deadpool/bnew3.gif
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablez" 45 69 0
	frame	data/Chars/Deadpool/bnew4.gif
	frame	data/Chars/Deadpool/bnew5.gif
	frame	data/Chars/Deadpool/bnew6.gif
	frame	data/Chars/Deadpool/bnew7.gif
	frame	data/Chars/Deadpool/bnew8.gif
	offset	52 103
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/bnew1.gif
	frame	data/Chars/Deadpool/bnew2.gif
	frame	data/Chars/Deadpool/bnew3.gif
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablez" 45 69 0
	frame	data/Chars/Deadpool/bnew4.gif
	frame	data/Chars/Deadpool/bnew5.gif
	frame	data/Chars/Deadpool/bnew6.gif
	frame	data/Chars/Deadpool/bnew7.gif
	frame	data/Chars/Deadpool/bnew8.gif
		
anim	get
	loop	0
	delay	6
	offset	45 108
	frame	data/Chars/Deadpool/idle1.gif
		
anim	idle
	bbox	32 1 31 109
	loop	1
	delay	6
	offset	45 108
	frame	data/Chars/Deadpool/idle1.gif
	bbox	40 20 24 115
	offset	46 132
	frame	data/Chars/Deadpool/idle2.gif
	bbox	26 4 51 108
	offset	45 110
	frame	data/Chars/Deadpool/idle3.gif
	bbox	22 22 53 112
	offset	46 131
	frame	data/Chars/Deadpool/idle4.gif
	frame	data/Chars/Deadpool/idle5.gif
	frame	data/Chars/Deadpool/idle6.gif
	frame	data/Chars/Deadpool/idle7.gif
		
anim	jump
	bbox	17 10 30 117
	loop	0
	offset	34 131
	delay	6
	frame	data/Chars/Deadpool/jump1.gif
	offset	35 131
	frame	data/Chars/Deadpool/jump2.gif
	bbox	13 3 59 86
	offset	42 91
	frame	data/Chars/Deadpool/jump3.gif
	offset	37 83
	frame	data/Chars/Deadpool/jump4.gif
	bbox	3 4 71 66
	offset	37 74
	frame	data/Chars/Deadpool/jump5.gif
		
anim	jumpattack
@script
    void vSelf = getlocalvar("self");

    if(frame==1){
      int  iTime = openborvariant("elapsed_time");

      changeentityproperty(vSelf, "velocity", 0, 0 , 0); // This is to stop entity from moving forward
      changeentityproperty(vSelf, "tosstime", iTime + 110);
    }
	@end_script	
	loop	0
	offset	55 122
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/ja1.gif
	frame	data/Chars/Deadpool/ja2.gif
	frame	data/Chars/Deadpool/ja3.gif
	frame	data/Chars/Deadpool/ja4.gif
	frame	data/Chars/Deadpool/ja5.gif
	frame	data/Chars/Deadpool/ja6.gif
		
anim	jumpattack2
	bbox	44 69 19 80
	loop	0
	offset	52 154
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/gnew3.gif
	@cmd	leaper 2 -5 0
	blast	59 1 95 131 16 0 0 35
	dropv	2 0 0
	bbox	38 53 23 61
	offset	35 116
	frame	data/Chars/Deadpool/gnew4.gif
	bbox	9 5 59 33
	offset	15 57
	frame	data/Chars/Deadpool/gnew5.gif
		
anim	jumpattack3
	bbox	34 10 24 73
	loop	0
	offset	37 100
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/Inew1.gif
	offset	39 162
	frame	data/Chars/Deadpool/Inew2.gif
	offset	42 81
	frame	data/Chars/Deadpool/Inew3.gif
	@cmd	leaper 3 -5 0
	blast	38 19 83 64 16 0 0 45
	dropv	4 9 0
	bbox	17 3 51 41
	offset	42 66
	frame	data/Chars/Deadpool/Inew4.gif
		
anim	land
	bbox	17 6 60 100
	loop	0
	delay	6
	offset	45 108
	frame	data/Chars/Deadpool/idle1.gif
		
anim	pain
	bbox	3 4 74 96
	loop	0
	offset	45 102
	delay	6
	frame	data/chars/Deadpool/pain.gif
		
anim	respawn
	loop	0
	delay	6
	offset	45 108
	frame	data/Chars/Deadpool/idle1.gif
	frame	data/Chars/Deadpool/idle1.gif
	frame	data/Chars/Deadpool/idle1.gif
	frame	data/Chars/Deadpool/idle1.gif
	frame	data/Chars/Deadpool/idle1.gif
		
anim	rise
	loop	0
	offset	34 78
	delay	6
	frame	data/chars/Deadpool/rise1.gif
	offset	34 80
	frame	data/chars/Deadpool/rise2.gif
	offset	34 84
	frame	data/chars/Deadpool/rise3.gif
	offset	34 88
	frame	data/chars/Deadpool/rise4.gif
		
anim	run
	cancel	0 13 0 A2 freespecial5
	cancel	0 13 0 A3 freespecial6
	bbox	31 2 53 105
	loop	1
	delay	6
	offset	53 107
	frame	data/Chars/Deadpool/walk1.gif
	offset	46 108
	frame	data/Chars/Deadpool/walk2.gif
	bbox	16 3 49 105
	offset	42 109
	frame	data/Chars/Deadpool/walk3.gif
	offset	33 111
	frame	data/Chars/Deadpool/walk4.gif
	offset	26 111
	frame	data/Chars/Deadpool/walk5.gif
	offset	20 109
	frame	data/Chars/Deadpool/walk6.gif
	offset	39 108
	frame	data/Chars/Deadpool/walk7.gif
	offset	50 110
	frame	data/Chars/Deadpool/walk8.gif
	offset	37 110
	frame	data/Chars/Deadpool/walk9.gif
	offset	29 111
	frame	data/Chars/Deadpool/walk10.gif
	offset	23 111
	frame	data/Chars/Deadpool/walk11.gif
	frame	data/Chars/Deadpool/walk12.gif
	offset	44 110
	frame	data/Chars/Deadpool/walk13.gif
	offset	52 109
	frame	data/Chars/Deadpool/walk14.gif
		
anim	runattack
	cancel	0 7 0 d f a freespecial
	cancel	0 7 0 d f s freespecial10
	cancel	0 7 0 d d a freespecial2
	cancel	0 7 0 u u a freespecial3
	cancel	0 7 0 d u a freespecial12
	cancel	0 7 0 A2 freespecial4
	bbox	47 2 19 101
	loop	0
	offset	52 103
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/bnew1.gif
	frame	data/Chars/Deadpool/bnew2.gif
	frame	data/Chars/Deadpool/bnew3.gif
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablez" 45 69 0
	frame	data/Chars/Deadpool/bnew4.gif
	frame	data/Chars/Deadpool/bnew5.gif
	frame	data/Chars/Deadpool/bnew6.gif
	frame	data/Chars/Deadpool/bnew7.gif
	frame	data/Chars/Deadpool/bnew8.gif
		
anim	runjumpattack
	bbox	12 0 50 51
	loop	0
	offset	40 54
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Deadpool/rja1.gif
	blast	42 44 106 50 8
	frame	data/Chars/Deadpool/rja2.gif
	frame	data/Chars/Deadpool/rja3.gif
	frame	data/Chars/Deadpool/rja4.gif
		
anim	spawn
	spawnframe	1
	subentity	Thanos_E
	loop	0
	delay	6
	offset	45 108
	frame	data/Chars/Deadpool/idle1.gif
	frame	data/Chars/Deadpool/idle1.gif
	frame	data/Chars/Deadpool/idle1.gif
	frame	data/Chars/Deadpool/idle1.gif
	frame	data/Chars/Deadpool/idle1.gif
		
anim	walk
	bbox	31 2 53 105
	loop	1
	delay	6
	offset	53 107
	frame	data/Chars/Deadpool/walk1.gif
	offset	46 108
	frame	data/Chars/Deadpool/walk2.gif
	bbox	16 3 49 105
	offset	42 109
	frame	data/Chars/Deadpool/walk3.gif
	offset	33 111
	frame	data/Chars/Deadpool/walk4.gif
	offset	26 111
	frame	data/Chars/Deadpool/walk5.gif
	offset	20 109
	frame	data/Chars/Deadpool/walk6.gif
	offset	39 108
	frame	data/Chars/Deadpool/walk7.gif
	offset	50 110
	frame	data/Chars/Deadpool/walk8.gif
	offset	37 110
	frame	data/Chars/Deadpool/walk9.gif
	offset	29 111
	frame	data/Chars/Deadpool/walk10.gif
	offset	23 111
	frame	data/Chars/Deadpool/walk11.gif
	frame	data/Chars/Deadpool/walk12.gif
	offset	44 110
	frame	data/Chars/Deadpool/walk13.gif
	offset	52 109
	frame	data/Chars/Deadpool/walk14.gif
		
#|edited by openBor Stats v 0.51
		
