name	Broly
	frame	data/chars/Broly_SSB/618.gif
		
anim	6001
	delay	7
	offset	24 43
	frame	data/chars/Broly_SSB/282.gif
	offset	24 43
	frame	data/chars/Broly_SSB/283.gif
	offset	24 43
	frame	data/chars/Broly_SSB/284.gif
	offset	24 43
	frame	data/chars/Broly_SSB/285.gif
	offset	24 43
	frame	data/chars/Broly_SSB/286.gif
	offset	24 43
	frame	data/chars/Broly_SSB/287.gif
	offset	24 43
	frame	data/chars/Broly_SSB/288.gif
	offset	24 43
	frame	data/chars/Broly_SSB/289.gif
	offset	24 43
	frame	data/chars/Broly_SSB/290.gif
	offset	24 43
	frame	data/chars/Broly_SSB/291.gif
	offset	24 43
	frame	data/chars/Broly_SSB/292.gif
	offset	24 43
	frame	data/chars/Broly_SSB/293.gif
	offset	24 43
	frame	data/chars/Broly_SSB/294.gif
	offset	24 43
	frame	data/chars/Broly_SSB/295.gif
	offset	24 43
	frame	data/chars/Broly_SSB/296.gif
	offset	24 43
	frame	data/chars/Broly_SSB/297.gif
	offset	24 43
	frame	data/chars/Broly_SSB/298.gif
	offset	24 43
	frame	data/chars/Broly_SSB/299.gif
	offset	24 43
	frame	data/chars/Broly_SSB/300.gif
	offset	24 43
	frame	data/chars/Broly_SSB/301.gif
	offset	24 43
	frame	data/chars/Broly_SSB/302.gif
		
anim	6030
	delay	7
	offset	233 281
	frame	data/chars/Broly_SSB/303.gif
	offset	233 281
	frame	data/chars/Broly_SSB/304.gif
	offset	233 281
	frame	data/chars/Broly_SSB/305.gif
	offset	233 281
	frame	data/chars/Broly_SSB/306.gif
	offset	233 281
	frame	data/chars/Broly_SSB/307.gif
	offset	233 281
	frame	data/chars/Broly_SSB/308.gif
	offset	233 281
	frame	data/chars/Broly_SSB/309.gif
	offset	233 281
	frame	data/chars/Broly_SSB/310.gif
	offset	233 281
	frame	data/chars/Broly_SSB/311.gif
	offset	233 281
	frame	data/chars/Broly_SSB/312.gif
	offset	233 281
	frame	data/chars/Broly_SSB/313.gif
	offset	233 281
	frame	data/chars/Broly_SSB/314.gif
	offset	233 281
	frame	data/chars/Broly_SSB/315.gif
	offset	233 281
	frame	data/chars/Broly_SSB/316.gif
	offset	233 281
	frame	data/chars/Broly_SSB/317.gif
	offset	233 281
	frame	data/chars/Broly_SSB/318.gif
	offset	233 281
	frame	data/chars/Broly_SSB/319.gif
	offset	233 281
	frame	data/chars/Broly_SSB/320.gif
	offset	233 281
	frame	data/chars/Broly_SSB/321.gif
	offset	233 281
	frame	data/chars/Broly_SSB/322.gif
	offset	233 281
	frame	data/chars/Broly_SSB/323.gif
	offset	233 281
	frame	data/chars/Broly_SSB/324.gif
	offset	233 281
	frame	data/chars/Broly_SSB/325.gif
	offset	233 281
	frame	data/chars/Broly_SSB/326.gif
	offset	233 281
	frame	data/chars/Broly_SSB/327.gif
	offset	233 281
	frame	data/chars/Broly_SSB/328.gif
	offset	233 281
	frame	data/chars/Broly_SSB/329.gif
	offset	233 281
	frame	data/chars/Broly_SSB/330.gif
	offset	233 281
	frame	data/chars/Broly_SSB/331.gif
	offset	233 281
	frame	data/chars/Broly_SSB/332.gif
	offset	233 281
	frame	data/chars/Broly_SSB/333.gif
	offset	233 281
	frame	data/chars/Broly_SSB/334.gif
	offset	233 281
	frame	data/chars/Broly_SSB/335.gif
	offset	233 281
	frame	data/chars/Broly_SSB/336.gif
	offset	233 281
	frame	data/chars/Broly_SSB/337.gif
	offset	233 281
	frame	data/chars/Broly_SSB/338.gif
	offset	233 281
	frame	data/chars/Broly_SSB/339.gif
	offset	233 281
	frame	data/chars/Broly_SSB/340.gif
	offset	233 281
	frame	data/chars/Broly_SSB/341.gif
	offset	233 281
	frame	data/chars/Broly_SSB/342.gif
	offset	233 281
	frame	data/chars/Broly_SSB/343.gif
	offset	233 281
	frame	data/chars/Broly_SSB/344.gif
	offset	233 281
	frame	data/chars/Broly_SSB/345.gif
	offset	233 281
	frame	data/chars/Broly_SSB/346.gif
	offset	233 281
	frame	data/chars/Broly_SSB/347.gif
	offset	233 281
	frame	data/chars/Broly_SSB/348.gif
	offset	233 281
	frame	data/chars/Broly_SSB/349.gif
	offset	233 281
	frame	data/chars/Broly_SSB/350.gif
	offset	233 281
	frame	data/chars/Broly_SSB/351.gif
	offset	233 281
	frame	data/chars/Broly_SSB/352.gif
	offset	233 281
	frame	data/chars/Broly_SSB/353.gif
	offset	233 281
	frame	data/chars/Broly_SSB/354.gif
	offset	233 281
	frame	data/chars/Broly_SSB/355.gif
		
anim	6031
	delay	7
	offset	86 20
	frame	data/chars/Broly_SSB/356.gif
	offset	86 20
	frame	data/chars/Broly_SSB/357.gif
	offset	86 20
	frame	data/chars/Broly_SSB/358.gif
	offset	86 20
	frame	data/chars/Broly_SSB/359.gif
	offset	86 20
	frame	data/chars/Broly_SSB/360.gif
	offset	86 20
	frame	data/chars/Broly_SSB/361.gif
	offset	86 20
	frame	data/chars/Broly_SSB/362.gif
	offset	86 20
	frame	data/chars/Broly_SSB/363.gif
	offset	86 20
	frame	data/chars/Broly_SSB/364.gif
	offset	86 20
	frame	data/chars/Broly_SSB/365.gif
		
anim	6032
	delay	7
	offset	124 16
	frame	data/chars/Broly_SSB/366.gif
	offset	124 16
	frame	data/chars/Broly_SSB/367.gif
	offset	124 16
	frame	data/chars/Broly_SSB/368.gif
	offset	124 16
	frame	data/chars/Broly_SSB/369.gif
	offset	124 16
	frame	data/chars/Broly_SSB/370.gif
		
anim	6034
	delay	7
	offset	226 63
	frame	data/chars/Broly_SSB/371.gif
	offset	226 63
	frame	data/chars/Broly_SSB/372.gif
	offset	226 63
	frame	data/chars/Broly_SSB/373.gif
	offset	226 63
	frame	data/chars/Broly_SSB/374.gif
	offset	226 63
	frame	data/chars/Broly_SSB/375.gif
	offset	226 63
	frame	data/chars/Broly_SSB/376.gif
	offset	226 63
	frame	data/chars/Broly_SSB/377.gif
	offset	226 63
	frame	data/chars/Broly_SSB/378.gif
	offset	226 63
	frame	data/chars/Broly_SSB/379.gif
		
anim	6035
	delay	7
	offset	110 8
	frame	data/chars/Broly_SSB/380.gif
		
anim	6110
	delay	7
	offset	223 584
	frame	data/chars/Broly_SSB/531.gif
	offset	211 610
	frame	data/chars/Broly_SSB/532.gif
	offset	194 638
	frame	data/chars/Broly_SSB/533.gif
	offset	236 601
	frame	data/chars/Broly_SSB/534.gif
	offset	228 612
	frame	data/chars/Broly_SSB/535.gif
	offset	220 535
	frame	data/chars/Broly_SSB/536.gif
	offset	213 548
	frame	data/chars/Broly_SSB/537.gif
	offset	205 577
	frame	data/chars/Broly_SSB/538.gif
	offset	314 595
	frame	data/chars/Broly_SSB/539.gif
	offset	303 621
	frame	data/chars/Broly_SSB/540.gif
	offset	293 596
	frame	data/chars/Broly_SSB/541.gif
	offset	284 625
	frame	data/chars/Broly_SSB/542.gif
	offset	276 495
	frame	data/chars/Broly_SSB/543.gif
	offset	267 638
	frame	data/chars/Broly_SSB/544.gif
	offset	269 503
	frame	data/chars/Broly_SSB/545.gif
	offset	277 502
	frame	data/chars/Broly_SSB/546.gif
	offset	211 532
	frame	data/chars/Broly_SSB/547.gif
	offset	201 561
	frame	data/chars/Broly_SSB/548.gif
	offset	206 591
	frame	data/chars/Broly_SSB/549.gif
	offset	218 622
	frame	data/chars/Broly_SSB/550.gif
	offset	231 629
	frame	data/chars/Broly_SSB/551.gif
	offset	225 625
	frame	data/chars/Broly_SSB/552.gif
	offset	227 632
	frame	data/chars/Broly_SSB/553.gif
	offset	225 588
	frame	data/chars/Broly_SSB/554.gif
	offset	224 616
	frame	data/chars/Broly_SSB/555.gif
	offset	222 625
	frame	data/chars/Broly_SSB/556.gif
	offset	240 566
	frame	data/chars/Broly_SSB/557.gif
	offset	233 592
	frame	data/chars/Broly_SSB/558.gif
	offset	219 616
	frame	data/chars/Broly_SSB/559.gif
	offset	251 626
	frame	data/chars/Broly_SSB/560.gif
	offset	241 638
	frame	data/chars/Broly_SSB/561.gif
	offset	232 627
	frame	data/chars/Broly_SSB/562.gif
	offset	223 508
	frame	data/chars/Broly_SSB/563.gif
	offset	219 510
	frame	data/chars/Broly_SSB/564.gif
	offset	217 537
	frame	data/chars/Broly_SSB/565.gif
		
anim	6452
	delay	7
	offset	75 75
	frame	data/chars/Broly_SSB/827.gif
		
anim	7000
	delay	7
	offset	10 69
	frame	data/chars/Broly_SSB/381.gif
	offset	10 69
	frame	data/chars/Broly_SSB/382.gif
	offset	10 69
	frame	data/chars/Broly_SSB/383.gif
	offset	10 69
	frame	data/chars/Broly_SSB/384.gif
	offset	10 69
	frame	data/chars/Broly_SSB/385.gif
		
anim	7001
	delay	7
	offset	127 215
	frame	data/chars/Broly_SSB/777.gif
	offset	170 417
	frame	data/chars/Broly_SSB/778.gif
	offset	175 468
	frame	data/chars/Broly_SSB/779.gif
	offset	172 496
	frame	data/chars/Broly_SSB/780.gif
	offset	163 487
	frame	data/chars/Broly_SSB/781.gif
	offset	155 474
	frame	data/chars/Broly_SSB/782.gif
	offset	122 435
	frame	data/chars/Broly_SSB/783.gif
		
anim	7002
	delay	7
	offset	219 209
	frame	data/chars/Broly_SSB/386.gif
	offset	219 209
	frame	data/chars/Broly_SSB/387.gif
	offset	219 209
	frame	data/chars/Broly_SSB/388.gif
	offset	219 209
	frame	data/chars/Broly_SSB/389.gif
	offset	219 209
	frame	data/chars/Broly_SSB/390.gif
	offset	219 209
	frame	data/chars/Broly_SSB/391.gif
	offset	219 209
	frame	data/chars/Broly_SSB/392.gif
	offset	219 209
	frame	data/chars/Broly_SSB/393.gif
	offset	219 209
	frame	data/chars/Broly_SSB/394.gif
	offset	219 209
	frame	data/chars/Broly_SSB/395.gif
	offset	219 209
	frame	data/chars/Broly_SSB/396.gif
		
anim	7003
	delay	7
	offset	48 48
	frame	data/chars/Broly_SSB/397.gif
	offset	48 48
	frame	data/chars/Broly_SSB/398.gif
	offset	48 48
	frame	data/chars/Broly_SSB/399.gif
	offset	48 48
	frame	data/chars/Broly_SSB/400.gif
	offset	48 48
	frame	data/chars/Broly_SSB/401.gif
		
anim	7005
	delay	7
	offset	275 158
	frame	data/chars/Broly_SSB/402.gif
	offset	275 158
	frame	data/chars/Broly_SSB/403.gif
	offset	275 158
	frame	data/chars/Broly_SSB/404.gif
	offset	275 158
	frame	data/chars/Broly_SSB/405.gif
	offset	275 158
	frame	data/chars/Broly_SSB/406.gif
	offset	275 158
	frame	data/chars/Broly_SSB/407.gif
	offset	275 158
	frame	data/chars/Broly_SSB/408.gif
	offset	275 158
	frame	data/chars/Broly_SSB/409.gif
	offset	275 158
	frame	data/chars/Broly_SSB/410.gif
	offset	275 158
	frame	data/chars/Broly_SSB/411.gif
	offset	275 158
	frame	data/chars/Broly_SSB/412.gif
	offset	275 158
	frame	data/chars/Broly_SSB/413.gif
	offset	275 158
	frame	data/chars/Broly_SSB/414.gif
	offset	275 158
	frame	data/chars/Broly_SSB/415.gif
	offset	275 158
	frame	data/chars/Broly_SSB/416.gif
	offset	275 158
	frame	data/chars/Broly_SSB/417.gif
	offset	275 158
	frame	data/chars/Broly_SSB/418.gif
	offset	275 158
	frame	data/chars/Broly_SSB/419.gif
	offset	275 158
	frame	data/chars/Broly_SSB/420.gif
	offset	275 158
	frame	data/chars/Broly_SSB/421.gif
	offset	275 158
	frame	data/chars/Broly_SSB/422.gif
		
anim	7006
	delay	7
	offset	237 223
	frame	data/chars/Broly_SSB/423.gif
	offset	237 223
	frame	data/chars/Broly_SSB/424.gif
	offset	237 223
	frame	data/chars/Broly_SSB/425.gif
	offset	237 223
	frame	data/chars/Broly_SSB/426.gif
	offset	237 223
	frame	data/chars/Broly_SSB/427.gif
	offset	237 223
	frame	data/chars/Broly_SSB/428.gif
	offset	237 223
	frame	data/chars/Broly_SSB/429.gif
	offset	237 223
	frame	data/chars/Broly_SSB/430.gif
	offset	237 223
	frame	data/chars/Broly_SSB/431.gif
	offset	237 223
	frame	data/chars/Broly_SSB/432.gif
	offset	237 223
	frame	data/chars/Broly_SSB/433.gif
	offset	237 223
	frame	data/chars/Broly_SSB/434.gif
	offset	237 223
	frame	data/chars/Broly_SSB/435.gif
	offset	237 223
	frame	data/chars/Broly_SSB/436.gif
	offset	237 223
	frame	data/chars/Broly_SSB/437.gif
	offset	237 223
	frame	data/chars/Broly_SSB/438.gif
	offset	237 223
	frame	data/chars/Broly_SSB/439.gif
	offset	237 223
	frame	data/chars/Broly_SSB/440.gif
	offset	237 223
	frame	data/chars/Broly_SSB/441.gif
		
anim	7009
	delay	7
	offset	128 98
	frame	data/chars/Broly_SSB/570.gif
	offset	125 107
	frame	data/chars/Broly_SSB/571.gif
	offset	114 116
	frame	data/chars/Broly_SSB/572.gif
	offset	104 112
	frame	data/chars/Broly_SSB/573.gif
		
anim	7010
	delay	7
	offset	126 126
	frame	data/chars/Broly_SSB/861.gif
		
anim	8000
	delay	7
	offset	280 195
	frame	data/chars/Broly_SSB/442.gif
	offset	280 195
	frame	data/chars/Broly_SSB/443.gif
	offset	280 195
	frame	data/chars/Broly_SSB/444.gif
	offset	280 195
	frame	data/chars/Broly_SSB/445.gif
	offset	280 195
	frame	data/chars/Broly_SSB/446.gif
	offset	280 195
	frame	data/chars/Broly_SSB/447.gif
	offset	280 195
	frame	data/chars/Broly_SSB/448.gif
	offset	280 195
	frame	data/chars/Broly_SSB/449.gif
	offset	280 195
	frame	data/chars/Broly_SSB/450.gif
	offset	280 195
	frame	data/chars/Broly_SSB/451.gif
	offset	280 195
	frame	data/chars/Broly_SSB/452.gif
	offset	280 195
	frame	data/chars/Broly_SSB/453.gif
	offset	280 195
	frame	data/chars/Broly_SSB/454.gif
	offset	280 195
	frame	data/chars/Broly_SSB/455.gif
	offset	280 195
	frame	data/chars/Broly_SSB/456.gif
	offset	280 195
	frame	data/chars/Broly_SSB/457.gif
	offset	280 195
	frame	data/chars/Broly_SSB/458.gif
	offset	280 195
	frame	data/chars/Broly_SSB/459.gif
	offset	280 195
	frame	data/chars/Broly_SSB/460.gif
	offset	280 195
	frame	data/chars/Broly_SSB/461.gif
	offset	280 195
	frame	data/chars/Broly_SSB/462.gif
	offset	280 195
	frame	data/chars/Broly_SSB/463.gif
	offset	280 195
	frame	data/chars/Broly_SSB/464.gif
	offset	280 195
	frame	data/chars/Broly_SSB/465.gif
	offset	280 195
	frame	data/chars/Broly_SSB/466.gif
	offset	280 195
	frame	data/chars/Broly_SSB/467.gif
	offset	280 195
	frame	data/chars/Broly_SSB/468.gif
	offset	280 195
	frame	data/chars/Broly_SSB/469.gif
	offset	280 195
	frame	data/chars/Broly_SSB/470.gif
	offset	280 195
	frame	data/chars/Broly_SSB/471.gif
	offset	280 195
	frame	data/chars/Broly_SSB/472.gif
	offset	280 195
	frame	data/chars/Broly_SSB/473.gif
	offset	280 195
	frame	data/chars/Broly_SSB/474.gif
	offset	280 195
	frame	data/chars/Broly_SSB/475.gif
	offset	280 195
	frame	data/chars/Broly_SSB/476.gif
	offset	280 195
	frame	data/chars/Broly_SSB/477.gif
	offset	280 195
	frame	data/chars/Broly_SSB/478.gif
	offset	280 195
	frame	data/chars/Broly_SSB/479.gif
	offset	280 195
	frame	data/chars/Broly_SSB/480.gif
	offset	280 195
	frame	data/chars/Broly_SSB/481.gif
	offset	280 195
	frame	data/chars/Broly_SSB/482.gif
	offset	280 195
	frame	data/chars/Broly_SSB/483.gif
	offset	280 195
	frame	data/chars/Broly_SSB/484.gif
	offset	280 195
	frame	data/chars/Broly_SSB/485.gif
	offset	280 195
	frame	data/chars/Broly_SSB/486.gif
	offset	280 195
	frame	data/chars/Broly_SSB/487.gif
	offset	280 195
	frame	data/chars/Broly_SSB/488.gif
	offset	280 195
	frame	data/chars/Broly_SSB/489.gif
	offset	280 195
	frame	data/chars/Broly_SSB/490.gif
	offset	280 195
	frame	data/chars/Broly_SSB/491.gif
	offset	280 195
	frame	data/chars/Broly_SSB/492.gif
	offset	280 195
	frame	data/chars/Broly_SSB/493.gif
	offset	280 195
	frame	data/chars/Broly_SSB/494.gif
	offset	280 195
	frame	data/chars/Broly_SSB/495.gif
	offset	280 195
	frame	data/chars/Broly_SSB/496.gif
	offset	280 195
	frame	data/chars/Broly_SSB/497.gif
	offset	280 195
	frame	data/chars/Broly_SSB/498.gif
	offset	280 195
	frame	data/chars/Broly_SSB/499.gif
	offset	280 195
	frame	data/chars/Broly_SSB/500.gif
	offset	280 195
	frame	data/chars/Broly_SSB/501.gif
		
anim	8250
	delay	7
	offset	57 10
	frame	data/chars/Broly_SSB/647.gif
	offset	91 20
	frame	data/chars/Broly_SSB/648.gif
	offset	122 29
	frame	data/chars/Broly_SSB/649.gif
	offset	150 38
	frame	data/chars/Broly_SSB/650.gif
	offset	174 45
	frame	data/chars/Broly_SSB/651.gif
	offset	195 50
	frame	data/chars/Broly_SSB/652.gif
	offset	212 53
	frame	data/chars/Broly_SSB/653.gif
	offset	226 54
	frame	data/chars/Broly_SSB/654.gif
	offset	237 54
	frame	data/chars/Broly_SSB/655.gif
	offset	245 54
	frame	data/chars/Broly_SSB/656.gif
	offset	252 53
	frame	data/chars/Broly_SSB/657.gif
	offset	266 52
	frame	data/chars/Broly_SSB/658.gif
	offset	284 50
	frame	data/chars/Broly_SSB/659.gif
	offset	298 48
	frame	data/chars/Broly_SSB/660.gif
	offset	313 49
	frame	data/chars/Broly_SSB/661.gif
	offset	328 50
	frame	data/chars/Broly_SSB/662.gif
	offset	343 50
	frame	data/chars/Broly_SSB/663.gif
	offset	359 51
	frame	data/chars/Broly_SSB/664.gif
	offset	373 51
	frame	data/chars/Broly_SSB/665.gif
	offset	388 51
	frame	data/chars/Broly_SSB/666.gif
	offset	404 51
	frame	data/chars/Broly_SSB/667.gif
	offset	418 51
	frame	data/chars/Broly_SSB/668.gif
	offset	411 50
	frame	data/chars/Broly_SSB/669.gif
	offset	421 50
	frame	data/chars/Broly_SSB/670.gif
	offset	431 49
	frame	data/chars/Broly_SSB/671.gif
	offset	446 48
	frame	data/chars/Broly_SSB/672.gif
	offset	462 47
	frame	data/chars/Broly_SSB/673.gif
	offset	446 45
	frame	data/chars/Broly_SSB/674.gif
	offset	443 44
	frame	data/chars/Broly_SSB/675.gif
	offset	456 42
	frame	data/chars/Broly_SSB/676.gif
	offset	468 40
	frame	data/chars/Broly_SSB/677.gif
	offset	482 38
	frame	data/chars/Broly_SSB/678.gif
	offset	392 36
	frame	data/chars/Broly_SSB/679.gif
	offset	345 34
	frame	data/chars/Broly_SSB/680.gif
	offset	319 31
	frame	data/chars/Broly_SSB/681.gif
	offset	322 29
	frame	data/chars/Broly_SSB/682.gif
	offset	327 27
	frame	data/chars/Broly_SSB/683.gif
	offset	336 20
	frame	data/chars/Broly_SSB/684.gif
	offset	339 20
	frame	data/chars/Broly_SSB/685.gif
	offset	343 13
	frame	data/chars/Broly_SSB/686.gif
	offset	348 12
	frame	data/chars/Broly_SSB/687.gif
	offset	346 -14
	frame	data/chars/Broly_SSB/688.gif
	offset	389 -73
	frame	data/chars/Broly_SSB/689.gif
	offset	298 -92
	frame	data/chars/Broly_SSB/690.gif
	offset	399 -85
	frame	data/chars/Broly_SSB/691.gif
	offset	299 -100
	frame	data/chars/Broly_SSB/692.gif
	offset	409 -102
	frame	data/chars/Broly_SSB/693.gif
	offset	414 -116
	frame	data/chars/Broly_SSB/694.gif
	offset	308 -111
	frame	data/chars/Broly_SSB/695.gif
	offset	342 -126
	frame	data/chars/Broly_SSB/696.gif
	offset	370 -116
	frame	data/chars/Broly_SSB/697.gif
	offset	433 -132
	frame	data/chars/Broly_SSB/698.gif
	offset	438 -127
	frame	data/chars/Broly_SSB/699.gif
	offset	443 -135
	frame	data/chars/Broly_SSB/700.gif
	offset	448 -155
	frame	data/chars/Broly_SSB/701.gif
	offset	453 -148
	frame	data/chars/Broly_SSB/702.gif
	offset	458 -148
	frame	data/chars/Broly_SSB/703.gif
	offset	339 -150
	frame	data/chars/Broly_SSB/704.gif
	offset	344 -164
	frame	data/chars/Broly_SSB/705.gif
	offset	345 -169
	frame	data/chars/Broly_SSB/706.gif
	offset	351 -187
	frame	data/chars/Broly_SSB/707.gif
	offset	351 -184
	frame	data/chars/Broly_SSB/708.gif
	offset	365 -182
	frame	data/chars/Broly_SSB/709.gif
	offset	359 -200
	frame	data/chars/Broly_SSB/710.gif
	offset	365 -197
	frame	data/chars/Broly_SSB/711.gif
		
anim	9000
	delay	7
	offset	0 0
	frame	data/chars/Broly_SSB/0.gif
	offset	0 0
	frame	data/chars/Broly_SSB/1.gif
	offset	320 100
	frame	data/chars/Broly_SSB/2.gif
		
anim	9020
	delay	7
	offset	320 240
	frame	data/chars/Broly_SSB/502.gif
		
anim	9021
	delay	7
	offset	0 0
	frame	data/chars/Broly_SSB/503.gif
	offset	0 0
	frame	data/chars/Broly_SSB/504.gif
	offset	0 0
	frame	data/chars/Broly_SSB/505.gif
	offset	0 0
	frame	data/chars/Broly_SSB/506.gif
	offset	0 0
	frame	data/chars/Broly_SSB/507.gif
	offset	0 0
	frame	data/chars/Broly_SSB/508.gif
	offset	0 0
	frame	data/chars/Broly_SSB/509.gif
	offset	0 0
	frame	data/chars/Broly_SSB/510.gif
	offset	0 0
	frame	data/chars/Broly_SSB/511.gif
	offset	0 0
	frame	data/chars/Broly_SSB/512.gif
	offset	0 0
	frame	data/chars/Broly_SSB/513.gif
	offset	0 0
	frame	data/chars/Broly_SSB/514.gif
	offset	0 0
	frame	data/chars/Broly_SSB/515.gif
	offset	0 0
	frame	data/chars/Broly_SSB/516.gif
		
anim	9022
	delay	7
	offset	88 130
	frame	data/chars/Broly_SSB/631.gif
	offset	93 218
	frame	data/chars/Broly_SSB/632.gif
	offset	80 250
	frame	data/chars/Broly_SSB/633.gif
	offset	63 249
	frame	data/chars/Broly_SSB/634.gif
	offset	55 248
	frame	data/chars/Broly_SSB/635.gif
	offset	58 242
	frame	data/chars/Broly_SSB/636.gif
	offset	53 250
	frame	data/chars/Broly_SSB/637.gif
	offset	62 259
	frame	data/chars/Broly_SSB/638.gif
	offset	64 258
	frame	data/chars/Broly_SSB/639.gif
	offset	66 258
	frame	data/chars/Broly_SSB/640.gif
	offset	34 257
	frame	data/chars/Broly_SSB/641.gif
	offset	21 258
	frame	data/chars/Broly_SSB/642.gif
	offset	36 255
	frame	data/chars/Broly_SSB/643.gif
	offset	36 250
	frame	data/chars/Broly_SSB/644.gif
	offset	34 246
	frame	data/chars/Broly_SSB/645.gif
	offset	-92 226
	frame	data/chars/Broly_SSB/646.gif
		
anim	attack1
	frame	data/chars/Broly_SSB/57.gif
	bbox	1 82 55 -80
	offset	31 77
	frame	data/chars/Broly_SSB/58.gif
	attack	53 20 47 29 0 0 0 0 0 0
	bbox	0 71 84 -69
	offset	41 67
	frame	data/chars/Broly_SSB/59.gif
	bbox	60 1 -58 82
	offset	28 77
	frame	data/chars/Broly_SSB/60.gif
	bbox	52 1 -52 81
	offset	29 78
	frame	data/chars/Broly_SSB/61.gif
	attack	49 21 38 38 0 0 1 0 0 0
	bbox	0 73 68 -71
	offset	34 68
	frame	data/chars/Broly_SSB/62.gif
	bbox	0 1 64 89
	offset	33 85
	frame	data/chars/Broly_SSB/63.gif
	attack	61 20 37 25 0 0 1 0 0 0
	bbox	1 75 80 -74
	offset	44 72
	frame	data/chars/Broly_SSB/64.gif
		
anim	attack2
	delay	7
	offset	22 78
	frame	data/chars/Broly_SSB/65.gif
	offset	31 84
	frame	data/chars/Broly_SSB/66.gif
	offset	42 63
	frame	data/chars/Broly_SSB/67.gif
	offset	30 55
	frame	data/chars/Broly_SSB/68.gif
		
anim	attack3
	delay	7
	offset	26 56
	frame	data/chars/Broly_SSB/69.gif
	offset	22 68
	frame	data/chars/Broly_SSB/70.gif
	offset	22 82
	frame	data/chars/Broly_SSB/71.gif
	offset	22 72
	frame	data/chars/Broly_SSB/72.gif
	offset	23 67
	frame	data/chars/Broly_SSB/73.gif
	offset	3 64
	frame	data/chars/Broly_SSB/74.gif
		
anim	attack551
	delay	7
	offset	160 170
	frame	data/chars/Broly_SSB/933.gif
	offset	160 170
	frame	data/chars/Broly_SSB/934.gif
	offset	160 170
	frame	data/chars/Broly_SSB/935.gif
	offset	160 170
	frame	data/chars/Broly_SSB/936.gif
	offset	160 170
	frame	data/chars/Broly_SSB/937.gif
	offset	160 170
	frame	data/chars/Broly_SSB/938.gif
	offset	160 170
	frame	data/chars/Broly_SSB/939.gif
	offset	160 170
	frame	data/chars/Broly_SSB/940.gif
	offset	160 170
	frame	data/chars/Broly_SSB/941.gif
	offset	160 170
	frame	data/chars/Broly_SSB/942.gif
	offset	160 170
	frame	data/chars/Broly_SSB/943.gif
	offset	160 170
	frame	data/chars/Broly_SSB/944.gif
	offset	160 170
	frame	data/chars/Broly_SSB/945.gif
	offset	160 170
	frame	data/chars/Broly_SSB/946.gif
	offset	160 170
	frame	data/chars/Broly_SSB/947.gif
	offset	160 170
	frame	data/chars/Broly_SSB/948.gif
	offset	160 170
	frame	data/chars/Broly_SSB/949.gif
	offset	160 170
