name				hound
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/pain101.gif

anim fall4
	shadowcoords 210 200
	dropframe	16
	landframe	17
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	frame	data/chars/hound/shock01.gif
	frame	data/chars/hound/shock02.gif
	frame	data/chars/hound/shock03.gif
	delay   999
	frame	data/chars/hound/fall01.gif
	frame	data/chars/hound/fall02.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall01.wav
	frame	data/chars/hound/fall02.gif
	delay	40
	frame	data/chars/hound/rise00.gif

anim rise4
	shadowcoords 210 200
	flipframe 4
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/hound/rise00.gif
	frame	data/chars/hound/rise01.gif
	frame	data/chars/hound/rise02.gif
	frame	data/chars/hound/rise03.gif
	frame	data/chars/hound/guard00.gif

anim death4
	shadowcoords 210 200
	loop	0
	 offset     225 198
	delay   1
	frame	data/chars/hound/rise00.gif

#----------------------------------------SHOCK ATTACK----------------------------------------;

#----------------------------------------FREEZE ATTACK----------------------------------------;

anim pain5
	shadowcoords 210 200
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/hound/freeze01.gif
	delay   5
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/freeze01.gif
	delay   4
	frame	data/chars/hound/pain101.gif
	delay   3
	frame	data/chars/hound/freeze01.gif
	delay   3
	frame	data/chars/hound/pain101.gif
	delay   4
	frame	data/chars/hound/freeze01.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   5
	frame	data/chars/hound/freeze01.gif
	delay   1
	frame	data/chars/hound/pain101.gif

	delay   50
	frame	data/chars/hound/freeze01.gif

	delay   5
	frame	data/chars/hound/freeze01.gif
	delay   1
	frame	data/chars/hound/pain101.gif
	delay   4
	frame	data/chars/hound/freeze01.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   3
	frame	data/chars/hound/freeze01.gif
	delay   3
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/freeze01.gif
	delay   4
	frame	data/chars/hound/pain101.gif
	delay   1
	frame	data/chars/hound/freeze01.gif
	delay   5
	frame	data/chars/hound/pain101.gif
	bbox		0 0 0 0
	frame	data/chars/hound/fall01.gif
	frame	data/chars/hound/fall02.gif
	delay   70
	frame	data/chars/hound/rise00.gif
	delay	10
	frame	data/chars/hound/rise01.gif
	delay	8
	frame	data/chars/hound/rise02.gif
	frame	data/chars/hound/rise03.gif
	frame	data/chars/hound/guard00.gif

anim fall5
	shadowcoords 210 200
	subentity	dust01
	spawnframe	11 0 0 0 0
	jumpframe	0 1 -1
	landframe	11
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/hound/freeze01.gif
	delay   5
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/freeze01.gif
	delay   4
	frame	data/chars/hound/pain101.gif
	delay   3
	frame	data/chars/hound/freeze01.gif
	delay   3
	frame	data/chars/hound/pain101.gif
	delay   4
	frame	data/chars/hound/freeze01.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   5
	frame	data/chars/hound/freeze01.gif
	delay   1
	frame	data/chars/hound/pain101.gif

	delay   999
	frame	data/chars/hound/freeze01.gif
	delay   1
	frame	data/chars/hound/freeze01.gif

anim rise5
	shadowcoords 210 200
	flipframe 17
	loop	0
	 offset     225 198

	bbox		212 143 30 55
	delay   50
	frame	data/chars/hound/freeze01.gif
	delay   5
	frame	data/chars/hound/freeze01.gif
	delay   1
	frame	data/chars/hound/pain101.gif
	delay   4
	frame	data/chars/hound/freeze01.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   3
	frame	data/chars/hound/freeze01.gif
	delay   3
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/hound/freeze01.gif
	delay   4
	frame	data/chars/hound/pain101.gif
	delay   1
	frame	data/chars/hound/freeze01.gif
	delay   5
	frame	data/chars/hound/pain101.gif
	bbox		0 0 0 0
	frame	data/chars/hound/fall01.gif
	frame	data/chars/hound/fall02.gif
	delay   70
	frame	data/chars/hound/rise00.gif
	delay	10
	frame	data/chars/hound/rise01.gif
	delay	8
	frame	data/chars/hound/rise02.gif
	frame	data/chars/hound/rise03.gif
	frame	data/chars/hound/guard00.gif

	
anim death5
	shadowcoords 210 200
	loop	0
	 offset     225 198

	delay   50
	frame	data/chars/hound/freeze01.gif
	delay   5
	frame	data/chars/hound/freeze01.gif
	delay   1
	frame	data/chars/misc/empty.gif
	delay   4
	frame	data/chars/hound/freeze01.gif
	delay   2
	frame	data/chars/misc/empty.gif
	delay   3
	frame	data/chars/hound/freeze01.gif
	delay   3
	frame	data/chars/misc/empty.gif
	delay   2
	frame	data/chars/hound/freeze01.gif
	delay   4
	frame	data/chars/misc/empty.gif
	delay   1
	frame	data/chars/hound/freeze01.gif
	delay   5
	frame	data/chars/misc/empty.gif

#----------------------------------------FREEZE ATTACK----------------------------------------;


#----------------------------------------POLYMORPH ATTACK----------------------------------------;

anim pain6
	shadowcoords 210 200
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/poly/frog01.gif
	delay   5
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog01.gif
	delay   4
	frame	data/chars/hound/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog01.gif
	delay   3
	frame	data/chars/hound/pain101.gif
	delay   4
	frame	data/chars/misc/poly/frog01.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   5
	frame	data/chars/misc/poly/frog01.gif
	delay   1
	frame	data/chars/hound/pain101.gif

	delay   8
	frame	data/chars/misc/poly/frog01.gif
	frame	data/chars/misc/poly/frog02.gif
	frame	data/chars/misc/poly/frog03.gif
	frame	data/chars/misc/poly/frog04.gif
	frame	data/chars/misc/poly/frog05.gif
	frame	data/chars/misc/poly/frog06.gif
	frame	data/chars/misc/poly/frog07.gif
	delay   200
	frame	data/chars/misc/poly/frog08.gif

	delay   5
	frame	data/chars/misc/poly/frog08.gif
	delay   1
	frame	data/chars/hound/pain101.gif
	delay   4
	frame	data/chars/misc/poly/frog08.gif
	delay   2
	frame	data/chars/hound/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog08.gif
	delay   3
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog08.gif
	delay   4
	frame	data/chars/hound/pain101.gif
	delay   1
	frame	data/chars/misc/poly/frog08.gif
	delay   5
	frame	data/chars/hound/pain101.gif

anim fall6
	shadowcoords 210 200
	subentity	dust01
	spawnframe	11 0 0 0 0
	jumpframe	0 1 -1
	landframe	11
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/poly/frog05.gif
	delay   5
	frame	data/chars/hound/pain101.gif
	delay   2
	frame	data/chars/misc/poly/frog05.gif
	delay   4
	frame	data/chars/hound/pain101.gif
	delay   3
	frame	data/chars/misc/poly/frog05.gif
	delay   3
	frame	data/chars/hound/pain101.gif
	delay   4
