name	       Megaman
	@cmd	spawn01 "Megamane" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	@cmd	spawn01 "Megamane" 36 37 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 62
	@cmd	spawn01 "Megamane" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	@cmd	spawn01 "Megamane" 36 37 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 62
	@cmd	spawn01 "Megamane" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	@cmd	spawn01 "Megamane" 36 37 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 62
	@cmd	spawn01 "Megamane" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	@cmd	spawn01 "Megamane" 36 37 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 62
	@cmd	spawn01 "Megamane" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	@cmd	spawn01 "Megamane" 36 37 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 64
	frame	data/Chars/Megaman/anew5.gif
		
anim	freespecial6
	bbox	17 4 52 62
	loop	0
	offset	38 67
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/anew1.gif
	offset	38 71
	frame	data/Chars/Megaman/anew2.gif
	offset	46 68
	frame	data/Chars/Megaman/anew3.gif
	delay	6
	loop	0
	offset	46 62
	@cmd	spawn01 "Megamanh" 36 42 0
	frame	data/Chars/Megaman/anew4.gif
	offset	46 64
	frame	data/Chars/Megaman/anew5.gif
		
anim	get
	bbox	4 3 60 47
	loop	0
	delay	6
	offset	32 51
	frame	data/Chars/Megaman/get.gif

anim	land
	bbox	4 3 60 47
	loop	0
	delay	6
	offset	32 51
	frame	data/Chars/Megaman/get.gif

anim	rise
	bbox	4 3 60 47
	loop	0
	delay	6
	offset	32 51
	frame	data/Chars/Megaman/get.gif
		
anim	idle
	bbox	2 3 74 67
	offset	38 69
	loop	1
	delay	6
	frame	data/Chars/Megaman/idle1.gif
	offset	38 68
	frame	data/Chars/Megaman/idle2.gif
	offset	41 72
	frame	data/Chars/Megaman/idle3.gif
	offset	38 68
	frame	data/Chars/Megaman/idle4.gif
		
anim	jump
	bbox	31 25 20 82
	loop	0
	offset	32 116
	delay	6
	frame	data/Chars/Megaman/jump1.gif
	offset	23 109
	frame	data/Chars/Megaman/jump2.gif
	bbox	15 16 22 60
	offset	20 84
	frame	data/Chars/Megaman/jump3.gif
	offset	21 66
	frame	data/Chars/Megaman/jump4.gif
	bbox	5 6 48 42
	offset	19 49
	frame	data/Chars/Megaman/jump5.gif
		
anim	jumpattack
	bbox	23 11 27 54
	loop	0
	offset	37 68
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/rja1.gif
	blast	19 36 83 57 16 0 0 45
	offset	54 71
	frame	data/Chars/Megaman/rja2.gif
	blast	7 48 81 33 16 0 0 45
	offset	50 72
	frame	data/Chars/Megaman/rja3.gif
		
anim	pain
	bbox	7 4 80 77
	loop	0
	offset	43 79
	delay	6
	frame	data/chars/Megaman/pain.gif
		
anim	runjumpattack
	bbox	23 11 27 54
	loop	0
	offset	37 68
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/rja1.gif
	blast	19 36 83 57 16 0 0 45
	offset	54 71
	frame	data/Chars/Megaman/rja2.gif
	blast	7 48 81 33 16 0 0 45
	offset	50 72
	frame	data/Chars/Megaman/rja3.gif
		
anim	select
	loop	0
	offset	34 73
	delay	6
	frame	data/Chars/Megaman/sel1.gif
	offset	42 95
	frame	data/Chars/Megaman/sel2.gif
	offset	44 90
	frame	data/Chars/Megaman/sel3.gif
	offset	35 70
	frame	data/Chars/Megaman/sel4.gif
	offset	39 72
	frame	data/Chars/Megaman/sel5.gif
	frame	data/Chars/Megaman/sel6.gif
	frame	data/Chars/Megaman/sel7.gif
		
anim	special
	loop	0
	offset	81 88
	delay	1
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Megaman/s1.gif
	frame	data/Chars/Megaman/s2.gif
	offset	99 110
	frame	data/Chars/Megaman/s3.gif
	frame	data/Chars/Megaman/s4.gif
	frame	data/Chars/Megaman/s5.gif
	offset	116 128
	frame	data/Chars/Megaman/s6.gif
	frame	data/Chars/Megaman/s7.gif
	frame	data/Chars/Megaman/s8.gif
	frame	data/Chars/Megaman/s9.gif
	offset	134 144
	frame	data/Chars/Megaman/s10.gif
	offset	144 154
	frame	data/Chars/Megaman/s11.gif
	offset	134 144
	frame	data/Chars/Megaman/s12.gif
	frame	data/Chars/Megaman/s13.gif
	bbox	0 0 0 0
	offset	144 154
	frame	data/Chars/Megaman/s14.gif
	offset	134 144
	bbox	0 0 0 0
	frame	data/Chars/Megaman/s15.gif
	offset	144 154
	frame	data/Chars/Megaman/s16.gif
	offset	134 144
	frame	data/Chars/Megaman/s17.gif
	offset	144 154
	frame	data/Chars/Megaman/s18.gif
	offset	134 144
	frame	data/Chars/Megaman/s19.gif
	offset	144 154
	frame	data/Chars/Megaman/s20.gif
	offset	134 144
	frame	data/Chars/Megaman/s21.gif
	offset	145 157
	frame	data/Chars/Megaman/s22.gif
	offset	134 144
	frame	data/Chars/Megaman/s23.gif
	offset	162 160
	frame	data/Chars/Megaman/s24.gif
	offset	134 144
	frame	data/Chars/Megaman/s25.gif
	offset	165 168
	frame	data/Chars/Megaman/s26.gif
	offset	134 144
	frame	data/Chars/Megaman/s27.gif
	offset	168 168
	frame	data/Chars/Megaman/s28.gif
	offset	134 138
	@cmd	spawn01 "megamanc" 100 90 0
	delay	15
	frame	data/Chars/Megaman/s29.gif
	frame	data/Chars/Megaman/s30.gif
	frame	data/Chars/Megaman/s31.gif
	frame	data/Chars/Megaman/s32.gif
		
anim	waiting
	loop	0
	offset	44 82
	delay	6
	frame	data/Chars/Megaman/w1.gif
		
anim	walk
	bbox	3 6 58 60
	loop	1
	delay	6
	offset	37 67
	frame	data/Chars/Megaman/walk1.gif
	offset	17 67
	frame	data/Chars/Megaman/walk2.gif
	offset	17 71
	frame	data/Chars/Megaman/walk3.gif
	offset	36 68
	frame	data/Chars/Megaman/walk4.gif
	offset	26 70
	frame	data/Chars/Megaman/walk5.gif
	offset	26 69
	frame	data/Chars/Megaman/walk6.gif
	offset	26 72
	frame	data/Chars/Megaman/walk7.gif
	offset	37 71
	frame	data/Chars/Megaman/walk8.gif

anim	run
	bbox	3 6 58 60
	loop	1
	delay	6
	offset	37 67
	frame	data/Chars/Megaman/walk1.gif
	offset	17 67
	frame	data/Chars/Megaman/walk2.gif
	offset	17 71
	frame	data/Chars/Megaman/walk3.gif
	offset	36 68
	frame	data/Chars/Megaman/walk4.gif
	offset	26 70
	frame	data/Chars/Megaman/walk5.gif
	offset	26 69
	frame	data/Chars/Megaman/walk6.gif
	offset	26 72
	frame	data/Chars/Megaman/walk7.gif
	offset	37 71
	frame	data/Chars/Megaman/walk8.gif
		
#|edited by openBor Stats v 0.50
		
