
name	Dugong
	frame	data/chars/Dugong/pain02.gif
	frame	data/chars/Dugong/pain03.gif
	frame	data/chars/Dugong/pain04.gif
		
anim	rise
	loop	0
	offset	43 78
	delay	5
	frame	data/chars/Dugong/pain03.gif
	frame	data/chars/Dugong/pain04.gif
		
anim	run
	loop	1
	delay	10
	offset	43 77
	bbox	37 65 23 15
	running	20 4 3 1 1
	frame	data/chars/Dugong/run01.gif
	frame	data/chars/Dugong/run02.gif
	frame	data/chars/Dugong/run03.gif
	frame	data/chars/Dugong/run04.gif
	frame	data/chars/Dugong/run05.gif
	frame	data/chars/Dugong/run04.gif
	frame	data/chars/Dugong/run03.gif
	frame	data/chars/Dugong/run02.gif
		
anim	select
	loop	0
	delay	10
	offset	43 78
	frame	data/chars/Dugong/come07.gif
	frame	data/chars/Dugong/come08.gif
	frame	data/chars/Dugong/come09.gif
	frame	data/chars/Dugong/come10.gif
	frame	data/chars/Dugong/come11.gif
		
anim	spawn
	loop	0
	delay	10
	offset	43 78
	bbox	38 51 19 29
	frame	data/chars/Dugong/come01.gif
	frame	data/chars/Dugong/come02.gif
	frame	data/chars/Dugong/come03.gif
	frame	data/chars/Dugong/come04.gif
	frame	data/chars/Dugong/come05.gif
	frame	data/chars/Dugong/pose01.gif
	frame	data/chars/Dugong/come07.gif
	frame	data/chars/Dugong/come08.gif
	frame	data/chars/Dugong/come09.gif
	frame	data/chars/Dugong/come10.gif
	frame	data/chars/Dugong/come11.gif
		
anim	special
	loop	0
	delay	10
	offset	43 78
	bbox	38 51 19 29
	mpcost	10
	mponly	1
	spawnframe	1 20 0 0 0
	subentity	Dugongs
	frame	data/chars/Dugong/get01.gif
	frame	data/chars/Dugong/get02.gif
	frame	data/chars/Dugong/get03.gif
		
anim	waiting
	loop	0
	delay	10
	offset	43 78
	frame	data/chars/Dugong/pose01.gif
		
anim	walk
	loop	1
	delay	15
	offset	43 78
	bbox	38 51 19 29
	frame	data/chars/Dugong/walk01.gif
	frame	data/chars/Dugong/walk02.gif
	frame	data/chars/Dugong/walk03.gif
	frame	data/chars/Dugong/walk02.gif
		
#|edited by openBor Stats v 0.67
		
