name	    		Guy
       frame      data/chars/guy/a405.gif

anim jumpdelay
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
       frame      data/chars/guy/land01.gif

anim jump
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      35
       frame      data/chars/guy/jump01.gif
	 delay      15
       frame      data/chars/guy/jump02.gif
	 delay      999
       frame      data/chars/guy/jump01.gif

anim forwardjump
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      32
       frame      data/chars/guy/jump01.gif
	 delay      7
       frame      data/chars/guy/fjump01.gif
       frame      data/chars/guy/fjump02.gif
       frame      data/chars/guy/fjump03.gif
       frame      data/chars/guy/fjump04.gif
	 delay      999
       frame      data/chars/guy/jump01.gif


anim jumpland
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      8
       frame      data/chars/guy/land01.gif

anim jumpattack
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/guy/guy02.wav
	 delay      5
       frame      data/chars/guy/jump02.gif
	 delay      7
       frame      data/chars/guy/ja101.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 79 	29 		100 	8 			1 		0 		0 			20			15
	 delay      35
	 frame	data/chars/guy/ja102.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      7
       frame      data/chars/guy/ja101.gif
	 delay      5
       frame      data/chars/guy/jump02.gif
	 delay      999
       frame      data/chars/guy/jump01.gif

anim jumpforward
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/guy/guy02.wav
	 delay      4
       frame      data/chars/guy/jump02.gif
       frame      data/chars/guy/ja201.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 99 	54 		80 		8 			1 		0 		0 			20			15
	 delay      35
	 frame	data/chars/guy/ja202.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      6
       frame      data/chars/guy/ja201.gif
	 delay      999
       frame      data/chars/guy/jump01.gif

anim jumpattack2
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat1.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	226 122 30 		35 		4 			0 		0 		0 			15			15
	 delay      999
	 frame	data/chars/guy/ja301.gif


anim grab
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      6
       frame      data/chars/guy/grab01.gif

anim grabattack
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 116 52 		88 		4 			0 		0 		0 			15			0
       frame      data/chars/guy/th101.gif

anim grabattack2
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 116 52 		88 		8 			1 		0 		0 			20			0
       frame      data/chars/guy/th101.gif

anim grabbackward
	flipframe	4
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/guy/guy03.wav
	attackone	0
	
	 delay      35
	@cmd slamstart
	@cmd position 0 1 1 0 1
       frame      data/chars/guy/th201.gif
	 delay      30
	@cmd position 1 1 -11 0 1
      frame      data/chars/guy/th202.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 8 1 -2.5 2.5 0 1
	@cmd clearL
	damageonlanding 2 1
	 delay      55
       frame      data/chars/guy/th202.gif
	 delay      1
       frame      data/chars/guy/th202.gif
	 delay      1
       frame      data/chars/guy/idle01.gif

anim grabdown
	flipframe	4
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/guy/guy03.wav
	attackone	0

	 delay      35
	@cmd slamstart
	@cmd position 0 1 1 0 1
       frame      data/chars/guy/th201.gif
	 delay      30
	@cmd position 1 1 -11 0 1
      frame      data/chars/guy/th202.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 8 1 -2.5 2.5 0 1
	@cmd clearL
#	 damageonlanding 2 1
	 delay      55
       frame      data/chars/guy/th202.gif
	 delay      1
       frame      data/chars/guy/th202.gif
	 delay      1
       frame      data/chars/guy/idle01.gif

anim grabforward
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/guy/guy03.wav
	attackone	0

	 delay      35
	@cmd slamstart
	@cmd position 0 1 1 0 0
       frame      data/chars/guy/th301.gif
	 delay      30
	@cmd position 1 1 -11 0 0
      frame      data/chars/guy/th302.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 8 1 -2.5 2.5 0 1
	@cmd clearL
#	 damageonlanding 2 1
	 delay      55
       frame      data/chars/guy/th302.gif
	 delay      1
       frame      data/chars/guy/th302.gif
	 delay      1
       frame      data/chars/guy/idle01.gif

anim grabup
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/guy/guy03.wav
	attackone	0

	 delay      35
	@cmd slamstart
	@cmd position 0 1 1 0 0
       frame      data/chars/guy/th301.gif
	 delay      30
	@cmd position 1 1 -11 0 0
      frame      data/chars/guy/th302.gif

	  hitfx   	data/sounds/punch.wav
	@cmd depost 0
	@cmd throw 8 1 -2.5 2.5 0 1
	@cmd clearL
#	 damageonlanding 2 1
	 delay      55
       frame      data/chars/guy/th302.gif
	 delay      1
       frame      data/chars/guy/th302.gif
	 delay      1
       frame      data/chars/guy/idle01.gif

anim riseattack1
	 jugglecost 100
	 jumpframe 2 3.3
	 landframe  11
	 energycost	5
	 mponly  	2
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/beat2.wav

	 delay      10
       frame      data/chars/guy/rise01.gif
       frame      data/chars/guy/get01.gif
	 sound   	data/chars/guy/guy03.wav
	 delay      4
       frame      data/chars/guy/jump01.gif
	 delay      9
       frame      data/chars/guy/sp01.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	234 111 41 		81 		8 			1 		1 		0 			20			15
	 delay      12
       frame      data/chars/guy/sp02.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
	 delay      8
       frame      data/chars/guy/sp03.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	194 111 41 		81 		8 			1 		1 		0 			20			15
	 delay      12
       frame      data/chars/guy/sp04.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
	 delay      8
       frame      data/chars/guy/sp01.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack3  	234 111 41 		81 		8 			1 		1 		0 			20			15
	 delay      12
       frame      data/chars/guy/sp02.gif
	 attack3  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
	 delay      9
       frame      data/chars/guy/sp03.gif

	 delay      999
       frame      data/chars/guy/jump01.gif

	 delay      9
       frame      data/chars/guy/land01.gif

#-----------------NORMAL PUNCH 01-----------------#

anim pain
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/guy/pain01.gif
	 offset     237 177
       frame      data/chars/guy/pain01.gif
	 offset     238 177
       frame      data/chars/guy/pain01.gif
	 offset     239 177
       frame      data/chars/guy/pain01.gif
	 offset     238 177
       frame      data/chars/guy/pain01.gif
	 offset     237 177
       frame      data/chars/guy/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/guy/pain01.gif

anim fall
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/guy/fall01.gif
	 delay      1
       frame      data/chars/guy/fall02.gif


#-----------------NORMAL PUNCH 01-----------------#


#-----------------NORMAL PUNCH 02-----------------#

anim pain2
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/guy/pain02.gif
	 offset     237 177
       frame      data/chars/guy/pain02.gif
	 offset     238 177
       frame      data/chars/guy/pain02.gif
	 offset     239 177
       frame      data/chars/guy/pain02.gif
	 offset     238 177
       frame      data/chars/guy/pain02.gif
	 offset     237 177
       frame      data/chars/guy/pain02.gif
	 offset     238 177
	 delay      12
       frame      data/chars/guy/pain02.gif

anim fall2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/guy/fall01.gif
	 delay      1
       frame      data/chars/guy/fall02.gif

#-----------------NORMAL PUNCH 02-----------------#


#-----------------SPECIAL ATTACK-----------------#

anim pain3
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/guy/pain01.gif
	 offset     237 177
       frame      data/chars/guy/pain01.gif
	 offset     238 177
       frame      data/chars/guy/pain01.gif
	 offset     239 177
       frame      data/chars/guy/pain01.gif
	 offset     238 177
       frame      data/chars/guy/pain01.gif
	 offset     237 177
       frame      data/chars/guy/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/guy/pain01.gif

anim fall3
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				0 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		0 0 0 0
       frame      data/chars/guy/fall01.gif
	 delay      1
       frame      data/chars/guy/fall02.gif

#-----------------SPECIAL ATTACK-----------------#

#-----------------THROW LAUNCH-----------------#

anim fall4
#	 jumpframe 	2 2.5 -2
#	 landframe	5
	 flipframe	0 
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0

#-------------------------------------------cody
	 delay      999
       frame      data/chars/guy/cody01.gif	# 0
	 delay      999
       frame      data/chars/guy/cody02.gif	# 1
#-------------------------------------------cody
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/guy/hagg01.gif	# 2
	 delay      999
       frame      data/chars/guy/hagg02.gif	# 3
 	 delay      999
       frame      data/chars/guy/hagg03.gif	# 4
	 delay      999
       frame      data/chars/guy/hagg04.gif	# 5
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/guy/hagg05.gif	# 6
	 delay      999
       frame      data/chars/guy/hagg06.gif	# 7
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/guy/hagg07.gif	# 8
	 delay      999
       frame      data/chars/guy/hagg08.gif	# 9
	 delay      999
       frame      data/chars/guy/hagg09.gif	# 10
	 delay      999
       frame      data/chars/guy/hagg10.gif	# 11
	 delay      999
       frame      data/chars/guy/hagg11.gif	# 12
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/guy/hagg12.gif	# 13
	 delay      999
       frame      data/chars/guy/hagg13.gif	# 14
#-------------------------------------------Haggar
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/guy/dean01.gif	# 15
	 delay      999
       frame      data/chars/guy/dean02.gif	# 16
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/guy/dean03.gif	# 17

	 delay      999
       frame      data/chars/guy/dean04.gif	# 18

	 delay      999
       frame      data/chars/guy/dean05.gif	# 19
#-------------------------------------------Dean
	   

#-----------------THROW LAUNCH-----------------#

#-----------------THROW FALL-----------------#

anim fall5
	shadowcoords 238 177
	fastattack	1
	 landframe  1
	 loop       0
	 offset     198 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/guy/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 offset     238 177
	shadowcoords 238 177
	move	50
	 delay      1
       frame      data/chars/guy/fall02.gif

#-----------------THROW FALL-----------------#

#-----------------THROW FALL 2-----------------#

anim fall6
	fastattack	1
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/guy/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 delay      1
       frame      data/chars/guy/fall02.gif

#-----------------THROW FALL 2-----------------#


#-----------------BURN1-----------------#

anim pain11
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     239 177
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
	 delay      12
       frame      data/chars/guy/pain01.gif

anim fall11
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
	 delay      999
       frame      data/chars/guy/fall01.gif
	 delay      1
       frame      data/chars/guy/fall02.gif

#-----------------BURN1-----------------#

#-----------------BURN2-----------------#

anim pain12
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     239 177
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
	 delay      12
       frame      data/chars/guy/pain01.gif

anim fall12
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
	 delay      999
       frame      data/chars/guy/fall01.gif
	 delay      1
       frame      data/chars/guy/fall02.gif

#-----------------BURN2-----------------#

#-----------------SHOCK-----------------#

anim pain13
	 loop       0
	 offset     238 167
	 bbox		226 102 23 76
	 sound   	data/sounds/shock01.wav
	 delay      2
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     237 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     238 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     239 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 sound   	data/sounds/shock01.wav
	 offset     238 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     237 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     238 167
	 delay      12
       frame      data/chars/guy/pain01.gif

anim fall13
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 167
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
	 sound   	data/sounds/shock01.wav
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
