name	Sasuke
	bbox	41 64 34 52
	frame	data/chars/Sasuke/upper00.gif
	frame	data/chars/Sasuke/upper01.gif
	attack	55 65 38 35 14 1
	frame	data/chars/Sasuke/upper02.gif
	delay	30
	frame	data/chars/Sasuke/upper03.gif
	delay	7
	frame	data/chars/Sasuke/upper00.gif
		
anim	idle
	loop	1
	delay	15
	offset	60 116
	bbox	41 64 34 52
	frame	data/chars/Sasuke/idle00.gif
	frame	data/chars/Sasuke/idle01.gif
	frame	data/chars/Sasuke/idle02.gif
	frame	data/chars/Sasuke/idle03.gif
	frame	data/chars/Sasuke/idle04.gif
	frame	data/chars/Sasuke/idle03.gif
	frame	data/chars/Sasuke/idle02.gif
	frame	data/chars/Sasuke/idle01.gif
		
anim	jump
	loop	0
	offset	60 116
	delay	20
	bbox	49 68 26 29
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Sasuke/jump00.gif
	frame	data/chars/Sasuke/jump01.gif
		
anim	jumpattack
	loop	0
	offset	60 116
	delay	10
	bbox	49 68 26 29
	sound	data/chars/Sasuke/ha2.wav
	frame	data/chars/Sasuke/jatk00.gif
	attack	40 80 48 26 14 1
	frame	data/chars/Sasuke/jatk01.gif
	frame	data/chars/Sasuke/jatk02.gif
		
anim	jumpattack2
	loop	0
	offset	60 116
	delay	10
	bbox	49 68 26 29
	sound	data/chars/Sasuke/ha2.wav
	frame	data/chars/Sasuke/jatk00.gif
	attack	52 63 29 53 14 1
	frame	data/chars/Sasuke/jatk01.gif
	frame	data/chars/Sasuke/jatk02.gif
		
anim	land
	loop	0
	delay	10
	offset	60 116
	frame	data/chars/Sasuke/get02.gif
		
anim	pain
	loop	0
	offset	60 116
	delay	30
	bbox	41 64 34 52
	sound	data/chars/Sasuke/ugh.wav
	frame	data/chars/Sasuke/pain.gif
		
anim	rise
	loop	0
	offset	60 116
	delay	10
	frame	data/chars/Sasuke/get01.gif
	frame	data/chars/Sasuke/rise.gif
		
anim	run
	loop	1
	delay	7
	offset	60 116
	bbox	41 64 34 52
	frame	data/chars/Sasuke/run00.gif
	frame	data/chars/Sasuke/run01.gif
	frame	data/chars/Sasuke/run02.gif
	frame	data/chars/Sasuke/run03.gif
	frame	data/chars/Sasuke/run04.gif
	frame	data/chars/Sasuke/run05.gif
		
anim	runattack
	loop	0
	delay	2
	offset	60 116
	bbox	41 64 34 52
	move	3
	frame	data/chars/Sasuke/rush00.gif
	frame	data/chars/Sasuke/rush00.gif
	frame	data/chars/Sasuke/rush00.gif
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Sasuke/rush01.gif
	frame	data/chars/Sasuke/rush01.gif
	frame	data/chars/Sasuke/rush01.gif
	blast	55 89 33 7 14 1
	frame	data/chars/Sasuke/rush02.gif
	frame	data/chars/Sasuke/rush02.gif
	frame	data/chars/Sasuke/rush02.gif
	blast	0
	move	0
	delay	30
	frame	data/chars/Sasuke/rush02.gif
	delay	7
	frame	data/chars/Sasuke/rush03.gif
		
anim	special
	energycost	0
	mponly	1
	@cmd	enoughmp
	loop	0
	offset	60 116
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	@cmd	changeopenborvariant "slowmotion" 1
	frame	data/chars/Sasuke/chdri00.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	@cmd	changeopenborvariant "slowmotion" 0
	delay	10
	frame	data/chars/Sasuke/chdri01.gif
	frame	data/chars/Sasuke/chdri02.gif
	frame	data/chars/Sasuke/chdri03.gif
	delay	7
	frame	data/chars/Sasuke/chdri06.gif
	frame	data/chars/Sasuke/chdri03.gif
	frame	data/chars/Sasuke/chdri06.gif
	frame	data/chars/Sasuke/chdri03.gif
	frame	data/chars/Sasuke/chdri04.gif
	frame	data/chars/Sasuke/chdri05.gif
	frame	data/chars/Sasuke/chdri06.gif
	frame	data/chars/Sasuke/chdri07.gif
	frame	data/chars/Sasuke/chdri08.gif
	blast	37 82 52 41 30 1
	frame	data/chars/Sasuke/chdri09.gif
	frame	data/chars/Sasuke/chdri10.gif
	frame	data/chars/Sasuke/chdri11.gif
	frame	data/chars/Sasuke/chdri12.gif
	frame	data/chars/Sasuke/chdri13.gif
	frame	data/chars/Sasuke/chdri14.gif
	blast	0
	frame	data/chars/Sasuke/chdri15.gif
	@cmd	dasher 1 0 0
	blast	9 82 66 35 30 1
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Sasuke/chdri16.gif
	frame	data/chars/Sasuke/chdri17.gif
	delay	3
	@cmd	dasher 3 0 0
	blast	31 69 79 37 30 1
	frame	data/chars/Sasuke/chdri18.gif
	frame	data/chars/Sasuke/chdri18.gif
	frame	data/chars/Sasuke/chdri18.gif
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Sasuke/chdri19.gif
	frame	data/chars/Sasuke/chdri19.gif
	frame	data/chars/Sasuke/chdri19.gif
	move	3
	frame	data/chars/Sasuke/chdri19.gif
	frame	data/chars/Sasuke/chdri19.gif
	frame	data/chars/Sasuke/chdri19.gif
	delay	7
	@cmd	stop
	frame	data/chars/Sasuke/chdri20.gif
	frame	data/chars/Sasuke/chdri21.gif
	frame	data/chars/Sasuke/chdri22.gif
	blast	0
	delay	30
	frame	data/chars/Sasuke/chdri23.gif
		
anim	throw
	loop	0
	offset	60 116
	delay	10
	frame	data/chars/Sasuke/throw00.gif
	frame	data/chars/Sasuke/throw01.gif
	delay	30
	frame	data/chars/Sasuke/throw02.gif
		
anim	walk
	loop	1
	delay	15
	offset	60 116
	bbox	41 64 34 52
	frame	data/chars/Sasuke/walk00.gif
	frame	data/chars/Sasuke/walk01.gif
	frame	data/chars/Sasuke/walk02.gif
	frame	data/chars/Sasuke/walk03.gif
	frame	data/chars/Sasuke/walk04.gif
	frame	data/chars/Sasuke/walk05.gif
		
#|edited by openBor Stats v 0.67
		
