name	Mecha-Knuckles
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
		
anim	pain2
	loop	0
	offset	119 114
	bbox	98 59 34 53
	delay	3
	quakeframe	0 3 4
	Move	-3
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	Attack1	0
	frame	Data/CHARS/MKnux/Pain.GIF
	Move	-2
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
	Move	-1
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
	Move	0
	delay	8
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
		
anim	pain3
	loop	0
	offset	119 114
	bbox	98 59 34 53
	delay	3
	quakeframe	0 3 4
	Move	-5
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	Move	-4
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
	Move	-3
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	Move	-2
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	Move	-1
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	Move	0
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	delay	8
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
		
anim	pain4
	loop	0
	delay	6
	offset	119 114
	bbox	100 64 38 49
	frame	Data/CHARS/MKnux/Fall1.GIF
	offset	121 114
	frame	Data/CHARS/MKnux/Fall1.GIF
	offset	119 114
	frame	Data/CHARS/MKnux/Fall1.GIF
	offset	121 114
	frame	Data/CHARS/MKnux/Fall1.GIF
	offset	119 114
	frame	Data/CHARS/MKnux/Fall1.GIF
	offset	121 114
	frame	Data/CHARS/MKnux/Fall1.GIF
	offset	119 114
	frame	Data/CHARS/MKnux/Fall1.GIF
	offset	121 114
	frame	Data/CHARS/MKnux/Fall1.GIF
	offset	119 114
	delay	50
	frame	Data/CHARS/MKnux/Fall1.GIF
	bbox	0 0 0 0
	delay	2
	frame	Data/CHARS/MKnux/Idle.GIF
		
anim	pain5
	loop	0
	offset	119 114
	bbox	98 59 34 53
	jumpframe	0 3 0
	delay	3
	quakeframe	0 3 4
	frame	Data/CHARS/MKnux/Pain.GIF
	delay	2
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	delay	9
	frame	Data/CHARS/MKnux/Idle.GIF
		
anim	pain6
	loop	0
	offset	119 114
	bbox	98 59 34 53
	jumpframe	0 3 -1.5
	delay	3
	quakeframe	0 3 4
	frame	Data/CHARS/MKnux/Pain.GIF
	delay	2
	frame	Data/CHARS/MKnux/Idle.GIF
	frame	Data/CHARS/MKnux/Pain.GIF
	frame	Data/CHARS/MKnux/Idle.GIF
	delay	9
	frame	Data/CHARS/MKnux/Idle.GIF
		
anim	rise
	loop	0
	offset	119 114
	delay	2
	frame	Data/CHARS/MKnux/Idle.GIF
		
anim	run
	loop	1
	delay	3
	offset	119 114
	bbox	103 53 39 59
	frame	Data/CHARS/MKnux/Run0.GIF
	frame	Data/CHARS/MKnux/Run1.GIF
	frame	Data/CHARS/MKnux/Run0.GIF
	frame	Data/CHARS/MKnux/Run2.GIF
	frame	Data/CHARS/MKnux/Run0.GIF
	frame	Data/CHARS/MKnux/Run3.GIF
		
anim	special2
	delay	5
	offset	119 114
	frame	Data/CHARS/MKnux/A4-0.GIF
	attack	123 78 28 17 20
	frame	Data/CHARS/MKnux/A4-1.GIF
	attack	122 76 39 20 20
	frame	Data/CHARS/MKnux/A4-2.GIF
	attack	117 78 49 18 20
	frame	Data/CHARS/MKnux/A4-3.GIF
	attack	117 78 58 17 20
	frame	Data/CHARS/MKnux/A4-4.GIF
	attack	117 79 71 17 20
	frame	Data/CHARS/MKnux/A4-5.GIF
	attack	0
	frame	Data/CHARS/MKnux/A4-4.GIF
	frame	Data/CHARS/MKnux/A4-3.GIF
	frame	Data/CHARS/MKnux/A4-2.GIF
	frame	Data/CHARS/MKnux/A4-1.GIF
	frame	Data/CHARS/MKnux/A4-0.GIF
		
anim	walk
	loop	1
	delay	7
	offset	119 114
	bbox	103 53 39 59
	frame	Data/CHARS/MKnux/Run0.GIF
	frame	Data/CHARS/MKnux/Run1.GIF
	frame	Data/CHARS/MKnux/Run0.GIF
	frame	Data/CHARS/MKnux/Run2.GIF
	frame	Data/CHARS/MKnux/Run0.GIF
	frame	Data/CHARS/MKnux/Run3.GIF
		
#|edited by openBor Stats v 0.53
		
