name				lizking
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	

#----------------------------------------ATTACK 1----------------------------------------;


#----------------------------------------ATTACK 2----------------------------------------;

anim pain2
	shadowcoords 210 200
	load		blood11
	subentity	blood11
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	bbox	212 117 30 81
	sound   data/sounds/liz01.wav

	
	offset     225 198
	
	delay   2
	move	-5
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	move	-4
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	move	-4
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	move	-3
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	move	-3
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	move	-2
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	move	-2
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	move	-1
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	move	-1
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif

	move	0
	delay   2
	offset     228 198
	frame	data/chars/lizking/pain101.gif
	offset     225 198
	frame	data/chars/lizking/pain101.gif
	offset     222 198
	frame	data/chars/lizking/pain101.gif
	offset     225 198
	frame	data/chars/lizking/pain101.gif
	offset     228 198
	frame	data/chars/lizking/pain101.gif
	offset     225 198
	frame	data/chars/lizking/pain101.gif
	offset     222 198
	frame	data/chars/lizking/pain101.gif
	offset     225 198
	frame	data/chars/lizking/pain101.gif
	offset     228 198
	frame	data/chars/lizking/pain101.gif
	offset     225 198
	frame	data/chars/lizking/pain101.gif
	offset     222 198
	frame	data/chars/lizking/pain101.gif
	offset     225 198
	frame	data/chars/lizking/pain101.gif

anim fall2
	shadowcoords 210 200
	load		blood11
	subentity	blood11
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	dropframe		1
	landframe		2
	loop	0
	 offset     225 198
	bbox	212 117 30 81
	sound   data/sounds/pdie1.wav
	delay   999
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/pain101.gif
	delay	35
	sound   data/sounds/fall01.wav
	frame	data/chars/lizking/pain101.gif
	bbox		0 0 0 0
	delay	40
	frame	data/chars/lizking/pain101.gif

anim rise2
	shadowcoords 210 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/lizking/pain101.gif

anim death2
	shadowcoords 210 200
	loop	0
	 offset     225 198
	delay   48
	frame	data/chars/lizking/pain101.gif
	frame	data/chars/lizking/death00.gif
	delay   4
	frame	data/chars/lizking/death01.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death01.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death01.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death01.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death01.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death01.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death01.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death01.gif
	frame	data/chars/lizking/death02.gif
	delay   48
	frame	data/chars/lizking/death02.gif
	delay   4
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death03.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death03.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death03.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death03.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death03.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death03.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death03.gif
	frame	data/chars/lizking/death02.gif
	frame	data/chars/lizking/death03.gif
	delay   48
	frame	data/chars/lizking/death03.gif
	frame	data/chars/lizking/death04.gif
	delay   4
	frame	data/chars/lizking/death05.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/lizking/death07.gif

	delay   2
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death05.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death06.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/lizking/death07.gif
	frame	data/chars/misc/empty.gif
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	

#----------------------------------------ATTACK 2----------------------------------------;

#----------------------------------------BURN ATTACK----------------------------------------;

