name chu2
health 90
running 17 2 4 2 10
speed 9
type	player
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
		
anim	burn
	bbox	31 9 47 90
	loop	0
	offset	55 96
	delay	6
	frame	data/chars/chu2/fire01.gif
	offset	55 96
	bbox	0 0 0 0
	delay	6
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	delay	6
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire01.gif
	bbox	0 0 0 0
	offset	55 96
	frame	data/chars/chu2/fire02.gif
		
anim	fall
	loop	0
	delay	20
	offset	35 95
	frame	data/chars/chu2/cair1.gif
	offset	49 68
	frame	data/chars/chu2/cair2.gif
	offset	44 28
	frame	data/chars/chu2/cair3.gif
		
anim	freespecial
	sound	data/chars/chu2/at2.wav
	loop	0
	delay	13
	offset	25 103
	bbox	9 3 43 103
	frame	data/chars/chu2/cacag.gif
	bbox	5 3 56 96
	offset	25 103
	frame	data/chars/chu2/cacag2.gif
	bbox	4 50 55 117
	attack	41 0 82 83 10 1 0 0 0 0
	offset	27 161
	frame	data/chars/chu2/cacag3.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	27 150
	frame	data/chars/chu2/cacag4.gif
	attack	41 0 82 83 10 1 1 0 0 0
	offset	27 161
	frame	data/chars/chu2/cacag3.gif
	attack	0 0 0 0 10 1 0 0 0 0
	offset	27 150
	frame	data/chars/chu2/cacag4.gif
		
anim	freespecial2
	sound	data/chars/chu2/at3.wav
	bbox	21 7 34 88
	custknife	alqui2
	throwframe	4
	loop	0
	delay	7
	offset	31 106
	frame	data/chars/chu2/magia1.gif
	offset	46 87
	frame	data/chars/chu2/magia2.gif
	delay	20
	offset	42 89
	frame	data/chars/chu2/magia3.gif
	offset	50 76
	frame	data/chars/chu2/magia4.gif
	offset	49 75
	frame	data/chars/chu2/magia5.gif
		
anim	freespecial3
	offset	25 103
	sound	data/chars/chu2/at3.wav
	bbox	8 7 45 100
	custknife	alqui3
	throwframe	17
	loop	0
	delay	7
	frame	data/chars/chu2/cacag2.gif
	attack	26 113 77 144 0 0 1 0 0 0
	offset	60 253
	sound	data/chars/yusuke/energia.wav
	frame	data/chars/chu2/are1.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are2.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are1.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are2.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are1.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are2.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are1.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are2.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are1.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are2.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are1.gif
	offset	60 253
	attack	26 113 77 144 0 0 1 0 0 0
	frame	data/chars/chu2/are2.gif
	offset	31 106
	frame	data/chars/chu2/magia1.gif
	offset	46 87
	frame	data/chars/chu2/magia2.gif
	delay	20
	offset	42 89
	frame	data/chars/chu2/magia3.gif
	offset	50 76
	frame	data/chars/chu2/magia4.gif
	offset	49 75
	frame	data/chars/chu2/magia5.gif
		
anim	get
	bbox	8 4 43 90
	loop	0
	delay	5
	offset	26 90
	frame	data/chars/chu2/pul1.gif
	offset	19 83
	frame	data/chars/chu2/pul3.gif
	offset	26 90
	delay	40
	delay	40
	frame	data/chars/chu2/pul1.gif
		
anim	grab
	loop	0
	delay	100
	offset	29 108
	bbox	21 16 37 101
	frame	data/chars/chu2/agar2.gif
		
anim	grabattack
	bbox	11 15 47 97
	loop	0
	offset	31 107
	delay	35
	frame	data/chars/chu2/agar3.gif
	attack	21 9 39 54 0 0 1 0 0 0
	bbox	6 9 35 77
	offset	13 80
	frame	data/chars/chu2/agar4.gif
		
anim	grabbed
	loop	0
	offset	2 141
	bbox	4 8 38 96
	delay	90
	frame	data/chars/chu2/ap2.gif
	offset	2 141
	frame	data/chars/chu2/ap1.gif
	offset	2 141
	frame	data/chars/chu2/ap2.gif
		
anim	idle
	loop	1
	offset	20 111
	bbox	9 17 45 106
	delay	13
	frame	data/chars/chu2/idle1.gif
	offset	18 109
	frame	data/chars/chu2/idle3.gif
	offset	26 110
	frame	data/chars/chu2/idle2.gif
	bbox	32 31 42 108
	offset	55 130
	frame	data/chars/chu2/walk1.gif
		
anim	jump
	bbox	12 12 33 77
	loop	0
	delay	10
	offset	27 91
	frame	data/chars/chu2/pul1.gif
	bbox	7 8 32 94
	offset	23 138
	frame	data/chars/chu2/pul2.gif
	offset	22 150
	frame	data/chars/chu2/pul3.gif
	offset	31 138
	frame	data/chars/chu2/pul4.gif
	offset	23 102
	frame	data/chars/chu2/pul2.gif
		
anim	jumpattack
	bbox	14 9 41 64
	loop	0
	delay	7
	offset	29 107
	frame	data/chars/chu2/chua1.gif
	bbox	7 13 49 70
	offset	24 107
	frame	data/chars/chu2/chua2.gif
	offset	24 107
	attack	35 61 72 29 9 1 0 0 0 0
	bbox	16 6 53 81
	delay	15
	frame	data/chars/chu2/chua2.gif
		
anim	jumpattack2
	attack	47 27 37 42 0 0 1 0 0 0
	bbox	7 13 44 50
	loop	0
	delay	7
	offset	22 114
	frame	data/chars/chu2/chu6.gif
		
anim	pain
	loop	0
	offset	23 95
	bbox	9 10 44 96
	delay	12
	frame	data/chars/chu2/ap1.gif
	bbox	3 8 39 97
	offset	16 98
	delay	50
	frame	data/chars/chu2/ap2.gif
	offset	23 95
	delay	12
	frame	data/chars/chu2/ap1.gif
		
anim	pain2
	bbox	8 10 35 96
	loop	0
	offset	4 160
	delay	45
	offset	4 160
	frame	data/chars/chu2/ap2.gif
	offset	11 160
	frame	data/chars/chu2/ap1.gif
	offset	4 160
	frame	data/chars/chu2/ap2.gif
	offset	11 160
	frame	data/chars/chu2/ap1.gif
	offset	4 160
	frame	data/chars/chu2/ap2.gif
		
anim	rise
	loop	0
	delay	15
	offset	32 86
	frame	data/chars/chu2/lev1.gif
	offset	26 93
	delay	10
	frame	data/chars/chu2/lev2.gif
		
anim	run
	bbox	12 7 30 107
	delay	15
	offset	26 110
	loop	1
	offset	26 110
	frame	data/chars/chu2/idle2.gif
	bbox	39 29 30 103
	offset	55 130
	frame	data/chars/chu2/walk1.gif
		
anim	runattack
	offset	33 102
	bbox	13 3 43 103
	sound	data/chars/chu2/at1.wav
	delay	4
	bbox	13 3 43 103
	frame	data/chars/chu2/sr4.gif
	attack	65 32 60 33 6 0 1 0 0 0
	move	7
	bbox	24 8 58 102
	offset	46 102
	frame	data/chars/chu2/sr3.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	46 102
	frame	data/chars/chu2/sr1.gif
	attack	47 24 77 48 6 1 1 0 0 0
	offset	46 102
	frame	data/chars/chu2/sr2.gif
	attack	0 0 0 0 0 0 0 0 0 0
	bbox	21 19 53 89
	offset	46 102
	frame	data/chars/chu2/sr1.gif
	attack	69 34 54 30 6 1 1 0 0 0
	offset	46 102
	frame	data/chars/chu2/sr3.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	46 102
	frame	data/chars/chu2/sr1.gif
	attack	47 24 77 48 6 1 1 0 0 0
	offset	46 102
	frame	data/chars/chu2/sr2.gif
	attack	0 0 0 0 0 0 0 0 0 0
	bbox	21 19 53 89
	offset	46 102
	frame	data/chars/chu2/sr1.gif
	attack	67 34 61 30 6 1 1 0 0 0
	offset	46 102
	frame	data/chars/chu2/sr3.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	46 102
	frame	data/chars/chu2/sr1.gif
	attack	47 24 77 48 6 1 1 0 0 0
	offset	46 102
	frame	data/chars/chu2/sr2.gif
	attack	0 0 0 0 0 0 0 0 0 0
	bbox	21 19 53 89
	offset	46 102
	frame	data/chars/chu2/sr1.gif
	bbox	21 19 53 89
	offset	33 102
	frame	data/chars/chu2/sr4.gif
		
anim	select
	loop	0
	delay	20
	offset	24 95
	frame	data/chars/chu2/ap1.gif
	offset	17 98
	frame	data/chars/chu2/ap2.gif
	offset	24 95
	frame	data/chars/chu2/ap1.gif
	offset	17 98
	frame	data/chars/chu2/ap2.gif
	offset	25 103
	sound	data/chars/chu2/sel.wav
	frame	data/chars/chu2/cacag2.gif
	offset	63 238
	frame	data/chars/chu2/win1.gif
		
anim	shock
	loop	0
	offset	66 128
	bbox	32 31 54 102
	delay	4
	frame	data/chars/yusuke/shock1.gif
	offset	66 128
	bbox	0 0 0 0
	delay	4
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	delay	4
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 1218
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
		
anim	spain
	loop	0
	offset	66 128
	bbox	32 31 54 102
	delay	4
	frame	data/chars/yusuke/shock1.gif
	offset	66 128
	bbox	0 0 0 0
	delay	4
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	delay	4
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 1218
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock1.gif
	bbox	0 0 0 0
	offset	66 128
	frame	data/chars/yusuke/shock2.gif
		
anim	special
	sound	data/chars/chu2/at2.wav
	bbox	14 7 46 68
	loop	0
	delay	12
	offset	31 75
	frame	data/chars/chu2/ca1.gif
	bbox	9 6 45 110
	offset	36 120
	frame	data/chars/chu2/ca3.gif
	offset	37 120
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/chu2/ca4.gif
	blast	0 0 93 131 8 0 1 0 0 0
	offset	37 120
	frame	data/chars/chu2/ca5.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	37 120
	frame	data/chars/chu2/ca6.gif
	blast	0 0 93 131 8 0 1 0 0 0
	offset	37 120
	delay	8
	frame	data/chars/chu2/ca7.gif
	offset	37 120
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/chu2/ca2.gif
		
anim	throw
	loop	0
	delay	7
	offset	29 108
	sound	data/chars/chu2.wav
	frame	data/chars/chu2/agar2.gif
	offset	24 95
	frame	data/chars/chu2/ap1.gif
	offset	35 95
	frame	data/chars/chu2/cair1.gif
	offset	44 28
	frame	data/chars/chu2/cair3.gif
	offset	33 86
	delay	10
	frame	data/chars/chu2/lev1.gif
		
anim	walk
	loop	1
	offset	55 130
	bbox	30 29 46 108
	delay	12
	frame	data/chars/chu2/walk1.gif
	bbox	42 6 -37 115
	offset	27 110
	frame	data/chars/chu2/idle2.gif
		
#|edited by openBor Stats v 0.67
		
