name		fire1
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif

	delay	4
#	attack3  226 187 189 139 15 1 0 0 0 75
	frame	data/chars/misc/breath/fire01.gif
	frame	data/chars/misc/breath/fire02.gif
	frame	data/chars/misc/breath/fire03.gif
	frame	data/chars/misc/breath/fire04.gif
	frame	data/chars/misc/breath/fire05.gif
#	attack3  0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/breath/fire06.gif
	frame	data/chars/misc/breath/fire07.gif
	frame	data/chars/misc/breath/fire08.gif
	frame	data/chars/misc/breath/fire09.gif


	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	

anim idle
#	fastattack 1
	loop	0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	
anim fall
	loop	0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

anim death
	loop	0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif


