name	HisokaE
	frame	data/chars/Hisoka/91.gif
		
anim	fall
	delay	7
	offset	25 50
	frame	data/chars/Hisoka/173.gif
	offset	29 49
	frame	data/chars/Hisoka/175.gif
	offset	19 46
	frame	data/chars/Hisoka/174.gif
	offset	28 37
	frame	data/chars/Hisoka/176.gif
	offset	28 41
	frame	data/chars/Hisoka/177.gif
	offset	38 24
	frame	data/chars/Hisoka/180.gif
		
anim	freespecial
	delay	30
	offset	21 58
	frame	data/chars/Hisoka/131.gif
	delay	7
	offset	27 61
	frame	data/chars/Hisoka/132.gif
	offset	22 56
	frame	data/chars/Hisoka/133.gif
	delay	3
	offset	22 61
	frame	data/chars/Hisoka/134.gif
	offset	25 53
	frame	data/chars/Hisoka/135.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	delay	7
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	offset	27 56
	frame	data/chars/Hisoka/136.gif
		
anim	freespecial2
	delay	7
	offset	27 57
	frame	data/chars/Hisoka/130.gif
	delay	3
	offset	21 58
	frame	data/chars/Hisoka/131.gif
	offset	27 61
	frame	data/chars/Hisoka/132.gif
	offset	22 56
	frame	data/chars/Hisoka/133.gif
	offset	22 61
	frame	data/chars/Hisoka/134.gif
	offset	25 53
	frame	data/chars/Hisoka/135.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	offset	21 58
	frame	data/chars/Hisoka/131.gif
	offset	27 61
	frame	data/chars/Hisoka/132.gif
	offset	22 56
	frame	data/chars/Hisoka/133.gif
	offset	22 61
	frame	data/chars/Hisoka/134.gif
	offset	25 53
	frame	data/chars/Hisoka/135.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	offset	21 58
	frame	data/chars/Hisoka/131.gif
	offset	27 61
	frame	data/chars/Hisoka/132.gif
	offset	22 56
	frame	data/chars/Hisoka/133.gif
	offset	22 61
	frame	data/chars/Hisoka/134.gif
	offset	25 53
	frame	data/chars/Hisoka/135.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	offset	21 58
	frame	data/chars/Hisoka/131.gif
	offset	27 61
	frame	data/chars/Hisoka/132.gif
	offset	22 56
	frame	data/chars/Hisoka/133.gif
	offset	22 61
	frame	data/chars/Hisoka/134.gif
	offset	25 53
	frame	data/chars/Hisoka/135.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	offset	21 58
	frame	data/chars/Hisoka/131.gif
	offset	27 61
	frame	data/chars/Hisoka/132.gif
	offset	22 56
	frame	data/chars/Hisoka/133.gif
	offset	22 61
	frame	data/chars/Hisoka/134.gif
	offset	25 53
	frame	data/chars/Hisoka/135.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	offset	21 58
	frame	data/chars/Hisoka/131.gif
	offset	27 61
	frame	data/chars/Hisoka/132.gif
	offset	22 56
	frame	data/chars/Hisoka/133.gif
	offset	22 61
	frame	data/chars/Hisoka/134.gif
	offset	25 53
	frame	data/chars/Hisoka/135.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	offset	27 56
	frame	data/chars/Hisoka/136.gif
	offset	21 58
	frame	data/chars/Hisoka/131.gif
	offset	27 61
	frame	data/chars/Hisoka/132.gif
	offset	22 56
	frame	data/chars/Hisoka/133.gif
	offset	22 61
	frame	data/chars/Hisoka/134.gif
	offset	25 53
	frame	data/chars/Hisoka/135.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	offset	27 56
	frame	data/chars/Hisoka/136.gif
		
anim	freespecial3
	delay	7
	offset	23 55
	frame	data/chars/Hisoka/143.gif
	delay	3
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 10 36 1 0
	offset	30 63
	frame	data/chars/Hisoka/147.gif
	offset	22 54
	frame	data/chars/Hisoka/144.gif
	offset	27 54
	frame	data/chars/Hisoka/145.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 0 "h_card" 55 5 36 0 0
	offset	28 53
	frame	data/chars/Hisoka/146.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	22 54
	frame	data/chars/Hisoka/144.gif
	offset	27 54
	frame	data/chars/Hisoka/145.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	28 53
	frame	data/chars/Hisoka/146.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	22 54
	frame	data/chars/Hisoka/144.gif
	offset	27 54
	frame	data/chars/Hisoka/145.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	28 53
	frame	data/chars/Hisoka/146.gif
	@cmd	spawnparent "pdust" -10 0 -20
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	22 54
	frame	data/chars/Hisoka/144.gif
	offset	27 54
	frame	data/chars/Hisoka/145.gif
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	28 53
	frame	data/chars/Hisoka/146.gif
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	22 54
	frame	data/chars/Hisoka/144.gif
	offset	27 54
	frame	data/chars/Hisoka/145.gif
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	28 53
	frame	data/chars/Hisoka/146.gif
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 5 36 0 0
	offset	30 63
	frame	data/chars/Hisoka/147.gif
	@cmd	projectile 1 "h_card" 55 5 36 1 0
	@cmd	projectile 1 "h_card" 55 10 36 1 0
	offset	32 60
	frame	data/chars/Hisoka/148.gif
		
anim	idle
	bbox	8 8 19 45
	delay	15
	loop	1 3
	offset	20 52
	frame	data/chars/Hisoka/14.gif
	bbox	6 9 20 47
	offset	18 53
	frame	data/chars/Hisoka/15.gif
	bbox	8 4 22 48
	offset	20 49
	frame	data/chars/Hisoka/16.gif
	offset	23 58
	frame	data/chars/Hisoka/17.gif
	bbox	8 10 22 54
	offset	21 60
	frame	data/chars/Hisoka/18.gif
	offset	21 57
	frame	data/chars/Hisoka/19.gif
	offset	21 59
	frame	data/chars/Hisoka/20.gif
		
anim	jump
	bbox	14 2 19 54
	delay	7
	offset	25 56
	frame	data/chars/Hisoka/35.gif
	bbox	4 6 22 50
	offset	18 59
	frame	data/chars/Hisoka/36.gif
	bbox	5 3 21 50
	offset	18 52
	frame	data/chars/Hisoka/37.gif
	bbox	4 7 24 54
	offset	18 56
	frame	data/chars/Hisoka/38.gif
		
anim	jumpattack
	delay	7
	offset	25 58
	frame	data/chars/Hisoka/78.gif
	offset	20 56
	frame	data/chars/Hisoka/74.gif
	offset	20 60
	frame	data/chars/Hisoka/75.gif
	attack	13 1 60 61 8 0 1 0 0 0
	offset	21 59
	frame	data/chars/Hisoka/77.gif
	offset	19 53
	frame	data/chars/Hisoka/79.gif
	attack	13 1 60 61 10 0 0 1 0 0
	offset	25 52
	frame	data/chars/Hisoka/80.gif
		
anim	jumpattack2
	delay	7
	offset	20 65
	frame	data/chars/Hisoka/94.gif
	offset	17 63
	frame	data/chars/Hisoka/95.gif
	offset	20 62
	frame	data/chars/Hisoka/96.gif
	attack	8 10 65 86 10 1 1 0 0 0
	offset	11 69
	frame	data/chars/Hisoka/97.gif
	offset	11 51
	frame	data/chars/Hisoka/98.gif
		
anim	pain
	delay	7
	offset	25 50
	frame	data/chars/Hisoka/173.gif
		
anim	rise
	delay	7
	offset	37 37
	frame	data/chars/Hisoka/182.gif
	offset	32 42
	frame	data/chars/Hisoka/183.gif
	offset	14 51
	frame	data/chars/Hisoka/184.gif
		
anim	run
	bbox	10 5 50 39
	delay	7
	offset	37 41
	frame	data/chars/Hisoka/33.gif
	offset	36 37
	frame	data/chars/Hisoka/34.gif
		
anim	spawn
	delay	7
	offset	19 57
	frame	data/chars/Hisoka/7.gif
	offset	18 61
	frame	data/chars/Hisoka/8.gif
	offset	20 58
	frame	data/chars/Hisoka/9.gif
	offset	17 56
	frame	data/chars/Hisoka/3.gif
	offset	18 56
	frame	data/chars/Hisoka/4.gif
		
anim	special
	delay	7
	fastattack	1
	offset	15 51
	frame	data/chars/Hisoka/60.gif
	offset	17 50
	frame	data/chars/Hisoka/61.gif
	attack	16 7 65 35 10 0 1 0 0 0
	offset	16 55
	frame	data/chars/Hisoka/62.gif
	offset	15 53
	frame	data/chars/Hisoka/63.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	16 56
	frame	data/chars/Hisoka/64.gif
	offset	31 53
	frame	data/chars/Hisoka/65.gif
	offset	19 56
	frame	data/chars/Hisoka/66.gif
	offset	25 61
	frame	data/chars/Hisoka/67.gif
	attack	17 3 60 68 15 0 1 0 0 0
	offset	25 66
	frame	data/chars/Hisoka/68.gif
	offset	24 60
	frame	data/chars/Hisoka/69.gif
	@cmd	dasher 5 2 0
	delay	4
	attack	0 0 0 0 0 0 0 0 0 0
	offset	16 42
	frame	data/chars/Hisoka/70.gif
	offset	15 49
	frame	data/chars/Hisoka/71.gif
	offset	21 49
	frame	data/chars/Hisoka/72.gif
	attack	11 1 60 81 20 1 1 0 0 0
	offset	16 53
	frame	data/chars/Hisoka/73.gif
		
anim	walk
	bbox	6 14 47 41
	delay	7
	loop	1
	offset	30 51
	frame	data/chars/Hisoka/27.gif
	bbox	7 11 47 34
	offset	32 42
	frame	data/chars/Hisoka/28.gif
	bbox	7 6 34 37
	offset	26 42
	frame	data/chars/Hisoka/29.gif
	bbox	7 8 51 34
	offset	32 43
	frame	data/chars/Hisoka/30.gif
	bbox	7 8 49 34
	offset	32 39
	frame	data/chars/Hisoka/31.gif
	bbox	6 6 31 41
	offset	25 45
	frame	data/chars/Hisoka/32.gif
		
#|edited by openBor Stats v 0.67
		
