name	rat_
	delay   40
	frame	data/chars/rat_/fall4.gif

anim rise
	loop	0
	offset	90 192
	delay	9
	frame	data/chars/rat_/fall4.gif
	frame	data/chars/rat_/fall4.gif
	frame	data/chars/rat_/fall4.gif
	frame	data/chars/rat_/fall4.gif
	frame	data/chars/rat_/rise1.gif



anim attack1
	range	10 70
	loop	0
	delay	6
	offset	90 192
	bbox	70 95 50 90
        move    3
        hitflash    pow
        sound   data/chars/rat_/a2.wav
        hitfx   data/sounds/beat2.wav
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a2.gif
	attack  100 100 60 90 1
	frame	data/chars/rat_/a3.gif
        move    0
	frame	data/chars/rat_/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a2.gif
        fastattack	1
	attack  100 100 60 90 1
	frame	data/chars/rat_/a3.gif
	frame	data/chars/rat_/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a2.gif
	attack  100 100 60 90 18 1
        fastattack	1
	frame	data/chars/rat_/a3.gif
	frame	data/chars/rat_/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/rat_/a1.gif


anim attack2
	range	5 60
	loop	0
	delay	5
	offset	90 192
	bbox	70 95 50 90
        move    2
        hitflash    poww
	frame	data/chars/rat_/a1.gif
        sound   data/chars/rat_/a1.wav
	frame	data/chars/rat_/a1.gif
        frame	data/chars/rat_/a4.gif
	attack  95 100 40 90 15 1
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a5.gif
	attack  0 0 0 0 0 0 0 0 0
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a5.gif
        move    0
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a5.gif

anim riseattack
	range	5 60
	loop	0
	delay	5
	offset	90 192
        move    2
        hitflash    poww
	frame	data/chars/rat_/a1.gif
        sound   data/chars/rat_/a1.wav
	frame	data/chars/rat_/a1.gif
        frame	data/chars/rat_/a4.gif
	attack  95 100 40 90 15 1
	frame	data/chars/rat_/a5.gif
	bbox	70 95 50 90
	frame	data/chars/rat_/a5.gif
	attack  0 0 0 0 0 0 0 0 0
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a5.gif
        move    0
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a5.gif
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a5.gif


anim special
	range	0 30
	loop	0
	delay	6
	offset	90 192
	bbox	70 95 50 90
        hitflash    wack
        sound   data/chars/rat_/a2.wav
        hitfx   data/sounds/beat2.wav
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a2.gif
	attack  100 100 60 90 1
	frame	data/chars/rat_/a3.gif
	frame	data/chars/rat_/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a2.gif
        fastattack	1
	attack  100 100 60 90 1
	frame	data/chars/rat_/a3.gif
	frame	data/chars/rat_/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a1.gif
	frame	data/chars/rat_/a2.gif
	attack  100 100 60 90 18 1
        fastattack	1
	frame	data/chars/rat_/a3.gif
	frame	data/chars/rat_/a3.gif
	attack  0 0 0 0 0 0
	frame	data/chars/rat_/a1.gif



