name		Axel
	frame	data/chars/axel/fall3.gif
	delay	11
	offset	36 53
	frame	data/chars/axel/getup1.gif
	frame	data/chars/axel/getup2.gif

anim	runjumpattack

	hitfx	data/sounds/sf2h.wav
	hitflash	qflash
	sound	data/sounds/axgrunt.wav
	delay	50
	offset	43 49
	bbox	10 6 67 32
	Attack	37 18 42 23 25 1 1 0 20
	frame	data/chars/axel/fff.gif

	Attack	0
	delay	20
	offset	32 80
	bbox	15 4 34 84
	frame	data/chars/axel/jump3.gif

anim	jumpattack

	delay	10
	
	offset	31 70
	bbox	20 9 26 82
	sound	data/sounds/axgrunt.wav
	frame	data/chars/axel/SJkick1.gif

	delay	5
	bbox	28 12 22 78
	Attack	39 37 30 44 11 0 0 0 20
	frame	data/chars/axel/SJkick2.gif
	Attack	0
	frame	data/chars/axel/SJkick2.gif

	delay	10
	hitfx   	data/sounds/hpain.wav
	bbox	38 13 25 68
	Attack	49 9 35 83 15 1 0 0 20
	frame	data/chars/axel/SJkick3.gif

	Attack	0
	bbox	28 12 22 78
	frame	data/chars/axel/SJkick2.gif

	offset	31 83
	bbox	20 9 26 82
	frame	data/chars/axel/SJkick1.gif

anim 	jumpattack2
	loop	0
	delay	25
	offset	20 57
	bbox	7 4 40 58
	attack	14 37 35 28 7 0 0 0 13
	sound	data/sounds/axgrunt.wav
	frame	data/chars/axel/jknee1.gif


anim	attack1

	delay	7
	offset	23 75
	bbox	9 4 35 71
	attack	36 11 32 15 6 0 0 0 15
	frame	data/chars/axel/punch01.gif
	attack	0
	@cmd	incAtt
	frame	data/chars/axel/punch02.gif

anim 	attack2
	loop	0
	delay	11
	offset	21 76
	bbox	14 3 42 72
	hitfx	data/sounds/hpain.wav
	attack	39 11 40 12 8 0 0 0 15
	frame	data/chars/axel/punch3.gif
	attack	0
	@cmd	incAtt
	frame	data/chars/axel/punch02.gif

anim 	attack3
	jumpframe	1 2 0
	hitfx	data/chars/axel/hitx.wav
	offset	28 91
	delay	7
	frame	data/chars/axel/kk1.gif
	bbox	15 14 25 60
	frame	data/chars/axel/kk2.gif
	frame	data/chars/axel/kk3.gif
	attack	37 7 40 52 6 0 0 0 15
	frame	data/chars/axel/kk4.gif
	attack	0
	frame	data/chars/axel/kk5.gif
	frame	data/chars/axel/kk6.gif
	attack	34 26 46 38 14 1 0 0 20
	bbox	10 28 29 45
	frame	data/chars/axel/kk7.gif
	attack	0
	Bbox	0
	frame	data/chars/axel/kk8.gif


anim 	grabattack

	hitfx	data/sounds/qkick.wav
	delay	20
	offset	36 90
	attack2	44 29 28 40 5 0 0 0 15
	bbox	30 15 20 75
	frame	data/chars/axel/knee1.gif
	attack	0
	delay	10
	offset	33 84
	bbox	19 10 38 76
	frame	data/chars/axel/grab1.gif
	

anim	grabattack2

	attackone	0
	hitflash	qbflash
	hitfx	data/sounds/hpain.wav
	offset	36 86
	delay	13
	frame	data/chars/axel/head1.gif
	frame	data/chars/axel/head2.gif
	attack	44 21 31 16 21 1 1 0 30
	delay	22
	frame	data/chars/axel/head3.gif

anim	attackboth
 	delay	8
	hitfx	data/sounds/sf2h.wav
	hitflash	qflash
 	offset	59 80
	bbox	48 5 25 75
 	frame	data/chars/axel/battack1.gif
	bbox	41 5 25 74
 	frame	data/chars/axel/battack2.gif
	bbox	35 5 22 73
	Blast	-3 13 35 21 15 1 0 50
 	frame	data/chars/axel/battack3.gif
	Blast	0
 	frame	data/chars/axel/battack4.gif
	bbox	41 5 25 74
 	frame	data/chars/axel/battack5.gif

anim	pain

	delay	5

	offset	23 82
	bbox	6 13 38 72
	frame	data/chars/axel/pain1.gif

	offset	24 82
	frame	data/chars/axel/pain1.gif

	offset	23 82
	frame	data/chars/axel/pain1.gif
	offset	24 82
	frame	data/chars/axel/pain1.gif

	offset	23 82
	frame	data/chars/axel/pain1.gif
	offset	24 82
	frame	data/chars/axel/pain1.gif
	
	


anim	fall
	loop	0
	offset	35 53
	delay	45
	attack	4 8 69 48 12 1 0 0 50
	frame	data/chars/axel/fall1.gif
	offset	47 36
	attack	0
	frame	data/chars/axel/fall3.gif

anim	fall7
	delay	3000

	offset	23 82
	frame	data/chars/axel/pain1.gif

	offset	25 32
	frame	data/chars/axel/fallr1.gif

	offset	23 60
	frame	data/chars/axel/fallr2.gif

	offset	47 36
	frame	data/chars/axel/fall3.gif

anim	shock
	#@cmd	damageMp 10
	offset	34 63
	delay 	5
	frame	data/chars/axel/elec1.gif
	frame	data/chars/axel/elec2.gif
	frame	data/chars/axel/elec3.gif
	frame	data/chars/axel/elec1.gif
	frame	data/chars/axel/elec2.gif
	frame	data/chars/axel/elec3.gif
	delay	40
	offset	47 36
	attack	0
	frame	data/chars/axel/fall3.gif


anim	burn
	
	loop	1
	offset	29 63
	delay	5
	frame	data/chars/misc/burn/normal/burn1.gif
	frame	data/chars/misc/burn/normal/burn2.gif
	frame	data/chars/misc/burn/normal/burn3.gif

#-----------------------------------------------------------------------------------------------
anim	runattack

	@cmd	fullMpAni	"ANI_FREESPECIAL5"

	delay 	5
 	offset	58 125
 	bbox	45 69 37 57
	sound	data/sounds/grandu.wav
	hitfx	data/sounds/pu.wav

 	frame	data/chars/axel/spec01.gif
	
	@cmd	dasher 0.6 0 0
 	offset	58 125

	Attack	56 100 41 24 5 0 0 0 12
	bbox	31 82 52 47
	delay	5
 	frame	data/chars/axel/spec02.gif
	Attack	0
	frame	data/chars/axel/spec02.gif

	Attack	56 100 41 24 5 0 0 0 12
 	frame	data/chars/axel/spec03.gif
	Attack	0
	frame	data/chars/axel/spec03.gif
	
	Attack	56 100 41 24 5 0 0 0 12
	bbox	31 82 52 47
 	frame	data/chars/axel/spec02.gif
	Attack	0
	frame	data/chars/axel/spec02.gif

	Attack	56 100 41 24 5 0 0 0 12
 	frame	data/chars/axel/spec03.gif
	Attack	0
	frame	data/chars/axel/spec03.gif

	hitflash	qflash
	hitfx	data/sounds/hp.wav
	bbox	36 64 43 63
	Attack	73 67 32 35 7 0 0 0 20
 	frame	data/chars/axel/spec06.gif
	attack	0
 	frame	data/chars/axel/spec06.gif

	@cmd	stop
 	Attack	71 49 40 52 10 1 0 0 20
 	frame	data/chars/axel/spec07.gif
	attack	0
 	frame	data/chars/axel/spec07.gif

	Attack	62 20 26 97 15 1 0 0 20
	bbox	34 51 38 77
 	frame	data/chars/axel/spec08.gif

	Attack	0
 	frame	data/chars/axel/spec09.gif
	attack	0
	delay	25
 	frame	data/chars/axel/spec010.gif


anim	freespecial5
	
	hitfx	data/sounds/pu.wav
	sound	data/sounds/axgrunt.wav
	delay	8
	offset	39 61
	@cmd	dasher 0.5 0 0
	#bbox	26 3 20 57
	frame	data/chars/axel/aft01.gif
	@cmd	dasher 1 0 0
	frame	data/chars/axel/aft01.gif

	
	offset	16 60
	Attack	-4 15 33 36 15 0 0 0 40 16
	frame	data/chars/axel/aft02.gif
	
	offset	16 59
	Attack	8 15 74 41 15 0 0 0 40 16
	frame	data/chars/axel/aft03.gif

	delay	4
	offset	24 64
	Attack	6 8 68 36 15 0 0 0 40 16
	#bbox	15 1 24 63
	frame	data/chars/axel/aft04.gif
	@cmd	looper 1 1
	Attack	0
	frame	data/chars/axel/aft04.gif
	
	@cmd	clearL

	delay	8
	bbox	26 3 20 57
	offset	39 61
	frame	data/chars/axel/aft01.gif

	offset	16 60
	Attack	-4 15 33 36 15 0 0 0 40 16
	frame	data/chars/axel/aft02.gif

	delay	4
	offset	16 59
	Attack	8 15 74 41 15 0 0 0 40 16
	frame	data/chars/axel/aft03.gif
	Attack	0
	frame	data/chars/axel/aft03.gif


	delay	8
	offset	13 68
	@cmd	stop
	hitflash	qflash
	Attack	16 7 41 52 20 1 0 0 40
	bbox	10 10 19 58
	frame	data/chars/axel/aft05.gif
	@cmd	leaper 1.5 2.5 0
	delay	20
	offset	18 94
	Attack	14 0 29 66 20 1 0 0 40
	bbox	9 28 21 65
	frame	data/chars/axel/aft06.gif

	delay	10
	offset	25 76
	Attack	0
	bbox	10 14 22 55
	frame	data/chars/axel/spa05.gif
	offset	30 70
	bbox	15 7 22 57
	frame	data/chars/axel/spa06.gif
	offset	24 59
	Bbox	0
	frame	data/chars/axel/spa07.gif

#*******************************************************************************************************
anim 	grabbackward
	loop	0
	delay	31
	offset	53 67
	@cmd	lock
	@cmd	slamStart
	@cmd	position 0 20 0 -1 1
	frame	data/chars/axel/t1.gif
	delay	9
	@cmd	position 1 5 50 -1 1
	sound	data/sounds/axgrunt.wav
	frame	data/chars/axel/t2.gif
	delay	7
	@cmd	position 1 -15 30 -1 1
	@cmd	throw 29 -2.6 1.6 0 0
	@cmd	depost 0
	@cmd	clearSlam
	frame	data/chars/axel/t3.gif
	delay	37
	frame	data/chars/axel/t4.gif
	delay	11
	frame	data/chars/axel/t5.gif
	
anim	grabforward
	attackone	0
	delay	25
	sound	data/sounds/axgrunt.wav
	@cmd	lock
	@cmd	slamStart
	@cmd	position 1 0 70 -1 0
	offset	18 87
	frame	data/chars/axel/slam01.gif
	delay	8
	@cmd	position 2 35 50 -1 0
	offset	12 75
	Attack	36 1 46 61 10 1 1 0 20
	frame	data/chars/axel/slam02.gif

	offset	14 58
	delay	20
	sound	data/sounds/fall.wav
	@cmd	hurt 32
	@cmd	spawn01 "qflash" 30 0 -1
	@cmd	antiWall 30 -30  -1
	@cmd	position 3 30 0 -1 0
	Attack	38 22 53 36 10 1 1 0 20
	frame	data/chars/axel/slam03.gif
	delay	5
	@cmd	depost 0
	@cmd	clearSlam
	offset	14 58
	frame	data/chars/axel/slam03.gif
	delay	15
	@cmd	leaper -1 2 0
	frame	data/chars/axel/slam03.gif
	offset	21 78
	delay	15
	Attack	0
	frame	data/chars/axel/slam04.gif
	offset	13 70
	frame	data/chars/axel/slam05.gif
	offset	26 62
	frame	data/chars/axel/slam06.gif




anim 	follow4
	
	hitflash	qflash
	hitfx   	data/sounds/hpain.wav
	delay	8
	offset	83 118
	sound	data/sounds/aspec.wav
	frame	data/chars/axel/super01.gif
	attack	117 55 56 44 43 1 1 0 40
	frame	data/chars/axel/super02.gif
	attack	83 14 67 55 43 1 1 0 40
	frame	data/chars/axel/super03.gif
	attack	48 12 57 49 43 1 1 0 40
	frame	data/chars/axel/super04.gif
	attack	60 52 77 42 43 1 1 0 40
	frame	data/chars/axel/super05.gif
	attack	139 79 50 19 43 1 1 0 40
	frame	data/chars/axel/super06.gif
	frame	data/chars/axel/super07.gif
	attack	0
	frame	data/chars/axel/super08.gif


anim 	special

	energycost	0
	offset	35 81
	delay	1
	@cmd	costSelf 25
	frame	data/chars/axel/idle02.gif
	
	hitflash	qflash
	hitfx   	data/sounds/hpain.wav

	delay	8
	offset	83 118
	sound	data/sounds/aspec.wav
	frame	data/chars/axel/super01.gif
	#attack	-300 -300 600 600 999 1 1 0 40 99
	attack	117 55 56 44 23 1 1 0 40
	frame	data/chars/axel/super02.gif
	attack	83 14 67 55 23 1 1 0 40
	frame	data/chars/axel/super03.gif
	attack	48 12 57 49 23 1 1 0 40
	frame	data/chars/axel/super04.gif
	attack	60 52 77 42 23 1 1 0 40
	frame	data/chars/axel/super05.gif
	attack	139 79 50 19 23 1 1 0 40
	frame	data/chars/axel/super06.gif
	@cmd	makeInv 100
	frame	data/chars/axel/super07.gif
	attack	0
	frame	data/chars/axel/super08.gif

anim	special2

	energycost	0
	offset	35 81
	delay	1
	@cmd	fullMpAni "ANI_FREESPECIAL2"
	frame	data/chars/axel/idle02.gif
	@cmd	costSelf 40
	frame	data/chars/axel/idle02.gif

 	delay	6
 	offset	30 134
	attack	38 75 36 15 3 0 0 0 19
 	frame	data/chars/axel/rapid1.gif
	attack	0 0 0 0 0
 	frame	data/chars/axel/rapid2.gif
	attack	38 75 36 15 3 0 0 0 19
 	frame	data/chars/axel/rapid3.gif
	attack	0 0 0 0 0
 	frame	data/chars/axel/rapid4.gif
	attack	38 75 36 15 3 0 0 0 19
 	frame	data/chars/axel/rapid5.gif
	attack	0 0 0 0 0
 	frame	data/chars/axel/rapid6.gif
	Attack	0
 	frame	data/chars/axel/rapid7.gif
	Attack	49 80 28 37 4 0 0 0 20
 	frame	data/chars/axel/rapid8.gif
	Attack	0
 	frame	data/chars/axel/rapid9.gif
	attack	0 0 0 0 0
 	frame	data/chars/axel/rapid10.gif
	attack	38 75 36 15 4 0 0 0 19
 	frame	data/chars/axel/rapid11.gif
	attack	0 0 0 0 0
 	frame	data/chars/axel/rapid12.gif
	attack	38 75 36 15 3 0 0 0 19
 	frame	data/chars/axel/rapid13.gif
	attack	0 0 0 0 0
 	frame	data/chars/axel/rapid14.gif
	attack	38 75 36 15 4 0 0 0 19
 	frame	data/chars/axel/rapid15.gif
	attack	0 0 0 0 0
 	frame	data/chars/axel/rapid16.gif


	
	
	hitflash	qflash
	delay	8
	offset	21 57
	frame	data/chars/axel/spa01.gif
	delay	4
	
	offset	14 69
	Attack	28 16 26 25 19 0 1 0 20
	frame	data/chars/axel/spa02.gif
	Attack	0
	frame	data/chars/axel/spa02.gif

	
	offset	14 82
	Attack	27 4 27 50 17 1 1 0 20
	frame	data/chars/axel/spa03.gif
	Attack	0
	frame	data/chars/axel/spa03.gif
	@cmd	leaper 0 2.5 0
	delay	20
	offset	22 91
	Attack	19 0 21 54 19 1 1 0 20
	frame	data/chars/axel/spa04.gif
	delay	15
	offset	25 76
	Attack	0
	frame	data/chars/axel/spa05.gif
	delay	10
	offset	30 70
	frame	data/chars/axel/spa06.gif

	offset	24 59
	frame	data/chars/axel/spa07.gif



#New	moves


anim	freespecial2

	@cmd	costSelf 30
	delay	7
#1
	offset	23 75
	attack	36 11 32 15 3 0 1 0 15
	frame	data/chars/axel/punch01.gif
	attack	0
	frame	data/chars/axel/punch02.gif
#2
	attack	36 11 32 15 3 0 1 0 15
	frame	data/chars/axel/punch01.gif
	attack	0
	frame	data/chars/axel/punch02.gif
#3
	delay	11
	offset	21 76
	hitfx	data/sounds/hpain.wav
	attack	39 11 40 12 5 0 1 0 15
	frame	data/chars/axel/punch3.gif
	attack	0
	frame	data/chars/axel/punch02.gif
#4
	@cmd	leaper 0.3 1.5 0
	hitfx	data/chars/axel/hitx.wav
	offset	28 91
	delay	7
	frame	data/chars/axel/kk1.gif
	frame	data/chars/axel/kk2.gif
	frame	data/chars/axel/kk3.gif
	attack	37 7 40 52 7 0 1 0 15
	frame	data/chars/axel/kk4.gif
	attack	0
	frame	data/chars/axel/kk5.gif
	frame	data/chars/axel/kk6.gif
	attack	34 26 46 38 10 0 1 0 15
	frame	data/chars/axel/kk7.gif
	attack	0
	frame	data/chars/axel/kk8.gif

 	
	hitflash	qflash
#5
	delay	8
	offset	21 57
	frame	data/chars/axel/spa01.gif
	delay	4
	
	offset	14 69
	Attack	28 16 26 25 7 0 1 0 20
	frame	data/chars/axel/spa02.gif
	Attack	0
	frame	data/chars/axel/spa02.gif

	
	offset	14 82
	Attack	27 4 27 50 7 0 0 0 20
	frame	data/chars/axel/spa03.gif
	Attack	0
	frame	data/chars/axel/spa03.gif
	@cmd	leaper 0 2 0
	delay	20
	offset	22 91
	Attack	19 0 21 54 11 0 0 0 20
	frame	data/chars/axel/spa04.gif
	delay	15
	offset	25 76
	Attack	0
	frame	data/chars/axel/spa05.gif
	delay	10
	offset	30 70
	frame	data/chars/axel/spa06.gif

	offset	24 59
	frame	data/chars/axel/spa07.gif
#6
	delay	8
	offset	21 57
	frame	data/chars/axel/spa01.gif
	delay	4
	
	offset	14 69
	Attack	28 16 26 25 11 0 1 0 40
	frame	data/chars/axel/spa02.gif
	Attack	0
	frame	data/chars/axel/spa02.gif

	
	offset	14 82
	Attack	27 4 27 50 17 1 1 0 40
	frame	data/chars/axel/spa03.gif
	Attack	0
	frame	data/chars/axel/spa03.gif
	@cmd	leaper 1 3 0
	delay	20
	offset	22 91
	Attack	19 0 21 54 19 1 1 0 40
	frame	data/chars/axel/spa04.gif
	delay	15
	offset	25 76
	Attack	0
	frame	data/chars/axel/spa05.gif
	delay	10
	offset	30 70
	frame	data/chars/axel/spa06.gif

	offset	24 59
	frame	data/chars/axel/spa07.gif

anim	freespecial
	energycost	50
	mponly		1
	fastattack	1
	hitflash	qflash
	hitfx   	data/sounds/hpain.wav
	sound	data/sounds/aspec.wav

	quakeframe	1 10 -4
	delay	1
	offset	35 81
	frame	data/chars/axel/idle02.gif


#
	delay	4
	offset	39 61
	Attack	0
	frame	data/chars/axel/aft01.gif

	offset	16 60
	Attack	-4 15 33 36 15 0 0 0 40 16
	frame	data/chars/axel/aft02.gif

	offset	16 59
	Attack	8 15 74 41 15 0 0 0 40 16
	frame	data/chars/axel/aft03.gif

	delay	2
	offset	24 64
	Attack	6 8 68 36 15 0 0 0 40 16
	frame	data/chars/axel/aft04.gif
	Attack	0
	frame	data/chars/axel/aft04.gif
	@cmd	looper 1 2
	frame	data/chars/axel/aft04.gif
#
	Attack	0
	delay	5
	@cmd	clearL
	offset	83 118
	frame	data/chars/axel/super01.gif
	
	attack	117 55 56 44 20 0 1 0 30
	frame	data/chars/axel/super02.gif
	attack	83 14 67 55 20 0 1 0 30
	frame	data/chars/axel/super03.gif
	attack	48 12 57 49 20 0 1 0 30
	frame	data/chars/axel/super04.gif
	attack	60 52 77 42 20 0 1 0 30
	delay	2
	frame	data/chars/axel/super05.gif
	Attack	0
	frame	data/chars/axel/super05.gif
	@cmd	spawn02 "white"
	attack	-300 0 600 50 20 1 1 0 30 100
	frame	data/chars/axel/super06.gif
	frame	data/chars/axel/super07.gif
	delay	30
	attack	0
	frame	data/chars/axel/super08.gif



anim	freespecial6
	jumpframe	3 3 1.5
	sound	data/sounds/axgrunt.wav
	hitflash	qflash
	delay	10
	offset	20 59
	bbox	9 8 25 51
	frame	data/chars/axel/sp00.gif

	offset	19 50
	bbox	2 4 28 44
	frame	data/chars/axel/sp01.gif

	offset	29 49
	bbox	11 4 29 44
	frame	data/chars/axel/sp02.gif

	delay	5
	offset	29 72
	bbox	12 8 23 65
	Burn	26 8 31 49 16 0 0 0 40
	frame	data/chars/axel/sp03.gif
	Attack	0
	frame	data/chars/axel/sp03.gif
	delay	10
	offset	23 95
	bbox	3 24 25 71
	Burn	3 -1 41 72 22 1 1 0 50
	frame	data/chars/axel/sp04.gif
	Attack	0
	delay	20
	offset	25 76
	Attack	0
	frame	data/chars/axel/spa05.gif
	delay	15
	offset	30 70
	bbox	14 11 21 59
	frame	data/chars/axel/spa06.gif

	offset	24 59
	Bbox	0
	frame	data/chars/axel/spa07.gif


