name				dragy4
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif
	
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	frame	data/chars/dragy/pain107.gif
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif
	
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	frame	data/chars/dragy/pain107.gif
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif
	
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	frame	data/chars/dragy/pain107.gif
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif
	
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif
	frame	data/chars/dragy/pain107.gif
	frame	data/chars/dragy/pain108.gif
	frame	data/chars/dragy/pain109.gif
	frame	data/chars/dragy/pain110.gif
	
	delay   999
	frame	data/chars/dragy/death00.gif

	sound   data/sounds/fall02.wav
	delay   4
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif
	frame	data/chars/dragy/death00.gif


#----------------------------------------ATTACK 1----------------------------------------;


#----------------------------------------ATTACK 2----------------------------------------;

anim pain2
	shadowcoords 175 300
	load		blood01
	subentity	blood01
	spawnframe	0 0 -35 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0	
	offset     225 298
	
	bbox	148 141 152 111
	delay   2
	sound   data/sounds/drags01.wav
	move	-5
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	move	-4
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	move	-4
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	move	-3
	frame	data/chars/dragy/pain101.gif
	frame	data/chars/dragy/pain102.gif
	move	-3
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-2
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-2
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-1
	frame	data/chars/dragy/pain103.gif
	frame	data/chars/dragy/pain104.gif
	move	-1
	frame	data/chars/dragy/pain105.gif
	frame	data/chars/dragy/pain106.gif

	move	0
	delay   2
	offset     228 298
	frame	data/chars/dragy/pain105.gif
	offset     225 298
	frame	data/chars/dragy/pain106.gif
	offset     222 298
	frame	data/chars/dragy/pain105.gif
	offset     225 298
	frame	data/chars/dragy/pain106.gif
	offset     228 298
	frame	data/chars/dragy/pain105.gif
	offset     225 298
	frame	data/chars/dragy/pain106.gif
	bbox	148 141 152 111
	offset     222 298
	frame	data/chars/dragy/pain107.gif
	offset     225 298
	frame	data/chars/dragy/pain108.gif
	offset     228 298
	frame	data/chars/dragy/pain107.gif
	offset     225 298
	frame	data/chars/dragy/pain108.gif
	offset     222 298
	frame	data/chars/dragy/pain107.gif
	offset     225 298
	frame	data/chars/dragy/pain108.gif
	offset     228 298
	frame	data/chars/dragy/pain107.gif
	offset     225 298
	frame	data/chars/dragy/pain108.gif
	offset     222 298
	frame	data/chars/dragy/pain109.gif
	offset     225 298
	frame	data/chars/dragy/pain110.gif
	offset     228 298
	frame	data/chars/dragy/pain109.gif
	offset     225 298
	frame	data/chars/dragy/pain110.gif
	offset     222 298
	frame	data/chars/dragy/pain109.gif
	offset     225 298
	frame	data/chars/dragy/pain110.gif
	offset     228 298
	frame	data/chars/dragy/pain109.gif
	offset     225 298
	frame	data/chars/dragy/pain110.gif

anim fall2
	shadowcoords 175 300
	load		blood01
	subentity	blood01
	spawnframe	0 0 -35 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	 offset     225 298
	delay	1
	frame	data/chars/dragy/pain101.gif

anim rise2
	shadowcoords 175 300
	loop	0
	 offset     225 298
	delay	1
	frame	data/chars/dragy/pain101.gif
	

#----------------------------------------ATTACK 2----------------------------------------;

#----------------------------------------BURN ATTACK----------------------------------------;

anim pain3
	shadowcoords 175 300
	subentity	dust01
	spawnframe	12 0 0 0 0
	loop	0
	bbox	0 0 0 0
	
	offset     225 298
	
	bbox	148 141 152 111
	delay   2
	sound   data/sounds/drags01.wav
	move	-5
	frame	data/chars/dragy/burn01.gif
	frame	data/chars/dragy/pain102.gif
	move	-4
	frame	data/chars/dragy/burn02.gif
	frame	data/chars/dragy/pain102.gif
	move	-4
	frame	data/chars/dragy/burn03.gif
	frame	data/chars/dragy/pain102.gif
	move	-3
	frame	data/chars/dragy/burn01.gif
	frame	data/chars/dragy/pain102.gif
	move	-3
