name	       sabertooth
	offset	76 109
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/cttack1.gif
	frame	data/Chars/saber/cttack2.gif
	offset	75 137
	frame	data/Chars/saber/cttack3.gif
	offset	64 138
	frame	data/Chars/saber/cttack4.gif
	attack	76 1 88 137 7
	offset	72 132
	frame	data/Chars/saber/cttack5.gif
	offset	75 111
	attack	0
	frame	data/Chars/saber/cttack6.gif
	loop	0
	delay	3
	offset	88 95
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/saber/dttack1.gif
	blast	69 6 94 153 15 0 0 35
	dropv	3 3 0
	offset	89 150
	frame	data/Chars/saber/dttack2.gif
	attack	0
	frame	data/Chars/saber/dttack3.gif
	offset	89 149
	frame	data/Chars/saber/dttack4.gif
	offset	89 140
	frame	data/Chars/saber/dttack5.gif
		
anim	get
	loop	0
	delay	6
	offset	53 80
	frame	data/Chars/saber/get.gif
		
anim	grab
	bbox	52 9 59 101
	loop	0
	offset	86 121
	delay	6
	frame	data/Chars/saber/grab.gif
		
anim	grabattack
	blast	3 12 143 83 17
	dropv	1 -9 0
	loop	0
	offset	79 125
	delay	17
	frame	data/Chars/saber/gb1.gif
	frame	data/Chars/saber/gb1.gif
		
anim	grabbackward
	blast	3 12 143 83 17
	dropv	1 -9 0
	loop	0
	offset	79 125
	delay	17
	frame	data/Chars/saber/gb1.gif
	frame	data/Chars/saber/gb1.gif
		
anim	idle
	bbox	20 12 77 103
	loop	1
	delay	6
	offset	53 117
	frame	data/Chars/saber/idle1.gif
	offset	53 115
	frame	data/Chars/saber/idle2.gif
	offset	53 114
	frame	data/Chars/saber/idle3.gif
	frame	data/Chars/saber/idle4.gif
	frame	data/Chars/saber/idle5.gif
	frame	data/Chars/saber/idle6.gif
	offset	54 118
	frame	data/Chars/saber/idle7.gif
	offset	53 120
	frame	data/Chars/saber/idle8.gif
	offset	53 122
	frame	data/Chars/saber/idle9.gif
	offset	53 120
	frame	data/Chars/saber/idle10.gif
	offset	53 118
	frame	data/Chars/saber/idle11.gif
	offset	53 117
	frame	data/Chars/saber/idle12.gif
	frame	data/Chars/saber/idle13.gif
		
anim	jump
	bbox	30 6 63 91
	loop	0
	offset	47 120
	delay	6
	frame	data/Chars/saber/jump1.gif
	offset	53 93
	frame	data/Chars/saber/jump2.gif
	offset	54 87
	frame	data/Chars/saber/jump3.gif
	offset	49 82
	frame	data/Chars/saber/jump4.gif
	offset	53 94
	frame	data/Chars/saber/jump5.gif
		
anim	jumpattack
	bbox	21 5 64 95
	loop	0
	offset	32 123
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/saber/ja1.gif
	blast	89 4 81 106 16 0 0 35
	bbox	38 11 58 78
	offset	32 121
	frame	data/Chars/saber/ja2.gif
	offset	53 112
	frame	data/Chars/saber/ja3.gif
	frame	data/Chars/saber/ja4.gif
		
anim	jumpattack2
	bbox	55 19 60 56
	loop	0
	offset	91 82
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/saber/bja1.gif
	blast	70 49 108 103 17 0 0 25
	dropv	0 0 0
	offset	145 140
	@cmd	leaper 7 -7 0
	frame	data/Chars/saber/bja2.gif
	frame	data/Chars/saber/bja3.gif
	frame	data/Chars/saber/bja4.gif
		
anim	jumpattack3
	bbox	31 19 68 66
	loop	0
	offset	50 97
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/saber/cja1.gif
	bbox	50 32 38 80
	offset	61 123
	frame	data/Chars/saber/cja2.gif
	offset	64 106
	bbox	40 10 40 86
	frame	data/Chars/saber/cja3.gif
	bbox	26 33 75 62
	offset	59 105
	frame	data/Chars/saber/cja4.gif
	@cmd	leaper 3 -3 0
	blast	30 34 113 79 17 0 0 25
	bbox	11 14 71 66
	frame	data/Chars/saber/cja5.gif
	blast	35 48 86 62 17 0 0 25
	bbox	11 17 59 51
	frame	data/Chars/saber/cja6.gif
		
anim	pain
	bbox	18 7 80 107
	loop	0
	offset	55 115
	delay	6
	frame	data/chars/saber/pain.gif
		
anim	rise
	loop	0
	delay	6
	offset	53 80
	frame	data/Chars/saber/get.gif
		
anim	runjumpattack
	bbox	62 17 44 89
	loop	0
	offset	82 113
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/saber/rja1.gif
	offset	92 116
	frame	data/Chars/saber/rja2.gif
	blast	11 15 198 92 16
	bbox	102 56 81 35
	offset	128 104
	frame	data/Chars/saber/rja3.gif
	bbox	13 18 85 48
	offset	41 79
	frame	data/Chars/saber/rja4.gif
		
anim	spawn
	loop	0
	delay	6
	offset	56 127
	frame	data/Chars/saber/spawn1.gif
	offset	50 139
	frame	data/Chars/saber/spawn2.gif
	frame	data/Chars/saber/spawn3.gif
	frame	data/Chars/saber/spawn4.gif
		
anim	special
	loop	0
	offset	45 55
	delay	6
	@cmd	leaper 7 0 0
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/saber/s1.gif
	offset	119 60
	frame	data/Chars/saber/s2.gif
	offset	119 58
	frame	data/Chars/saber/s3.gif
	offset	119 61
	frame	data/Chars/saber/s4.gif
	offset	95 49
	frame	data/Chars/saber/s5.gif
	offset	59 43
	frame	data/Chars/saber/s6.gif
	offset	23 29
	frame	data/Chars/saber/s7.gif
		
anim	walk
	bbox	25 14 64 110
	loop	1
	delay	6
	offset	31 130
	frame	data/Chars/saber/walk1.gif
	offset	41 129
	frame	data/Chars/saber/walk2.gif
	offset	53 128
	frame	data/Chars/saber/walk3.gif
	offset	51 129
	frame	data/Chars/saber/walk4.gif
	offset	48 132
	frame	data/Chars/saber/walk5.gif
	frame	data/Chars/saber/walk6.gif
	offset	48 130
	frame	data/Chars/saber/walk7.gif
	offset	48 129
	frame	data/Chars/saber/walk8.gif
	offset	48 130
	frame	data/Chars/saber/walk9.gif
	offset	48 133
	frame	data/Chars/saber/walk10.gif
	frame	data/Chars/saber/walk11.gif
	offset	48 131
	frame	data/Chars/saber/walk12.gif

anim	run
	bbox	25 14 64 110
	loop	1
	delay	6
	offset	31 130
	frame	data/Chars/saber/walk1.gif
	offset	41 129
	frame	data/Chars/saber/walk2.gif
	offset	53 128
	frame	data/Chars/saber/walk3.gif
	offset	51 129
	frame	data/Chars/saber/walk4.gif
	offset	48 132
	frame	data/Chars/saber/walk5.gif
	frame	data/Chars/saber/walk6.gif
	offset	48 130
	frame	data/Chars/saber/walk7.gif
	offset	48 129
	frame	data/Chars/saber/walk8.gif
	offset	48 130
	frame	data/Chars/saber/walk9.gif
	offset	48 133
	frame	data/Chars/saber/walk10.gif
	frame	data/Chars/saber/walk11.gif
	offset	48 131
	frame	data/Chars/saber/walk12.gif
		
#|edited by openBor Stats v 0.50
		
