name	       Sentinel
	frame	data/Chars/Sentinel/ga8.gif
		
anim	idle
	offset	44 150
	loop	1
	delay	6
	frame	data/Chars/Sentinel/idle1.gif
	offset	44 149
	frame	data/Chars/Sentinel/idle2.gif
	frame	data/Chars/Sentinel/idle3.gif
	frame	data/Chars/Sentinel/idle4.gif
	offset	44 150
	frame	data/Chars/Sentinel/idle5.gif
	offset	44 151
	frame	data/Chars/Sentinel/idle6.gif
	frame	data/Chars/Sentinel/idle7.gif
	frame	data/Chars/Sentinel/idle8.gif
	frame	data/Chars/Sentinel/idle9.gif
	frame	data/Chars/Sentinel/idle10.gif
	frame	data/Chars/Sentinel/idle11.gif
	frame	data/Chars/Sentinel/idle12.gif
	frame	data/Chars/Sentinel/idle13.gif
	frame	data/Chars/Sentinel/idle14.gif
	frame	data/Chars/Sentinel/idle15.gif
	frame	data/Chars/Sentinel/idle16.gif
	offset	44 150
	frame	data/Chars/Sentinel/idle17.gif
	offset	44 149
	frame	data/Chars/Sentinel/idle18.gif
		
anim	jump
	loop	0
	offset	79 164
	delay	6
	frame	data/Chars/Sentinel/jump1.gif
	offset	73 164
	frame	data/Chars/Sentinel/jump2.gif
	offset	79 164
	frame	data/Chars/Sentinel/jump3.gif
	offset	73 164
	frame	data/Chars/Sentinel/jump4.gif
		
anim	jumpattack
	bbox	58 22 64 113
	loop	0
	offset	84 137
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Sentinel/ja1.gif
	blast	104 6 171 183 16 0 0 45
	bbox	57 55 73 113
	offset	83 162
	frame	data/Chars/Sentinel/ja2.gif
	blast	128 31 134 104 16 0 0 45
	bbox	27 21 82 106
	offset	57 133
	frame	data/Chars/Sentinel/ja3.gif
	blast	130 17 160 135 16 0 0 45
	offset	84 120
	frame	data/Chars/Sentinel/ja4.gif
	offset	57 120
	frame	data/Chars/Sentinel/ja5.gif
		
anim	jumpattack2
	bbox	64 2 46 93
	loop	0
	offset	64 142
	delay	6
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Sentinel/bja1.gif
	offset	92 161
	frame	data/Chars/Sentinel/bja2.gif
	blast	111 47 113 126 16 0 0 45
	dropv	2.5 0 0
	bbox	100 28 39 59
	offset	97 161
	frame	data/Chars/Sentinel/bja3.gif
	blast	80 62 145 123 16 0 0 45
	dropv	2.5 0 0
	offset	88 163
	frame	data/Chars/Sentinel/bja4.gif
	offset	104 158
	frame	data/Chars/Sentinel/bja5.gif
	offset	91 158
	frame	data/Chars/Sentinel/bja6.gif
		
anim	pain
	bbox	6 5 118 154
	loop	0
	offset	63 161
	delay	6
	frame	data/chars/Sentinel/pain.gif
		
anim	respawn
	offset	44 150
	loop	0
	delay	6
	frame	data/Chars/Sentinel/idle1.gif
		
anim	rise
	loop	0
	offset	114 59
	delay	6
	frame	data/chars/Sentinel/rise1.gif
	offset	117 62
	frame	data/chars/Sentinel/rise2.gif
	offset	113 163
	frame	data/chars/Sentinel/rise3.gif
	offset	5 160
	frame	data/chars/Sentinel/rise4.gif
	offset	5 158
	frame	data/chars/Sentinel/rise5.gif
		
anim	run
	bbox	48 7 92 104
	loop	1
	delay	6
	offset	77 139
	frame	data/Chars/Sentinel/run1.gif
	bbox	4 13 91 82
	offset	43 139
	frame	data/Chars/Sentinel/run2.gif
	offset	76 140
	frame	data/Chars/Sentinel/run3.gif
	offset	40 140
	frame	data/Chars/Sentinel/run4.gif
		
anim	spawn
	offset	44 150
	loop	0
	delay	8
	spawnframe	1 0 0 0
	subentity	Cable2
	frame	data/Chars/Sentinel/idle1.gif
	frame	data/Chars/Sentinel/idle1.gif
		
anim	special
	loop	0
	offset	87 160
	delay	6
	hitfx	data/sounds/bukk.wav
	hitflash	electo
	frame	data/Chars/Sentinel/s1.gif
	blast	2 34 182 90 17 0 0 45
	offset	88 160
	frame	data/Chars/Sentinel/s2.gif
	offset	88 160
	blast	0 37 184 71 17 0 0 45
	frame	data/Chars/Sentinel/s3.gif
	shock	1 38 194 86 17 0 0 45
	offset	94 159
	frame	data/Chars/Sentinel/s4.gif
	blast	3 39 184 83 17 0 0 45
	offset	89 160
	frame	data/Chars/Sentinel/s5.gif
	blast	1 41 197 83 17 0 0 45
	frame	data/Chars/Sentinel/s6.gif
	offset	87 163
	frame	data/Chars/Sentinel/s7.gif
		
anim	walk
	bbox	17 4 115 142
	loop	1
	delay	6
	offset	64 146
	frame	data/Chars/Sentinel/walk1.gif
	offset	68 146
	frame	data/Chars/Sentinel/walk2.gif
	offset	75 151
	frame	data/Chars/Sentinel/walk3.gif
	offset	75 146
	frame	data/Chars/Sentinel/walk4.gif
	offset	75 150
	frame	data/Chars/Sentinel/walk5.gif
	offset	75 151
	frame	data/Chars/Sentinel/walk6.gif
	offset	77 149
	frame	data/Chars/Sentinel/walk7.gif
	offset	58 157
	bbox	7 4 112 148
	frame	data/Chars/Sentinel/walk8.gif
	frame	data/Chars/Sentinel/walk9.gif
	offset	64 155
	frame	data/Chars/Sentinel/walk10.gif
	offset	64 153
	frame	data/Chars/Sentinel/walk11.gif
	offset	64 151
	frame	data/Chars/Sentinel/walk12.gif
	offset	64 145
	bbox	18 5 104 135
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/Chars/Sentinel/walk13.gif
	offset	64 151
	frame	data/Chars/Sentinel/walk14.gif
	frame	data/Chars/Sentinel/walk15.gif
	offset	64 149
	frame	data/Chars/Sentinel/walk16.gif
	frame	data/Chars/Sentinel/walk17.gif
	frame	data/Chars/Sentinel/walk18.gif
		
#|edited by openBor Stats v 0.50
		
