# Street
music		data/music/goku.bor
spawn	Dino
coords	350 170
at	750

spawn	Wolf
map     2
coords	-30 170
at	750

spawn	Wolf
map     1
coords	-30 200
at	750

spawn	Boar
coords	350 220
at	750

spawn	Boar
coords	-30 170
at	750

#--------------
group	1 3
at	0

wait
at	1110

spawn	Boar2
map     1
coords	350 170
at	750

spawn	Boar2
coords	-30 170
at	750

spawn	Boar2
map     1
coords	-30 170
at	750

group	1 2
at	0

spawn	Wolf
map     2
coords	350 200
at	750

spawn	Dino
map     1
coords	350 160
at	750

#--------------

group	1 5
at	0

wait
at	1500

spawn	Dino
map     3
coords	350 170
at	750

spawn	Dino
map     4
coords	-30 170
at	750

spawn	Dino
coords	-30 170
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Wolf
map     2
coords	350 160
at	750

spawn	Boar2
coords	350 170
at	750

spawn	Boar
map     1
coords	-30 170
at	750

spawn	Dino
map     2
coords	-30 170
at	750

spawn	Dino
map     1
coords	350 200
at	750

spawn	Dino
coords	350 160
at	750

spawn	Boar2
coords	350 170
at	750

spawn	Boar2
map     1
coords	-30 170
at	750

spawn	Wolf
coords	-30 170
at	750

spawn	Wolf
map     2
coords	350 200
at	750

spawn	Wolf
coords	350 160
at	750

spawn	Boar
coords	350 170
at	750

spawn	Boar
map     1
coords	-30 170
at	750

spawn	Dino
map     1
coords	-30 170
at	750

spawn	Boar
map     1
coords	350 200
at	750

spawn	Boar2
coords	350 160
at	750

#-------------
group	3 3
at	1967

spawn	Boar
map     1
coords	350 200
at	750

spawn	Boar
map     4
coords	-30 170
at	750

spawn	Boar
map     1
coords	350 200
at	750

spawn	Boar
coords	-30 160
at	750

spawn	Dino
map     2
coords	350 200
at	750

spawn	Dino
coords	-30 200
at	750

spawn	Wolf
map     2
coords	350 200
at	750

spawn	Wolf
map     2
coords	350 160
at	750



group	3 3
at	0

spawn	Theif
boss    1
alias   Bear_Theif
health  600
coords	-30 160
at	750

spawn	Boar
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
map     1
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     1
coords	-30 200
at	750

spawn	Wolf
map     1
coords	350 200
at	750

spawn	Boar
map     2
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     2
coords	-30 200
at	750

spawn	Wolf
map     2
coords	350 200
at	750

spawn	Boar
map     3
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     3
coords	-30 200
at	750

spawn	Wolf
map     3
coords	350 200
at	750

spawn	Boar
map     4
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     4
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
map     1
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     1
coords	-30 200
at	750

spawn	Wolf
map     1
coords	350 200
at	750

spawn	Boar
map     2
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     2
coords	-30 200
at	750

spawn	Wolf
map     2
coords	350 200
at	750

spawn	Boar
map     3
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     3
coords	-30 200
at	750

spawn	Wolf
map     3
coords	350 200
at	750

spawn	Boar
map     4
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     4
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
map     1
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     1
coords	-30 200
at	750

spawn	Wolf
map     1
coords	350 200
at	750

spawn	Boar
map     2
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     2
coords	-30 200
at	750

spawn	Wolf
map     2
coords	350 200
at	750

spawn	Boar
map     3
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     3
coords	-30 200
at	750

spawn	Wolf
map     3
coords	350 200
at	750

spawn	Boar
map     4
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     4
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
map     1
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     1
coords	-30 200
at	750

spawn	Wolf
map     1
coords	350 200
at	750

spawn	Boar
map     2
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     2
coords	-30 200
at	750

spawn	Wolf
map     2
coords	350 200
at	750

spawn	Boar
map     3
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     3
coords	-30 200
at	750

spawn	Wolf
map     3
coords	350 200
at	750

spawn	Boar
map     4
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     4
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750

spawn	Boar
map     1
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     1
coords	-30 200
at	750

spawn	Wolf
map     1
coords	350 200
at	750

spawn	Boar
map     2
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     2
coords	-30 200
at	750

spawn	Wolf
map     2
coords	350 200
at	750

spawn	Boar
map     3
coords	-30 160
at	750

spawn	Boar2
map     1
coords	350 200
at	750

spawn	Dino
map     3
coords	-30 200
at	750

spawn	Wolf
map     3
coords	350 200
at	750

spawn	Boar
map     4
coords	-30 160
at	750

spawn	Boar2
coords	350 200
at	750

spawn	Dino
map     4
coords	-30 200
at	750

spawn	Wolf
coords	350 200
at	750
