name		Fsoldier1b
	sound	data/chars/Fsoldier1/fall.wav
	frame	data/chars/Fsoldier1/pain2.gif
	frame	data/chars/Fsoldier1/pain2.gif
	frame	data/chars/Fsoldier1/pain2.gif
	frame	data/chars/Fsoldier1/pain.gif
	attack	-4 29 18 53 11 6 1 0 0 30
	frame	data/chars/Fsoldier1/pain3.gif
		
anim	grab
	loop	0
	delay	3
	offset	39 112
	bbox	5 28 73 97
	sound	data/sounds/grab.wav
	frame	data/chars/Fsoldier1/fireb.gif
		
anim	grabattack
	Subentity	explosion1
	Spawnframe	1 70 0 50 0
	loop	0
	delay	7
	bbox	76 27 -31 87
	offset	47 112
	frame	data/chars/Fsoldier1/fireb.gif
	delay	22
	sound	data/chars/bardock/raio.wav
	attack	48 16 101 26 5 1 0 0 30 10
	dropv	1 7
	frame	data/chars/Fsoldier1/fireb.gif
	frame	data/chars/Fsoldier1/fireb.gif
		
anim	grabbed
	bbox	71 -15 -65 132
	OffSet	36 101
	delay	7
	offset	28 91
	frame	data/chars/Fsoldier1/grabbed.gif
	frame	data/chars/Fsoldier1/grabbed.gif
		
anim	idle
	loop	1
	delay	20
	bbox	39 -5 50 100
	offset	54 98
	frame	data/chars/Fsoldier1/idle1.gif
	frame	data/chars/Fsoldier1/idle2.gif
	frame	data/chars/Fsoldier1/idle1.gif
		
anim	pain
	delay	12
	offset	29 104
	bbox	4 -5 50 100
	frame	data/chars/Fsoldier1/pain2.gif
	sound	data/chars/Fsoldier1/fall.wav
	offset	29 105
	frame	data/chars/Fsoldier1/pain2.gif
	frame	data/chars/Fsoldier1/pain2.gif
		
anim	rise
	delay	6
	offset	36 75
	bbox	0 0 0 0
	frame	data/chars/Fsoldier1/walk.gif
		
anim	run
	delay	7
	loop	0
	bbox	50 7 40 68
	offset	36 99
	Subentity	Effect3
	Spawnframe	1 0 0 0 0
	frame	data/chars/Fsoldier1/walk.gif
	frame	data/chars/Fsoldier1/empty.gif
	frame	data/chars/Fsoldier1/empty.gif
	offset	39 103
	frame	data/chars/Fsoldier1/run.gif
	frame	data/chars/Fsoldier1/run.gif
		
anim	runattack
	landframe	8
	hitflash	Flashdbz
	hitfx	data/sounds/bukk.wav
	offset	31 89
	jumpframe	1 0 4
	frame	data/chars/Fsoldier1/at2.gif
	frame	data/chars/Fsoldier1/at2.gif
	bbox	13 15 32 91
	frame	data/chars/Fsoldier1/at2.gif
	frame	data/chars/Fsoldier1/at2.gif
	blast	41 23 39 62 27 1 0 0 25 0
	frame	data/chars/Fsoldier1/at2.gif
	attack	0
	frame	data/chars/Fsoldier1/at2.gif
		
anim	spawn
	delay	7
	offset	58 97
	frame	data/chars/Fsoldier1/idle1.gif
	sound	data/chars/Fsoldier1/sp.wav
	frame	data/chars/Fsoldier1/idle1.gif
		
anim	throw
	loop	0
	delay	3
	offset	39 103
	frame	data/chars/Fsoldier1/run.gif
	frame	data/chars/Fsoldier1/walk.gif
	frame	data/chars/Fsoldier1/walk.gif
		
anim	walk
	delay	7
	loop	0
	bbox	19 -15 50 100
	sound	data/chars/Fsoldier1/sp.wav
	offset	29 86
	frame	data/chars/Fsoldier1/walk.gif
	frame	data/chars/Fsoldier1/run.gif
		
#|edited by openBor Stats v 0.67
		
