name				vampire
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	delay   2
	move	-3
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-2
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-2
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-1
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-1
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif

anim fall3
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	dropframe	16
	landframe	17
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	frame	data/chars/misc/burn/301.gif
	frame	data/chars/misc/burn/302.gif
	frame	data/chars/misc/burn/303.gif
	delay   999
	frame	data/chars/vampire/fall01.gif
	frame	data/chars/vampire/fall02.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall02.wav
	frame	data/chars/vampire/fall02.gif
	delay	40
	frame	data/chars/vampire/rise00.gif

anim rise3
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

anim death3
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

	delay	50
	frame	data/chars/vampire/death00.gif
	
	delay	4
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif

	delay	50
	frame	data/chars/vampire/death01.gif
		
	delay	8
	frame	data/chars/vampire/death02.gif
	frame	data/chars/vampire/death03.gif
	frame	data/chars/vampire/death04.gif
	frame	data/chars/vampire/death05.gif


#----------------------------------------BURN ATTACK----------------------------------------;


#----------------------------------------SHOCK ATTACK----------------------------------------;

anim pain4
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	subentity	dust01
	spawnframe	15 0 0 0 0
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	delay   2
	move	-3
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-2
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-2
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-1
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	move	-1
	frame	data/chars/vampire/pain101.gif
	frame	data/chars/vampire/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif
	delay   2
	frame	data/chars/vampire/pain101.gif

anim fall4
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	dropframe	16
	landframe	17
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   3
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	frame	data/chars/misc/shock/301.gif
	frame	data/chars/misc/shock/302.gif
	frame	data/chars/misc/shock/303.gif
	delay   999
	frame	data/chars/vampire/fall01.gif
	frame	data/chars/vampire/fall02.gif
	delay	35
	bbox		0 0 0 0
	sound   data/sounds/fall02.wav
	frame	data/chars/vampire/fall02.gif
	delay	40
	frame	data/chars/vampire/rise00.gif

anim rise4
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

anim death4
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	 offset     225 198
	delay	12
	frame	data/chars/vampire/rise01.gif
	frame	data/chars/vampire/rise02.gif
	frame	data/chars/vampire/rise03.gif

	delay	50
	frame	data/chars/vampire/death00.gif
	
	delay	4
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif
	frame	data/chars/vampire/death01.gif
	frame	data/chars/vampire/death00.gif

	delay	50
	frame	data/chars/vampire/death01.gif
		
	delay	8
	frame	data/chars/vampire/death02.gif
	frame	data/chars/vampire/death03.gif
	frame	data/chars/vampire/death04.gif
	frame	data/chars/vampire/death05.gif


#----------------------------------------SHOCK ATTACK----------------------------------------;

#----------------------------------------FREEZE ATTACK----------------------------------------;

anim pain5
	drawmethod	200 200 0 0 0 0 -1
	shadowcoords 215 200
	loop	0
	offset     225 198
	bbox		212 143 30 55
	delay   1
	frame	data/chars/misc/freeze/103.gif
	delay   5
