name	RASH_B
	frame	data/chars/rash/ga2.gif
	delay	8
	attack	0 0 0 0
	frame	data/chars/rash/ga2.gif

anim	grabattack2
	delay	12
	offset	93 195
	jumpframe	3	1
	frame	data/chars/rash/ba93.gif
	sound	data/sounds/beat2.wav
	move	5
	delay	2
	blast	135 100 25 70 25 1 0 20
	frame	data/chars/rash/ba94.gif
	blast	0 0 0 0 0 0 0
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	move	0
	delay	25
	frame	data/chars/rash/ba94.gif
	delay	6
	frame	data/chars/rash/ba93.gif

anim	GRABBED
	delay	5
	offset	88 195
	sound	data/chars/rash/gr.wav
	bbox	63 99 41 79
	frame	data/chars/rash/gr.gif
	frame	data/chars/rash/gr.gif
	delay	30
	frame	data/chars/rash/gr.gif

anim	GRABDOWN
	delay	4
	offset	88 195
	move	8
	bbox	0 0 0 0
	frame	data/chars/rash/ba1.gif
	frame	data/chars/rash/ba1.gif
	move	0
	frame	data/chars/rash/ba2.gif
	burn	105 170 3 8 1
	frame	data/chars/rash/ba3.gif
	frame	data/chars/rash/ba4.gif
	burn	0 0 0 0 0 0
	frame	data/chars/rash/ba4.gif
	frame	data/chars/rash/ba4.gif
	frame	data/chars/rash/ba1.gif
	frame	data/chars/rash/ba1.gif
	frame	data/chars/rash/ba2.gif
	burn	105 170 3 8 1
	frame	data/chars/rash/ba3.gif
	frame	data/chars/rash/ba4.gif
	burn	0 0 0 0 0 0
	frame	data/chars/rash/ba4.gif
	frame	data/chars/rash/ba4.gif
	frame	data/chars/rash/ba1.gif
	frame	data/chars/rash/ba1.gif
	frame	data/chars/rash/ba2.gif
	frame	data/chars/rash/ba5.gif
	sound	data/chars/rash/steel.wav
	attack	105 170 3 45 20 1
	frame	data/chars/rash/ba6.gif
	frame	data/chars/rash/ba7.gif
	attack	0 0 0 0 0 0
	frame	data/chars/rash/ba7.gif
	frame	data/chars/rash/ba7.gif
	frame	data/chars/rash/ba7.gif
	frame	data/chars/rash/ba7.gif
	frame	data/chars/rash/ba7.gif
	frame	data/chars/rash/ba5.gif
	frame	data/chars/rash/ba2.gif
	frame	data/chars/rash/ba1.gif

anim	GRABUP
	delay	4
	offset	88 198
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif
	attack	95 170 65 10 1
	frame	data/chars/rash/ba8.gif
	attack	0 0 0 0 0 0
	frame	data/chars/rash/ba8.gif
	frame	data/chars/rash/ba8.gif
	frame	data/chars/rash/ba8.gif
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif
	shock	95 170 65 10 1
	frame	data/chars/rash/ba8.gif
	shock	0 0 0 0 0 0
	frame	data/chars/rash/ba8.gif
	frame	data/chars/rash/ba8.gif
	frame	data/chars/rash/ba8.gif
	delay	12
	offset	93 195
	frame	data/chars/rash/ra1.gif
	delay	2
	jumpframe	16 2
	sound	data/chars/rash/p3.wav
	offset	88 199
	frame	data/chars/rash/at1.gif
	move	5
	frame	data/chars/rash/at2.gif
	sound	data/sounds/beat2.wav
	blast	112 170 20 15 25 1 0 30
	frame	data/chars/rash/at3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	move	0
	delay	30
	offset	88 195
	frame	data/chars/rash/at3.gif
	delay	9
	frame	data/chars/rash/rise1.gif
	frame	data/chars/rash/rise2.gif

anim	idle
	loop	1
	delay	13
	offset	88 195
	bbox	87 145 15 50
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle5.gif
	frame	data/chars/rash/idle5.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle5.gif
	frame	data/chars/rash/idle5.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle.gif
	delay	9
	frame	data/chars/rash/idle7.gif
	frame	data/chars/rash/idle8.gif
	frame	data/chars/rash/idle9.gif
	frame	data/chars/rash/idle91.gif
	frame	data/chars/rash/idle91.gif
	frame	data/chars/rash/idle7.gif
	frame	data/chars/rash/idle8.gif
	frame	data/chars/rash/idle9.gif
	frame	data/chars/rash/idle91.gif
	frame	data/chars/rash/idle91.gif

anim	pain
	loop	0
	delay	5
	offset	88 195
	sound	data/chars/rash/pain.wav
	bbox	78 144 35 59
	frame	data/chars/rash/pain.gif
	offset	84 195
	frame	data/chars/rash/pain.gif
	offset	86 195
	delay	30
	frame	data/chars/rash/pain.gif

anim	pain2
	loop	0
	offset	88 195
	bbox	78 144 35 59
	delay	3
	quakeframe	0 3 4
        Move    -3
	sound	data/chars/rash/pain.wav
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	attack2	78 144 3 59 5 0 0 0 0 20
	frame	data/chars/rash/pain.gif
        Move    -2
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
        Move    -1
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
        Move    0
	delay	8
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif

anim	pain3
	loop	0
	offset	88 195
	bbox	78 144 35 59
	delay	2
	Jumpframe	0 2 -2.5
        Landframe 14
	sound	data/chars/rash/pain.wav
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	attack3	78 144 3 59 5 0 0 0 0 20
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	0
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	1
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	2
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	3
	frame	data/chars/rash/pain.gif
	delay	100
	frame	data/chars/rash/pain.gif
	Move	0
	delay	2
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	delay	10
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif

anim	rise
	loop	0
	offset	88 195
	delay	10
	frame	data/chars/rash/fall4.gif
	frame	data/chars/rash/fall4.gif
	frame	data/chars/rash/fall4.gif
	frame	data/chars/rash/rise1.gif
	frame	data/chars/rash/rise2.gif

anim	run
	loop	1
	delay	6
	offset	88 195
	bbox	82 145 20 50
	frame	data/chars/rash/r1.gif
	frame	data/chars/rash/r2.gif
	frame	data/chars/rash/r3.gif
	frame	data/chars/rash/r4.gif
	frame	data/chars/rash/r5.gif

anim	RUNATTACK
	loop	0
	delay	3
	offset	88 195
	bbox	82 145 10 50
	hitflash	smashh
	seta	1
	jumpframe	5 2 2 1
	hitfx	data/sounds/beat2.wav
	frame	data/chars/rash/ra1.gif
	frame	data/chars/rash/ra1.gif
	move	5
	frame	data/chars/rash/ra2.gif
	sound	data/chars/rash/runa.wav
	frame	data/chars/rash/ra2.gif
	frame	data/chars/rash/ra3.gif
	frame	data/chars/rash/ra3.gif
	delay	18
		blast  100  101  44  95  15  0  0  35
	frame	data/chars/rash/ra4.gif
	attack	0 0 0 0 0
	frame	data/chars/rash/ra4.gif
	delay	5
	frame	data/chars/rash/ra4.gif
	move	0
	frame	data/chars/rash/ra1.gif
	frame	data/chars/rash/ra1.gif

anim	special
	delay	3
	offset	88 195
	bbox	0 0 0 0
	jumpframe	3 2
	frame	data/chars/rash/sp1.gif
	frame	data/chars/rash/sp1.gif
	frame	data/chars/rash/sp2.gif
	frame	data/chars/rash/sp3.gif
	sound	data/chars/rash/sp.wav
	blast	18 90 140 90 30 1 0 30
	delay	25
	frame	data/chars/rash/sp4.gif
	blast	0 0 0 0 0 0
	delay	2
	frame	data/chars/rash/sp3.gif
	delay	6
	frame	data/chars/rash/sp2.gif
	frame	data/chars/rash/sp1.gif
	frame	data/chars/rash/rise1.gif
	frame	data/chars/rash/rise2.gif

anim	throw
	delay	4
	offset	88 195
	sound	data/chars/rash/p2.wav
	frame	data/chars/rash/t1.gif
	delay	20
	frame	data/chars/rash/t2.gif

anim	walk
	loop	1
	delay	9
	offset	88 195
	bbox	82 145 20 50
	frame	data/chars/rash/w1.gif
	frame	data/chars/rash/w2.gif
	frame	data/chars/rash/w3.gif
	frame	data/chars/rash/w4.gif
	frame	data/chars/rash/w5.gif
	frame	data/chars/rash/w6.gif
	frame	data/chars/rash/w7.gif

#|edited by openBor Stats v 0.37


