name	       Cody
	attack	54 5 87 24 12 1 0 0 24 15
	offset	46 101
	frame	data/Chars/Cody/cx4.gif
	offset	46 114
	frame	data/Chars/Cody/cx5.gif
	offset	46 103
	frame	data/Chars/Cody/cx6.gif
	offset	46 95
	frame	data/Chars/Cody/cx7.gif
	offset	46 95
	frame	data/Chars/Cody/cx8.gif
		
anim	freespecial23
	hitfx	data/sounds/bukk.wav
	loop	0
	delay	6
	offset	50 65
	frame	data/Chars/Cody/dx1.gif
	attack	42 5 100 45 10 1 1 0 24 15
	dropv	1 8 0
	frame	data/Chars/Cody/dx2.gif
		
anim	freespecial25
	hitfx	data/sounds/bukk.wav
@script
    void vSelf = getlocalvar("self");

    if(frame==1){
      int  iTime = openborvariant("elapsed_time");

      changeentityproperty(vSelf, "velocity", 0, 0 , 0); // This is to stop entity from moving forward
      changeentityproperty(vSelf, "tosstime", iTime + 110);
    }
	@end_script	
	bbox	23 11 35 96
	loop	0
	delay	6
	offset	35 121
	frame	data/Chars/Cody/bx1.gif
	bbox	14 3 35 84
	offset	33 95
	frame	data/Chars/Cody/bx2.gif
	@cmd	leaper 5 0 0
	delay	9
	attack	39 29 116 53 14 1 0 0 34 15
	offset	83 92
	bbox	30 3 42 81
	frame	data/Chars/Cody/bx3.gif
	offset	83 98
	frame	data/Chars/Cody/bx4.gif
		
anim	freespecial4
	loop	0
	delay	6
	offset	54 99
	frame	data/Chars/Cody/dnew1.gif
	frame	data/Chars/Cody/dnew2.gif
	offset	54 100
	frame	data/Chars/Cody/dnew3.gif
	offset	54 102
	frame	data/Chars/Cody/dnew4.gif
	offset	54 78
	@cmd	spawn01 "codya" 55 0 0
	frame	data/Chars/Cody/dnew5.gif
	offset	38 76
	frame	data/Chars/Cody/dnew6.gif
		
anim	freespecial5
	loop	0
	delay	6
	offset	56 95
	frame	data/Chars/Cody/enew1.gif
	offset	56 92
	frame	data/Chars/Cody/enew2.gif
	offset	56 98
	frame	data/Chars/Cody/enew3.gif
	offset	56 118
	delay	14
	@cmd	spawn01 "Codyb" 50 0 0
	frame	data/Chars/Cody/enew4.gif
		
anim	freespecial6
	hitfx	data/sounds/bukk.wav
	@cmd	spawn01 "super" 0 27 0
	loop	0
	delay	6
	offset	35 61
	frame	data/Chars/Cody/fnew1.gif
	offset	47 94
	@cmd	spawn01 "flash3" 0 0 -1
	frame	data/Chars/Cody/fnew2.gif
	attack	54 26 95 35 8 0 1 0 24 15
	offset	60 109
	frame	data/Chars/Cody/fnew3.gif
	attack	0
	offset	38 96
	frame	data/Chars/Cody/fnew4.gif
	frame	data/Chars/Cody/fnew5.gif
	attack	42 2 69 80 8 0 1 0 24 15
	offset	38 116
	frame	data/Chars/Cody/fnew6.gif
	attack	0
	offset	38 106
	frame	data/Chars/Cody/fnew7.gif
	offset	45 74
	frame	data/Chars/Cody/fnew8.gif
	attack	78 17 86 31 8 0 1 0 24 15
	offset	51 81
	frame	data/Chars/Cody/fnew9.gif
	@cmd	anichange "ANI_FREESPECIAL7"
	attack	0
	offset	46 76
	frame	data/Chars/Cody/fnew10.gif
		
anim	freespecial7
	hitfx	data/sounds/bukk.wav
	bbox	18 2 50 98
	loop	0
	delay	6
	offset	36 100
	frame	data/Chars/Cody/ax1.gif
	offset	36 108
	frame	data/Chars/Cody/ax2.gif
	attack	77 3 81 42 8 1 1 0 10 15
	dropv	3 1 0
	offset	36 97
	frame	data/Chars/Cody/ax3.gif
	loop	0
	delay	2
	offset	56 95
	frame	data/Chars/Cody/enew1.gif
	offset	56 92
	frame	data/Chars/Cody/enew2.gif
	offset	56 98
	frame	data/Chars/Cody/enew3.gif
	offset	56 118
	delay	3
	@cmd	spawn01 "Codyb" 50 0 0
	frame	data/Chars/Cody/enew4.gif
	@cmd	spawn01 "Codyb" 100 0 0
	frame	data/Chars/Cody/enew4.gif
		
anim	get
	loop	0
	delay	6
	offset	47 68
	frame	data/Chars/Cody/get.gif
		
anim	grab
	bbox	18 6 83 102
	loop	0
	delay	6
	offset	40 110
	frame	data/Chars/Cody/gb1.gif
		
anim	grabattack
	bbox	0 0 0 0
	loop	0
	delay	6
	offset	40 110
	@cmd	slamstart2
	@cmd	position 1 49 18 -1 1
	frame	data/Chars/Cody/gb1.gif
	offset	43 92
	@cmd	position 1 49 6 -1 1
	frame	data/Chars/Cody/gb2.gif
	offset	54 89
	@cmd	position 1 30 10 -1 1
	frame	data/Chars/Cody/gb3.gif
	offset	54 109
	@cmd	position 2 -21 49 1 1
	frame	data/Chars/Cody/gb4.gif
	bbox	0 0 0 0
	offset	54 65
	@cmd	position 3 -37 -1 1 1
	frame	data/Chars/Cody/gb5.gif
	@cmd	depost 1
	@cmd	throw 35 1 0 -5 0 1
	@cmd	clearL
	frame	data/Chars/Cody/gb5.gif
		
anim	grabbackward
	bbox	0 0 0 0
	loop	0
	delay	6
	offset	40 110
	@cmd	slamstart2
	@cmd	position 1 49 18 -1 1
	frame	data/Chars/Cody/gb1.gif
	offset	43 92
	@cmd	position 1 49 6 -1 1
	frame	data/Chars/Cody/gb2.gif
	offset	54 89
	@cmd	position 1 30 10 -1 1
	frame	data/Chars/Cody/gb3.gif
	offset	54 109
	@cmd	position 2 -21 49 1 1
	frame	data/Chars/Cody/gb4.gif
	bbox	0 0 0 0
	offset	54 65
	@cmd	position 3 -37 -1 1 1
	frame	data/Chars/Cody/gb5.gif
	@cmd	depost 1
	@cmd	throw 35 1 0 -5 0 1
	@cmd	clearL
	frame	data/Chars/Cody/gb5.gif
		
anim	idle
	bbox	2 4 69 94
	loop	1
	delay	6
	offset	34 97
	frame	data/Chars/Cody/idle1.gif
	offset	34 96
	frame	data/Chars/Cody/idle2.gif
	offset	34 97
	frame	data/Chars/Cody/idle3.gif
	frame	data/Chars/Cody/idle4.gif
	frame	data/Chars/Cody/idle5.gif
	offset	34 96
	frame	data/Chars/Cody/idle6.gif
	offset	34 97
	frame	data/Chars/Cody/idle7.gif
	frame	data/Chars/Cody/idle8.gif
		
anim	jump
	cancel	0 4 0 a2 freespecial25
	bbox	5 4 55 116
	loop	0
	delay	6
	offset	20 119
	frame	data/Chars/Cody/jump1.gif
	offset	20 94
	bbox	4 5 54 86
	frame	data/Chars/Cody/jump2.gif
	bbox	4 5 59 71
	offset	20 80
	frame	data/Chars/Cody/jump3.gif
	offset	20 76
	frame	data/Chars/Cody/jump4.gif
	offset	20 94
	frame	data/Chars/Cody/jump5.gif
		
anim	jumpattack
	bbox	18 8 62 71
	loop	0
	delay	6
	offset	37 83
	frame	data/Chars/Cody/ja1.gif
	attack	69 21 75 64 9 0 1 0 24 15
	offset	51 83
	frame	data/Chars/Cody/ja2.gif
		
anim	land
	loop	0
	delay	6
	offset	47 68
	frame	data/Chars/Cody/get.gif
		
anim	pain
	bbox	4 4 78 79
	loop	0
	delay	6
	offset	36 81
	frame	data/Chars/Cody/pain.gif
		
anim	rise
	loop	0
	delay	6
	offset	40 94
	frame	data/Chars/Cody/rise1.gif
		
anim	run
	bbox	5 5 91 95
	loop	1
	delay	6
	offset	48 102
	frame	data/Chars/Cody/run1.gif
	offset	56 102
	frame	data/Chars/Cody/run2.gif
	offset	50 104
	frame	data/Chars/Cody/run3.gif
	offset	50 103
	frame	data/Chars/Cody/run4.gif
	offset	53 101
	frame	data/Chars/Cody/run5.gif
		
anim	runjumpattack
	bbox	7 6 57 67
	loop	0
	delay	6
	offset	43 77
	frame	data/Chars/Cody/rja1.gif
	attack	17 31 125 34 10 1 0 0 10 15
	dropv	1 6 0
	offset	43 63
	frame	data/Chars/Cody/rja2.gif
		
anim	sleep
	loop	1
	delay	6
	offset	37 55
	frame	data/Chars/Cody/waiting1.gif
	offset	37 64
	frame	data/Chars/Cody/waiting2.gif
	offset	37 78
	frame	data/Chars/Cody/wait3.gif
	offset	37 83
	frame	data/Chars/Cody/wait4.gif
	offset	37 79
	frame	data/Chars/Cody/wait5.gif
	offset	37 60
	frame	data/Chars/Cody/wait6.gif
	offset	37 55
	frame	data/Chars/Cody/wait7.gif
	frame	data/Chars/Cody/wait8.gif
		
anim	waiting
	loop	1
	delay	6
	offset	37 55
	frame	data/Chars/Cody/waiting1.gif
	offset	37 64
	frame	data/Chars/Cody/waiting2.gif
	offset	37 78
	frame	data/Chars/Cody/wait3.gif
	offset	37 83
	frame	data/Chars/Cody/wait4.gif
	offset	37 79
	frame	data/Chars/Cody/wait5.gif
	offset	37 60
	frame	data/Chars/Cody/wait6.gif
	offset	37 55
	frame	data/Chars/Cody/wait7.gif
	frame	data/Chars/Cody/wait8.gif
		
anim	walk
	bbox	6 7 59 96
	loop	1
	delay	7
	offset	35 105
	frame	data/Chars/Cody/walk1.gif
	offset	35 103
	frame	data/Chars/Cody/walk2.gif
	offset	33 103
	frame	data/Chars/Cody/walk3.gif
	offset	22 104
	frame	data/Chars/Cody/walk4.gif
	offset	25 106
	frame	data/Chars/Cody/walk5.gif
	offset	35 105
	frame	data/Chars/Cody/walk6.gif
	offset	35 101
	frame	data/Chars/Cody/walk7.gif
	offset	37 102
	frame	data/Chars/Cody/walk8.gif
	offset	28 102
	frame	data/Chars/Cody/walk9.gif
	offset	15 104
	frame	data/Chars/Cody/walk10.gif
		
#|edited by openBor Stats v 0.51
		
