
name	  draven
	frame	data/chars/han/hspec18.gif
	frame	data/chars/han/hspec19.gif
	attack	0 0 0 0 0
		
anim	get
	loop	0
	delay	10
	offset	34 75
	frame	data/chars/draven/get.gif
		
anim	grab
	loop	0
	offset	12 114
	bbox	70 80 25 25
	delay	1000
	frame	data/chars/draven/grab.gif
		
anim	grabattack
	range	5 40
	loop	0
	delay	7
	offset	22 113
	bbox	41 11 31 93
	sound	data/chars/burnking/sounds/punch.wav
	frame	data/chars/draven/5spec1.gif
	offset	28 113
	frame	data/chars/draven/5spec2.gif
	attack	71 3 64 67 15 0
	offset	61 113
	frame	data/chars/draven/5spec3.gif
	offset	60 113
	frame	data/chars/draven/5spec4.gif
	offset	62 113
	frame	data/chars/draven/5spec5.gif
	attack	0 0 0 0 0
		
anim	grabattack2
	range	5 50
	loop	0
	delay	5
	offset	20 104
	custknife	ball
	throwframe	3
	bbox	34 18 37 94
	sound	data/chars/ghost/sounds/punch5.wav
	frame	data/chars/draven/2spec1.gif
	offset	34 106
	frame	data/chars/draven/2spec2.gif
	offset	88 125
	frame	data/chars/draven/2spec3.gif
	offset	78 110
	frame	data/chars/draven/2spec4.gif
	offset	81 113
	frame	data/chars/draven/2spec5.gif
	offset	47 110
	frame	data/chars/draven/2spec8.gif
		
anim	idle
	loop	1
	offset	17 113
	bbox	23 11 41 91
	delay	18
	frame	data/chars/draven/idle1.gif
	frame	data/chars/draven/idle2.gif
	frame	data/chars/draven/idle3.gif
	frame	data/chars/draven/idle4.gif
	frame	data/chars/draven/idle5.gif
	offset	18 113
	frame	data/chars/draven/idle6.gif
	offset	19 113
	frame	data/chars/draven/idle7.gif
	offset	18 113
	frame	data/chars/draven/idle8.gif
		
anim	jump
	loop	0
	offset	37 112
	delay	15
	bbox	47 37 33 79
	sound	data/chars/draven/sounds/jump.wav
	frame	data/chars/draven/jump1.gif
	offset	42 112
	frame	data/chars/draven/jump2.gif
	offset	53 109
	frame	data/chars/draven/jump3.gif
	offset	55 139
	frame	data/chars/draven/jump4.gif
	offset	45 167
	frame	data/chars/draven/jump5.gif
		
anim	jumpattack
	range	5 90
	loop	0
	delay	8
	move	10
	offset	41 118
	bbox	37 35 35 88
	sound	data/chars/burnking/sounds/kick1.wav
	frame	data/chars/draven/jatk1.gif
	offset	32 116
	frame	data/chars/draven/jatk2.gif
	offset	69 103
	frame	data/chars/draven/jatk3.gif
	offset	53 109
	frame	data/chars/draven/jatk4.gif
		
anim	land
	loop	0
	delay	10
	offset	34 75
	frame	data/chars/draven/get.gif
		
anim	pain
	loop	0
	offset	22 112
	bbox	31 14 35 83
	sound	data/chars/burnking/sounds/hurt1.wav
	delay	10
	frame	data/chars/draven/pain1.gif
	offset	31 107
	frame	data/chars/draven/pain2.gif
	offset	38 105
	frame	data/chars/draven/pain3.gif
		
anim	rise
	loop	0
	delay	8
	offset	36 42
	frame	data/chars/draven/rise1.gif
	offset	33 50
	frame	data/chars/draven/rise2.gif
	offset	32 69
	frame	data/chars/draven/rise3.gif
		
anim	run
	loop	1
	delay	18
	offset	54 101
	bbox	65	30	33	65
	frame	data/chars/draven/run1.gif
	offset	55 102
	frame	data/chars/draven/run2.gif
		
anim	runattack
	range	5 90
	loop	0
	custknife	x
	throwframe	3
	delay	8
	move	10
	offset	41 118
	bbox	37 35 35 88
	sound	data/chars/burnking/sounds/kick1.wav
	frame	data/chars/draven/jatk1.gif
	offset	32 116
	frame	data/chars/draven/jatk2.gif
	offset	69 103
	frame	data/chars/draven/jatk3.gif
	offset	53 109
	frame	data/chars/draven/jatk4.gif
		
anim	special
	loop	0
	delay	5
	offset	23 121
	sound	data/sounds/marvel/thorligh.wav
	frame	data/chars/draven/4spec1.gif
	offset	36 117
	frame	data/chars/draven/4spec2.gif
	offset	53 122
	frame	data/chars/draven/4spec3.gif
	offset	28 122
	frame	data/chars/draven/4spec4.gif
	offset	24 115
	frame	data/chars/draven/4spec5.gif
	offset	31 114
	frame	data/chars/draven/4spec6.gif
	offset	54 185
	frame	data/chars/draven/4spec7.gif
	offset	62 185
	frame	data/chars/draven/4spec8.gif
	offset	62 186
	frame	data/chars/draven/4spec9.gif
	offset	59 183
	frame	data/chars/draven/4spec10.gif
	delay	8
	attack	0 0 260 470 25 1 0 0 20
	offset	64 472
	frame	data/chars/draven/super1.gif
	offset	49 472
	frame	data/chars/draven/super2.gif
	offset	80 454
	frame	data/chars/draven/super3.gif
	offset	105 454
	frame	data/chars/draven/super4.gif
	offset	111 453
	frame	data/chars/draven/super5.gif
	offset	113 454
	frame	data/chars/draven/super6.gif
	offset	119 456
	frame	data/chars/draven/super7.gif
	offset	126 458
	frame	data/chars/draven/super8.gif
	offset	126 459
	frame	data/chars/draven/super9.gif
	offset	133 454
	frame	data/chars/draven/super10.gif
	offset	141 454
	frame	data/chars/draven/super11.gif
	offset	136 448
	frame	data/chars/draven/super12.gif
	offset	136 448
	frame	data/chars/draven/super13.gif
	offset	137 451
	frame	data/chars/draven/super14.gif
	offset	137 448
	frame	data/chars/draven/super15.gif
	offset	128 451
	frame	data/chars/draven/super16.gif
	offset	134 427
	frame	data/chars/draven/super17.gif
	offset	158 427
	frame	data/chars/draven/super18.gif
	offset	158 315
	frame	data/chars/draven/super19.gif
	offset	139 317
	frame	data/chars/draven/super20.gif
	offset	143 32
	frame	data/chars/draven/super21.gif
	attack	0 0 0 0 0 0
	delay	3
	attack	0 0 260 470 25 1 0 0 20
	offset	143 32
	frame	data/chars/draven/super21.gif
	offset	139 317
	frame	data/chars/draven/super20.gif
	offset	158 315
	frame	data/chars/draven/super19.gif
	offset	158 427
	frame	data/chars/draven/super18.gif
	offset	134 427
	frame	data/chars/draven/super17.gif
	offset	128 451
	frame	data/chars/draven/super16.gif
	offset	137 448
	frame	data/chars/draven/super15.gif
	offset	137 451
	frame	data/chars/draven/super14.gif
	offset	136 448
	frame	data/chars/draven/super13.gif
	offset	136 448
	frame	data/chars/draven/super12.gif
	offset	141 454
	frame	data/chars/draven/super11.gif
	offset	133 454
	frame	data/chars/draven/super10.gif
	offset	126 459
	frame	data/chars/draven/super9.gif
	offset	126 458
	frame	data/chars/draven/super8.gif
	offset	119 456
	frame	data/chars/draven/super7.gif
	offset	113 454
	frame	data/chars/draven/super6.gif
	offset	111 453
	frame	data/chars/draven/super5.gif
	offset	105 454
	frame	data/chars/draven/super4.gif
	offset	80 454
	frame	data/chars/draven/super3.gif
	offset	49 472
	frame	data/chars/draven/super2.gif
	offset	64 472
	frame	data/chars/draven/super1.gif
	delay	8
	offset	36 42
	frame	data/chars/draven/rise1.gif
	offset	33 50
	frame	data/chars/draven/rise2.gif
	offset	32 69
	frame	data/chars/draven/rise3.gif
	attack	0 0 0 0 0 0
		
anim	throw
	loop	0
	delay	7
	offset	38 100
	sound	data/chars/burnking/sounds/kick1.wav
	frame	data/chars/draven/throw1.gif
	frame	data/chars/draven/throw1.gif
	offset	54 121
	frame	data/chars/draven/throw2.gif
	attack	0 5 164 135 20 1
	frame	data/chars/draven/throw2.gif
	offset	38 111
	frame	data/chars/draven/throw3.gif
	frame	data/chars/draven/throw3.gif
	offset	52 107
	frame	data/chars/draven/throw4.gif
	frame	data/chars/draven/throw4.gif
	attack	0 0 0 0 0
		
anim	walk
	loop	1
	offset	42 111
	bbox	25 8 38 97
	delay	9
	frame	data/chars/draven/walk1.gif
	offset	42 110
	frame	data/chars/draven/walk2.gif
	offset	43 110
	frame	data/chars/draven/walk3.gif
	offset	42 111
	frame	data/chars/draven/walk4.gif
	offset	42 112
	frame	data/chars/draven/walk5.gif
	offset	45 112
	frame	data/chars/draven/walk6.gif
	offset	43 111
	frame	data/chars/draven/walk7.gif
	offset	42 109
	frame	data/chars/draven/walk8.gif
	offset	44 109
	frame	data/chars/draven/walk9.gif
	offset	42 109
	frame	data/chars/draven/walk10.gif
	offset	44 111
	frame	data/chars/draven/walk11.gif
	offset	42 112
	frame	data/chars/draven/walk12.gif
	offset	41 112
	frame	data/chars/draven/walk13.gif
		
#|edited by openBor Stats v 0.67
		
