name	    		Dean
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
       frame      data/chars/dean/a102.gif
	 delay      6
       frame      data/chars/dean/a101.gif



anim attack2
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			3 		1 		d u a 			freespecial2
	cancel 	0 			3 		1 		d f a 			freespecial3
	 fastattack 1

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/dean/a201.gif
       frame      data/chars/dean/a202.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 	115 	61 		63 		6 		0 		0 		0 		25		15
	 delay      10
       frame      data/chars/dean/a203.gif
	 attack2  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      3
       frame      data/chars/dean/a202.gif

anim attack3
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 	0 			10 		1 		d u a 			freespecial2
	cancel 	0 			10 		1 		d f a 			freespecial3
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/dean/dean02.wav
	 delay      3
       frame      data/chars/dean/a202.gif
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack13  	240 	115 	61 		63 		12 		1 		0 		0 		5		15
	 delay      4
       frame      data/chars/dean/a204.gif
       frame      data/chars/dean/a208.gif
       frame      data/chars/dean/a205.gif
       frame      data/chars/dean/a203.gif
       frame      data/chars/dean/a206.gif
       frame      data/chars/dean/a208.gif
       frame      data/chars/dean/a207.gif
       frame      data/chars/dean/a203.gif
	 delay      10
       frame      data/chars/dean/a204.gif
	 attack13  	0 	0 	0 		0 		0 		0 		0 		0 		0
       frame      data/chars/dean/a209.gif

anim jumpdelay
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      11
       frame      data/chars/dean/land01.gif

anim jump
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				999 		0 			d f a 					freespecial4
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      35
       frame      data/chars/dean/jump01.gif
	 delay      15
       frame      data/chars/dean/jump02.gif
	 delay      999
       frame      data/chars/dean/jump01.gif

anim forwardjump
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				999 		0 			d f a 					freespecial4
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      35
       frame      data/chars/dean/jump01.gif
	 delay      15
       frame      data/chars/dean/jump02.gif
	 delay      999
       frame      data/chars/dean/jump01.gif


anim jumpland
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      11
       frame      data/chars/dean/land01.gif

anim jumpattack
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				999 		1 			d f a 					freespecial4
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/dean/dean02.wav
	 delay      5
       frame      data/chars/dean/jump02.gif

	 delay      10
       frame      data/chars/dean/ja101.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 	109 	61 		69 		12 		1 		0 		0 		30		15
	 delay      40
	 frame	data/chars/dean/ja102.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      12
       frame      data/chars/dean/ja101.gif
	 delay      5
       frame      data/chars/dean/jump02.gif
	 delay      999
       frame      data/chars/dean/jump01.gif

anim jumpforward
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				999 		1 			d f a 					freespecial4
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/dean/dean02.wav
	 delay      5
       frame      data/chars/dean/jump02.gif

	 delay      10
       frame      data/chars/dean/ja101.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	240 	109 	61 		69 		12 		1 		0 		0 		30		15
	 delay      40
	 frame	data/chars/dean/ja201.gif
	 attack  	0 	0 	0 		0 		0 		0 		0 		0 		0
	 delay      12
       frame      data/chars/dean/ja101.gif
	 delay      5
       frame      data/chars/dean/jump02.gif
	 delay      999
       frame      data/chars/dean/jump01.gif

anim jumpattack2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				999 		1 			d f a 					freespecial4
	jugglecost 	2
	 fastattack 1
	 hitfx   	data/sounds/beat3.wav

	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/chars/dean/dean02.wav
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	235 115 35 		31 		6 			0 		0 		0 			25			15
	 delay      999
	 frame	data/chars/dean/ja301.gif


anim grab
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      6
       frame      data/chars/dean/grab01.gif

anim grabattack
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 	105 	46 		73 		6 		0 		0 		0 		25		0
       frame      data/chars/dean/th101.gif

anim grabattack2
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 hitfx   	data/sounds/beat2.wav
	 delay      16
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack2  	240 	105 	46 		73 		12 		1 		0 		0 		30		0
       frame      data/chars/dean/th101.gif

anim grabbackward
	 flipframe	4
	 jumpframe 	1 3.3 0
	 landframe	4
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav

	 sound   	data/chars/dean/dean03.wav


	@cmd slamstart
	@cmd position 15 1 1 0 1
	delay      35
       frame      data/chars/dean/th201.gif

	@cmd position 16 1 1 0 1
	delay      30
     frame      data/chars/dean/th202.gif
	 

	@cmd position 16 -50 1 0 1
	@cmd depost 0
	@cmd throw 12 1 -3.5 -1.5 0 0
	@cmd clearL
#@cmd projectile 1 "friver" -75 0 0
	delay      20
       frame      data/chars/dean/th203.gif

	delay      999
       frame      data/chars/dean/th204.gif
	
@cmd projectile 1 "dust01" 0 0 0
	delay      11
       frame      data/chars/dean/land01.gif

anim grabdown
	 flipframe	4
	 jumpframe 	1 3.3 0
	 landframe	4
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav

	 sound   	data/chars/dean/dean03.wav


	@cmd slamstart
	@cmd position 15 1 1 0 1
	delay      35
       frame      data/chars/dean/th201.gif

	@cmd position 16 1 1 0 1
	delay      30
     frame      data/chars/dean/th202.gif
	 

	@cmd position 16 -50 1 0 1
	@cmd depost 0
	@cmd throw 12 1 -3.5 -1.5 0 0
	@cmd clearL
#@cmd projectile 1 "friver" -75 0 0
	delay      20
       frame      data/chars/dean/th203.gif

	delay      999
       frame      data/chars/dean/th204.gif
	
@cmd projectile 1 "dust01" 0 0 0
	delay      11
       frame      data/chars/dean/land01.gif

anim grabup
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/dean/dean03.wav
	attackone	0


	@cmd slamstart
	@cmd position 17 1 1 0 1
	 delay      15
       frame      data/chars/dean/th201.gif

	@cmd position 18 1 -11 0 1
	 delay      35
     frame      data/chars/dean/th301.gif

#@cmd projectile 1 "friver" 75 0 0
@cmd projectile 1 "quake" 0 0 0
@cmd spawn01 "flash" -10 0 -10
	@cmd position 19 1 -11 1 1
	 delay      25
	 sound   	data/sounds/beat3.wav
       frame      data/chars/dean/th302.gif



	@cmd depost 0
	@cmd throw 12 3 1.5 2.5 0 0
	@cmd clearL
	 delay      50
       frame      data/chars/dean/get01.gif

	 delay      11
       frame      data/chars/dean/land01.gif

anim grabforward
	 fastattack 1
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0
	 hitfx   	data/sounds/empty.wav
	 sound   	data/chars/dean/dean03.wav
	attackone	0


	@cmd slamstart
	@cmd position 17 1 1 0 1
	 delay      15
       frame      data/chars/dean/th201.gif

	@cmd position 18 1 -11 0 1
	 delay      35
     frame      data/chars/dean/th301.gif

#@cmd projectile 1 "friver" 75 0 0
@cmd projectile 1 "quake" 0 0 0
@cmd spawn01 "flash" -10 0 -10
	@cmd position 19 1 -11 1 1
	 delay      25
	 sound   	data/sounds/beat3.wav
       frame      data/chars/dean/th302.gif



	@cmd depost 0
	@cmd throw 12 3 1.5 2.5 0 0
	@cmd clearL
	 delay      50
       frame      data/chars/dean/get01.gif

	 delay      11
       frame      data/chars/dean/land01.gif

anim riseattack1
	 jugglecost 100
#	 jumpframe 0 3.3
#	 landframe  8
	 energycost	5
	 mponly  	2
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0

	 delay      10
       frame      data/chars/dean/rise01.gif
       frame      data/chars/dean/get01.gif

	 sound   	data/chars/dean/dean03.wav
	 delay      14
       frame      data/chars/dean/sp01.gif

	 delay      8
 	 sound   	data/sounds/blast01.wav
       frame      data/chars/dean/sp02.gif
       frame      data/chars/dean/sp03.gif

#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack13  	186 	94 	101 		84 		12 		1 		1 		0 		25		15
#	 delay      12
       frame      data/chars/dean/sp04.gif
       frame      data/chars/dean/sp05.gif
       frame      data/chars/dean/sp06.gif
       frame      data/chars/dean/sp07.gif
       frame      data/chars/dean/sp08.gif
       frame      data/chars/dean/sp09.gif
       frame      data/chars/dean/sp10.gif
       frame      data/chars/dean/sp11.gif
       frame      data/chars/dean/sp12.gif


	 attack13  	0 	0 	0 		0 		0 		0 		0 		0 		0 		0
	 delay      25
       frame      data/chars/dean/sp13.gif

#-----------------NORMAL PUNCH 01-----------------#

anim pain
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/dean/pain01.gif
	 offset     237 177
       frame      data/chars/dean/pain01.gif
	 offset     238 177
       frame      data/chars/dean/pain01.gif
	 offset     239 177
       frame      data/chars/dean/pain01.gif
	 offset     238 177
       frame      data/chars/dean/pain01.gif
	 offset     237 177
       frame      data/chars/dean/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/dean/pain01.gif

anim fall
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				1 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/dean/fall01.gif
	 delay      1
       frame      data/chars/dean/fall02.gif


#-----------------NORMAL PUNCH 01-----------------#


#-----------------NORMAL PUNCH 02-----------------#

anim pain2
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/dean/pain02.gif
	 offset     237 177
       frame      data/chars/dean/pain02.gif
	 offset     238 177
       frame      data/chars/dean/pain02.gif
	 offset     239 177
       frame      data/chars/dean/pain02.gif
	 offset     238 177
       frame      data/chars/dean/pain02.gif
	 offset     237 177
       frame      data/chars/dean/pain02.gif
	 offset     238 177
	 delay      12
       frame      data/chars/dean/pain02.gif

anim fall2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				1 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		226 102 23 76
       frame      data/chars/dean/fall01.gif
	 delay      1
       frame      data/chars/dean/fall02.gif

#-----------------NORMAL PUNCH 02-----------------#


#-----------------SPECIAL ATTACK-----------------#

anim pain3
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 delay      4
       frame      data/chars/dean/pain01.gif
	 offset     237 177
       frame      data/chars/dean/pain01.gif
	 offset     238 177
       frame      data/chars/dean/pain01.gif
	 offset     239 177
       frame      data/chars/dean/pain01.gif
	 offset     238 177
       frame      data/chars/dean/pain01.gif
	 offset     237 177
       frame      data/chars/dean/pain01.gif
	 offset     238 177
	 delay      12
       frame      data/chars/dean/pain01.gif

anim fall3
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				1 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
	 bbox		0 0 0 0
       frame      data/chars/dean/fall01.gif
	 delay      1
       frame      data/chars/dean/fall02.gif

#-----------------SPECIAL ATTACK-----------------#

#-----------------THROW LAUNCH-----------------#

anim fall4
#	 jumpframe 	2 2.5 -2
#	 landframe	5
	 flipframe	0 
	 loop       0
	 offset     238 177
	 bbox		0 0 0 0

#-------------------------------------------cody
	 delay      999
       frame      data/chars/dean/cody01.gif	# 0
	 delay      999
       frame      data/chars/dean/cody02.gif	# 1
#-------------------------------------------cody
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/dean/hagg01.gif	# 2
	 delay      999
       frame      data/chars/dean/hagg02.gif	# 3
 	 delay      999
       frame      data/chars/dean/hagg03.gif	# 4
	 delay      999
       frame      data/chars/dean/hagg04.gif	# 5
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/dean/hagg05.gif	# 6
	 delay      999
       frame      data/chars/dean/hagg06.gif	# 7
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/dean/hagg07.gif	# 8
	 delay      999
       frame      data/chars/dean/hagg08.gif	# 9
	 delay      999
       frame      data/chars/dean/hagg09.gif	# 10
	 delay      999
       frame      data/chars/dean/hagg10.gif	# 11
	 delay      999
       frame      data/chars/dean/hagg11.gif	# 12
#-------------------------------------------Haggar
	 delay      999
       frame      data/chars/dean/hagg12.gif	# 13
	 delay      999
       frame      data/chars/dean/hagg13.gif	# 14
#-------------------------------------------Haggar
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/dean/dean01.gif	# 15
	 delay      999
       frame      data/chars/dean/dean02.gif	# 16
#-------------------------------------------Dean
	 delay      999
       frame      data/chars/dean/dean03.gif	# 17

	 delay      999
       frame      data/chars/dean/dean04.gif	# 18

	 delay      999
       frame      data/chars/dean/dean05.gif	# 19
#-------------------------------------------Dean
	   

#-----------------THROW LAUNCH-----------------#

#-----------------THROW FALL-----------------#

anim fall5
	shadowcoords 238 177
	fastattack	1
	 landframe  1
	 loop       0
	 offset     198 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/dean/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 offset     238 177
	shadowcoords 238 177
	move	50
	 delay      1
       frame      data/chars/dean/fall02.gif

#-----------------THROW FALL-----------------#

#-----------------THROW FALL 2-----------------#

anim fall6
	fastattack	1
	 landframe  1
	 loop       0
	 offset     238 177
	 delay      999
#	 attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	 attack  	205 110 85 		55 		5 			1 		0 		0 			25			15
	 bbox		226 102 23 76
       frame      data/chars/dean/fall01.gif
	 attack  	0 0 0 		0 		0 			0 		0 		0 			0			0
	 delay      1
       frame      data/chars/dean/fall02.gif

#-----------------THROW FALL 2-----------------#


#-----------------BURN1-----------------#

anim pain11
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     239 177
       frame      data/chars/misc/burn1/burn102.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
       frame      data/chars/misc/burn1/burn103.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     237 177
       frame      data/chars/misc/burn1/burn104.gif
       frame      data/chars/misc/burn1/burn101.gif
	 offset     238 177
	 delay      12
       frame      data/chars/dean/pain01.gif

anim fall11
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn114.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn112.gif
       frame      data/chars/misc/burn1/burn111.gif
       frame      data/chars/misc/burn1/burn113.gif
       frame      data/chars/misc/burn1/burn111.gif
	 delay      999
       frame      data/chars/dean/fall01.gif
	 delay      1
       frame      data/chars/dean/fall02.gif

#-----------------BURN1-----------------#

#-----------------BURN2-----------------#

anim pain12
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn101.wav
	 delay      2
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     239 177
       frame      data/chars/misc/burn2/burn202.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
       frame      data/chars/misc/burn2/burn203.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     237 177
       frame      data/chars/misc/burn2/burn204.gif
       frame      data/chars/misc/burn2/burn201.gif
	 offset     238 177
	 delay      12
       frame      data/chars/dean/pain01.gif

anim fall12
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 177
	 bbox		226 102 23 76
	 sound   	data/sounds/burn111.wav

	 delay      2
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn214.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn212.gif
       frame      data/chars/misc/burn2/burn211.gif
       frame      data/chars/misc/burn2/burn213.gif
       frame      data/chars/misc/burn2/burn211.gif
	 delay      999
       frame      data/chars/dean/fall01.gif
	 delay      1
       frame      data/chars/dean/fall02.gif

#-----------------BURN2-----------------#

#-----------------SHOCK-----------------#

anim pain13
	 loop       0
	 offset     238 167
	 bbox		226 102 23 76
	 sound   	data/sounds/shock01.wav
	 delay      2
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     237 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     238 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     239 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 sound   	data/sounds/shock01.wav
	 offset     238 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     237 167
       frame      data/chars/misc/shock/shock02.gif
       frame      data/chars/misc/shock/shock01.gif
	 offset     238 167
	 delay      12
       frame      data/chars/dean/pain01.gif

anim fall13
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
	cancel 		0 				36 			0 			u a						freespecial10	# cancel jump release attack
	 landframe  37
	 loop       0
	 offset     238 167
	 bbox		226 102 23 76
