name	Luffy
	frame	data/chars/Luffy/bazka09.gif
	blast	97 40 85 24 15 1 0 0 0 0
	blast	97 40 85 24 15 1 0 0 0 0
	frame	data/chars/Luffy/bazka10.gif
	frame	data/chars/Luffy/bazka11.gif
	frame	data/chars/Luffy/bazka12.gif
	frame	data/chars/Luffy/bazka13.gif
		
anim	freespecial2
	energycost	0
	mponly	1
	@cmd	enoughmp
	loop	0
	offset	43 78
	sound	data/chars/Luffy/storm.wav
	delay	30
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	@cmd	changeopenborvariant "slowmotion" 1
	frame	data/chars/Luffy/storm01.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	@cmd	changeopenborvariant "slowmotion" 0
	delay	7
	frame	data/chars/Luffy/storm02.gif
	frame	data/chars/Luffy/storm03.gif
	frame	data/chars/Luffy/storm04.gif
	sound	data/chars/Luffy/wave.wav
	frame	data/chars/Luffy/storm05.gif
	offset	51 78
	frame	data/chars/Luffy/storm06.gif
	offset	51 78
	frame	data/chars/Luffy/storm07.gif
	@cmd	spawnparent "pdust" -10 0 -20
	blast	59 9 41 88 15 0 0 0 0 0
	blast	59 9 41 88 15 0 0 0 0 0
	@cmd	dasher 5 0 0
	frame	data/chars/Luffy/storm08.gif
	attack	0 0 0 0 0 0 0 0 0 0
	attack	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Luffy/storm09.gif
	blast	59 2 42 97 15 0 0 0 0 0
	blast	59 2 42 97 15 0 0 0 0 0
	frame	data/chars/Luffy/storm10.gif
	blast	0 0 0 0 0 0 0 0 0 0
	blast	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Luffy/storm11.gif
	blast	59 9 41 88 15 0 0 0 0 0
	blast	59 9 41 88 15 0 0 0 0 0
	frame	data/chars/Luffy/storm08.gif
	blast	0 0 0 0 0 0 0 0 0 0
	blast	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Luffy/storm09.gif
	blast	59 2 42 97 15 1 0 0 0 0
	blast	59 2 42 97 15 1 0 0 0 0
	frame	data/chars/Luffy/storm10.gif
	@cmd	stop
	blast	0 0 0 0 0 0 0 0 0 0
	blast	0 0 0 0 0 0 0 0 0 0
	frame	data/chars/Luffy/storm11.gif
		
anim	get
	loop	0
	delay	7
	offset	38 77
	sound	data/chars/Luffy/get.wav
	frame	data/chars/Luffy/get01.gif
	frame	data/chars/Luffy/get02.gif
	frame	data/chars/Luffy/get03.gif
		
anim	grab
	loop	0
	offset	38 77
	delay	8
	bbox	36 46 13 20
	delay	8
	sound	data/chars/Luffy/grab.wav
	frame	data/chars/Luffy/grab.gif
		
anim	grabattack
	loop	0
	offset	38 77
	bbox	36 46 13 20
	delay	4
	frame	data/chars/Luffy/gatta1.gif
	attack	49 39 19 26 6
	frame	data/chars/Luffy/gatta2.gif
	frame	data/chars/Luffy/gatta3.gif
	frame	data/chars/Luffy/gatta4.gif
		
anim	grabattack2
	loop	0
	offset	38 77
	bbox	0 0 0 0 0
	delay	5
	frame	data/chars/Luffy/gatta2-1.gif
	frame	data/chars/Luffy/gatta2-2.gif
	frame	data/chars/Luffy/gatta2-3.gif
	frame	data/chars/Luffy/gatta2-4.gif
	frame	data/chars/Luffy/gatta2-5.gif
	frame	data/chars/Luffy/gatta2-6.gif
	frame	data/chars/Luffy/gatta2-7.gif
	sound	data/chars/Luffy/finish.wav
	blast	47 38 41 24 8 0 0 0 0 0
	frame	data/chars/Luffy/gatta2-8.gif
	frame	data/chars/Luffy/gatta2-9.gif
		
anim	idle
	loop	1
	delay	15
	offset	38 77
	bbox	36 46 13 20
	frame	data/chars/Luffy/stand01.GIF
	frame	data/chars/Luffy/stand02.GIF
	frame	data/chars/Luffy/stand03.GIF
	frame	data/chars/Luffy/stand04.GIF
	frame	data/chars/Luffy/stand05.GIF
	frame	data/chars/Luffy/stand06.GIF
		
anim	jump
	loop	0
	offset	38 77
	delay	10
	bbox	37 46 16 17
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Luffy/jump01.gif
	frame	data/chars/Luffy/jump02.gif
	frame	data/chars/Luffy/jump03.gif
	frame	data/chars/Luffy/jump04.gif
	frame	data/chars/Luffy/jump05.gif
	frame	data/chars/Luffy/jump06.gif
	frame	data/chars/Luffy/jump07.gif
		
anim	jumpattack
	mponly	1
	mpcost	5
	loop	0
	delay	5
	bbox	37 46 16 17
	offset	38 77
	sound	data/chars/Luffy/hanabi.wav
	frame	data/chars/Luffy/jatk01.gif
	frame	data/chars/Luffy/jatk02.gif
	frame	data/chars/Luffy/jatk03.gif
	frame	data/chars/Luffy/jatk02.gif
	frame	data/chars/Luffy/jatk03.gif
	attack	0 0 98 96 10 0 0 0 0 0
	attack	0 0 98 96 10 0 0 0 0 0
	frame	data/chars/Luffy/jatk04.gif
	attack	0 0 98 96 10 0 0 0 0 0
	attack	0 0 98 96 10 0 0 0 0 0
	frame	data/chars/Luffy/jatk05.gif
	attack	0 0 98 96 10 0 0 0 0 0
	attack	0 0 98 96 10 0 0 0 0 0
	frame	data/chars/Luffy/jatk04.gif
	attack	0 0 98 96 10 0 0 0 0 0
	attack	0 0 98 96 10 0 0 0 0 0
	frame	data/chars/Luffy/jatk05.gif
	attack	0 0 98 96 10 0 0 0 0 0
	attack	0 0 98 96 10 0 0 0 0 0
	frame	data/chars/Luffy/jatk06.gif
	attack	0 0 98 96 10 0 0 0 0 0
	attack	0 0 98 96 10 0 0 0 0 0
	frame	data/chars/Luffy/jatk07.gif
		
anim	land
	loop	0
	offset	38 77
	delay	25
	frame	data/chars/Luffy/rise07.gif
	frame	data/chars/Luffy/rise08.gif
		
anim	pain
	loop	0
	offset	38 77
	bbox	36 46 13 20
	delay	20
	sound	data/chars/Luffy/pain.wav
	frame	data/chars/Luffy/pain.gif
		
anim	rise
	loop	0
	offset	38 77
	delay	10
	frame	data/chars/Luffy/rise01.gif
	frame	data/chars/Luffy/rise02.gif
	frame	data/chars/Luffy/rise03.gif
	frame	data/chars/Luffy/rise04.gif
	frame	data/chars/Luffy/rise05.gif
	frame	data/chars/Luffy/rise06.gif
	frame	data/chars/Luffy/rise07.gif
	frame	data/chars/Luffy/rise08.gif
		
anim	run
	loop	1
	delay	7
	offset	38 77
	bbox	36 46 13 20
	running	25 4 3 1 1
	frame	data/chars/Luffy/dash01.gif
	frame	data/chars/Luffy/dash02.gif
	frame	data/chars/Luffy/dash03.gif
	frame	data/chars/Luffy/dash04.gif
	frame	data/chars/Luffy/dash05.gif
	frame	data/chars/Luffy/dash06.gif
	frame	data/chars/Luffy/dash07.gif
	frame	data/chars/Luffy/dash08.gif
		
anim	select
	loop	0
	delay	7
	offset	38 77
	sound	data/chars/Luffy/get.wav
	frame	data/chars/Luffy/slt01.GIF
	frame	data/chars/Luffy/slt02.GIF
	frame	data/chars/Luffy/slt03.GIF
	frame	data/chars/Luffy/slt04.GIF
	frame	data/chars/Luffy/slt05.GIF
	frame	data/chars/Luffy/slt06.GIF
	frame	data/chars/Luffy/slt07.GIF
	frame	data/chars/Luffy/slt08.GIF
	frame	data/chars/Luffy/slt09.GIF
	frame	data/chars/Luffy/slt10.GIF
		
anim	special
	energycost	0
	mponly	1
	@cmd	enoughmp
	loop	0
	offset	44 77
	weaponframe	20 1
	delay	10
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	frame	data/chars/Luffy/trans01.gif
	sound	data/chars/Luffy/intro.wav
	frame	data/chars/Luffy/trans02.gif
	frame	data/chars/Luffy/trans03.gif
	frame	data/chars/Luffy/trans04.gif
	frame	data/chars/Luffy/trans05.gif
	frame	data/chars/Luffy/trans06.gif
	frame	data/chars/Luffy/trans07.gif
	frame	data/chars/Luffy/trans08.gif
	frame	data/chars/Luffy/trans09.gif
	frame	data/chars/Luffy/trans10.gif
	frame	data/chars/Luffy/trans11.gif
	frame	data/chars/Luffy/trans1b.gif
	frame	data/chars/Luffy/trans1b.gif
	frame	data/chars/Luffy/trans1b.gif
	frame	data/chars/Luffy/trans1b.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	sound	data/chars/Luffy/gear.wav
	offset	64 77
	delay	6
	frame	data/chars/Luffy/trans12.gif
	frame	data/chars/Luffy/trans13.gif
	frame	data/chars/Luffy/trans14.gif
	frame	data/chars/Luffy/trans15.gif
	offset	38 77
	frame	data/chars/Luffy/trans16.gif
	frame	data/chars/Luffy/trans16.gif
		
anim	throw
	loop	0
	offset	38 77
	delay	7
	frame	data/chars/Luffy/throw01.gif
	frame	data/chars/Luffy/throw02.gif
		
anim	waiting
	loop	1
	delay	9
	offset	38 77
	frame	data/chars/Luffy/wait02.GIF
	frame	data/chars/Luffy/wait03.GIF
	frame	data/chars/Luffy/wait04.GIF
	frame	data/chars/Luffy/wait05.GIF
	frame	data/chars/Luffy/wait06.GIF
	frame	data/chars/Luffy/wait07.GIF
	frame	data/chars/Luffy/wait08.GIF
	frame	data/chars/Luffy/wait09.GIF
	frame	data/chars/Luffy/wait10.GIF
	frame	data/chars/Luffy/wait11.GIF
	frame	data/chars/Luffy/wait12.GIF
	frame	data/chars/Luffy/wait13.GIF
	frame	data/chars/Luffy/wait14.GIF
	frame	data/chars/Luffy/wait15.GIF
	frame	data/chars/Luffy/wait16.GIF
	frame	data/chars/Luffy/wait17.GIF
	frame	data/chars/Luffy/wait18.GIF
	frame	data/chars/Luffy/wait19.GIF
	frame	data/chars/Luffy/wait20.GIF
	frame	data/chars/Luffy/wait21.GIF
	frame	data/chars/Luffy/wait22.GIF
	frame	data/chars/Luffy/wait23.GIF
	frame	data/chars/Luffy/wait24.GIF
	frame	data/chars/Luffy/wait25.GIF
	frame	data/chars/Luffy/wait26.GIF
	frame	data/chars/Luffy/wait27.GIF
	frame	data/chars/Luffy/wait28.GIF
	frame	data/chars/Luffy/wait29.GIF
		
anim	walk
	loop	1
	delay	7
	offset	38 77
	bbox	36 46 13 20
	sound	data/sounds/walk.wav
	frame	data/chars/Luffy/walk01.gif
	frame	data/chars/Luffy/walk02.gif
	frame	data/chars/Luffy/walk03.gif
	frame	data/chars/Luffy/walk04.gif
	sound	data/sounds/walk.wav
	frame	data/chars/Luffy/walk05.gif
	frame	data/chars/Luffy/walk06.gif
	frame	data/chars/Luffy/walk07.gif
	frame	data/chars/Luffy/walk08.gif
		
#|edited by openBor Stats v 0.67
		
