name				manti
	frame	data/chars/manti/a303.gif
	shadowcoords 193 209
	offset     225 207
	frame	data/chars/manti/a303.gif
	shadowcoords 193 208
	offset     225 206
	frame	data/chars/manti/a303.gif
	shadowcoords 193 207
	offset     225 205
	frame	data/chars/manti/a303.gif

	shadowcoords 193 206
	offset     225 204
	frame	data/chars/manti/a303.gif
	shadowcoords 193 205
	offset     225 203
	frame	data/chars/manti/a303.gif
	shadowcoords 193 204
	offset     225 202
	frame	data/chars/manti/a303.gif
	shadowcoords 193 203
	offset     225 201
	frame	data/chars/manti/a303.gif
	shadowcoords 193 202
	offset     225 200
	frame	data/chars/manti/a303.gif
	shadowcoords 193 201
	offset     225 199
	frame	data/chars/manti/a303.gif

	shadowcoords 193 200
	offset     225 199
	sound   data/sounds/fall01.wav
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	8
	frame	data/chars/manti/a207.gif
	frame	data/chars/manti/a202.gif
	frame	data/chars/manti/a201.gif


anim attack6
	subentity	dust02
	spawnframe	25 0 0 0 0
	shadowcoords 193 200
	range	351 400
	loop	0
	offset     225 198
	bbox	191 143 79 55
	hitfx   data/sounds/hit01.wav
	delay	12
	frame	data/chars/manti/a201.gif
	frame	data/chars/manti/a202.gif

	delay	3
	sound   data/sounds/manti03.wav
	offset     226 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif
	offset     224 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif
	offset     226 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif
	offset     224 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif
	offset     226 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif

	offset     224 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif
	offset     226 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif
	offset     224 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif
	offset     226 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif
	offset     224 198
	frame	data/chars/manti/a203.gif
	offset     225 198
	frame	data/chars/manti/a203.gif

	delay	12
	frame	data/chars/manti/a202.gif
	frame	data/chars/manti/a201.gif
	frame	data/chars/manti/a204.gif

	delay	2
	attack2  136 124 206 75 15 1 0 0 50
	move	14
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	12
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	10
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	8
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	6
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif
	move	4
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif
	move	2
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif

	move	0
	sound   data/sounds/fall01.wav
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	6
	frame	data/chars/manti/a207.gif
	frame	data/chars/manti/a202.gif
	frame	data/chars/manti/a201.gif
	frame	data/chars/manti/a203.gif

	delay	2
	attack2  136 124 206 75 15 1 0 0 50
	move	14
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	12
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	10
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	8
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	6
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif
	move	4
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif
	move	2
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif

	move	0
	sound   data/sounds/fall01.wav
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	6
	frame	data/chars/manti/a207.gif
	frame	data/chars/manti/a202.gif
	frame	data/chars/manti/a201.gif
	frame	data/chars/manti/a203.gif

	delay	2
	attack2  136 124 206 75 15 1 0 0 50
	move	14
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	12
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	10
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	8
	frame	data/chars/manti/a205.gif
	frame	data/chars/manti/a205.gif
	move	6
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif
	move	4
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif
	move	2
	frame	data/chars/manti/a206.gif
	frame	data/chars/manti/a206.gif

	move	0
	sound   data/sounds/fall01.wav
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	6
	frame	data/chars/manti/a207.gif
	frame	data/chars/manti/a202.gif
	frame	data/chars/manti/a201.gif
	frame	data/chars/manti/a203.gif


anim riseattack
	shadowcoords 193 200
	jumpframe	4 1.5 3.5
	dropframe	5
	landframe	6
	range	0 200
	loop	0
	offset     225 198
	bbox	0 0 0 0
	hitfx   data/sounds/hit01.wav
	delay	8
	frame	data/chars/manti/rise01.gif
	frame	data/chars/manti/rise02.gif
	frame	data/chars/manti/rise03.gif

	delay	12
	frame	data/chars/manti/a204.gif

	sound   data/sounds/manti03.wav
	delay	99
	attack2  136 124 206 75 15 1 0 0 50
	frame	data/chars/manti/a205.gif
	delay	99
	frame	data/chars/manti/a206.gif

	sound   data/sounds/fall01.wav
	attack2  0 0 0 0 0 0 0 0 0 0
	delay	8
	frame	data/chars/manti/a207.gif
	frame	data/chars/manti/a202.gif
	frame	data/chars/manti/a201.gif


#----------------------------------------ATTACK 1----------------------------------------;

anim pain1
	shadowcoords 193 200
	load		blood01
	subentity	blood01
	spawnframe	0 0 -15 0 0
#	subentity	dust01
#	spawnframe	12 0 0 0 0
	loop	0
	bbox	191 143 79 55
	sound   data/sounds/manti01.wav

	delay   2
	offset     228 198
	frame	data/chars/manti/pain101.gif
	offset     225 198
	frame	data/chars/manti/pain101.gif
	offset     222 198
	frame	data/chars/manti/pain101.gif
	offset     225 198
	frame	data/chars/manti/pain101.gif
	offset     228 198
	frame	data/chars/manti/pain101.gif
	offset     225 198
	frame	data/chars/manti/pain101.gif
	offset     222 198
	frame	data/chars/manti/pain101.gif
	offset     225 198
	frame	data/chars/manti/pain101.gif
	offset     228 198
	frame	data/chars/manti/pain101.gif
	offset     225 198
	frame	data/chars/manti/pain101.gif
	offset     222 198
	frame	data/chars/manti/pain101.gif
	offset     225 198
	frame	data/chars/manti/pain101.gif
	
	delay   2
	move	-3
	frame	data/chars/manti/pain101.gif
	frame	data/chars/manti/pain101.gif
	move	-2
	frame	data/chars/manti/pain101.gif
	frame	data/chars/manti/pain101.gif
	move	-2
	frame	data/chars/manti/pain101.gif
	frame	data/chars/manti/pain101.gif
	move	-1
	frame	data/chars/manti/pain101.gif
	frame	data/chars/manti/pain101.gif
	move	-1
	frame	data/chars/manti/pain101.gif
	frame	data/chars/manti/pain101.gif
	
	move	0
	delay   6
	frame	data/chars/manti/pain101.gif
	delay   2
	frame	data/chars/manti/pain101.gif
	delay   2
	frame	data/chars/manti/pain101.gif
	delay   2
	frame	data/chars/manti/pain101.gif
	delay   2
	frame	data/chars/manti/pain101.gif
	delay   2
	frame	data/chars/manti/pain101.gif

anim fall1
	shadowcoords 193 200
	load		blood01
	subentity	blood01
