name	Caprcorn
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif

anim pain2
	loop	0
        sound   data/chars/rat_/pain.wav
	offset	118 118
	delay	6
	bbox	92 32 48 85
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif
	frame	data/chars/Caprcorn/FreezeP.gif

anim pain3
	loop	0
        sound   data/chars/rat_/pain.wav
	offset	118 118
	delay	3
	bbox	92 32 48 85
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif

anim fall
	loop	0
	offset	118 118
	delay   30
        sound   data/chars/rat_/fall.wav
	attack1  88  33  48  83  10  0  0  0  0  20
	bbox  88  33  48  83
	frame	data/chars/Caprcorn/Pain2.gif

anim BURN
	loop	0
	offset	118 118
	delay	3
        sound   data/chars/rat_/fall.wav
	attack1  88  33  48  83  10  0  0  0  0  20
	bbox  88  33  48  83
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/BurnP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/Pain2.gif
	bbox	0 0 0 0
	delay	20
	Attack1  0
	frame	data/chars/Caprcorn/Pain2.gif

anim Shock
	loop	0
	offset	118 118
	delay	3
        sound   data/chars/rat_/fall.wav
	attack1  88  33  48  83  10  0  0  0  0  20
	bbox  88  33  48  83
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/ShockP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/Pain2.gif
	bbox	0 0 0 0
	delay	20
	Attack1  0
	frame	data/chars/Caprcorn/Pain2.gif

anim Fall3
	loop	0
	offset	118 118
	delay	3
        sound   data/chars/rat_/fall.wav
	attack1  88  33  48  83  10  0  0  0  0  20
	bbox  88  33  48  83
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/DrainP.gif
	frame	data/chars/Caprcorn/Pain2.gif
	frame	data/chars/Caprcorn/Pain2.gif
	bbox	0 0 0 0
	delay	20
	Attack1  0
	frame	data/chars/Caprcorn/Pain2.gif

anim rise
	loop	0
	offset	118 118
	delay	9
	frame	data/chars/Caprcorn/idle0.gif



anim attack1
	range	10 70
	loop	0
	delay	9
	offset	118 118
	bbox	93 41 67 77
        move    0
		attack1  0  0  0  0  30  1
	frame	data/chars/Caprcorn/A1-0.gif
	frame	data/chars/Caprcorn/A1-1.gif
	frame	data/chars/Caprcorn/A1-2.gif
	frame	data/chars/Caprcorn/A1-3.gif
	frame	data/chars/Caprcorn/A1-4.gif
		attack1  143  62  51  54  60  1
	frame	data/chars/Caprcorn/A1-5.gif
		delay  40
	frame	data/chars/Caprcorn/A1-6.gif
		delay  5
		attack1  0
	frame	data/chars/Caprcorn/A1-4.gif
	frame	data/chars/Caprcorn/A1-3.gif
	frame	data/chars/Caprcorn/A1-2.gif
	frame	data/chars/Caprcorn/A1-1.gif
	frame	data/chars/Caprcorn/A1-0.gif

anim SPECIAL2
	range	10 70
	loop	0
	delay	9
	offset	118 118
        move    0
		attack1  0  0  0  0  30  1
	frame	data/chars/Caprcorn/A1-0.gif
	frame	data/chars/Caprcorn/A1-1.gif
	frame	data/chars/Caprcorn/A1-2.gif
	frame	data/chars/Caprcorn/A1-3.gif
	frame	data/chars/Caprcorn/A1-4.gif
		attack1  143  62  51  54  60  1
	frame	data/chars/Caprcorn/A1-5.gif
		delay  40
	frame	data/chars/Caprcorn/A1-6.gif
		delay  5
		attack1  0
	frame	data/chars/Caprcorn/A1-4.gif
	frame	data/chars/Caprcorn/A1-3.gif
	frame	data/chars/Caprcorn/A1-2.gif
	frame	data/chars/Caprcorn/A1-1.gif
	frame	data/chars/Caprcorn/A1-0.gif














