name	Mecha_Sonic
	attack3	128 94 49 41 10 0 0 0 0 20
	frame	data/chars/m/Fall0.gif
	delay	100
	frame	data/chars/m/Fall0.gif
	delay	25
	bbox	0
	Attack1	0
	frame	data/chars/m/Fall1.gif
		
anim	idle
	loop	1
	offset	155 136
	bbox	139 82 29 54
	delay	10
	frame	data/chars/m/Idle.gif
		
anim	pain
	loop	0
	offset	155 136
	bbox	135 82 35 54
	delay	36
	frame	data/chars/m/pain.gif
		
anim	pain2
	loop	0
	offset	155 136
	bbox	135 82 35 54
	delay	3
	quakeframe	0 3 4
	Move	-3
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	Attack1	0
	frame	data/chars/m/pain.gif
	Move	-2
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	Move	-1
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	Move	0
	delay	8
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
		
anim	pain3
	loop	0
	offset	155 136
	bbox	135 82 35 54
	delay	2
	quakeframe	0 3 4
	Move	-5
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	Move	-4
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	Move	-3
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	Move	-2
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	Move	-1
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	Move	0
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	delay	8
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
		
anim	pain4
	loop	0
	delay	6
	offset	155 136
	jumpframe	11 2.4
	landframe	18
	bbox	126 113 42 25
	frame	data/chars/m/Fall1.gif
	offset	157 136
	frame	data/chars/m/Fall1.gif
	offset	155 136
	frame	data/chars/m/Fall1.gif
	offset	157 136
	frame	data/chars/m/Fall1.gif
	offset	155 136
	frame	data/chars/m/Fall1.gif
	offset	157 136
	frame	data/chars/m/Fall1.gif
	offset	155 136
	frame	data/chars/m/Fall1.gif
	offset	157 136
	frame	data/chars/m/Fall1.gif
	offset	155 136
	delay	50
	bbox	0 0 0 0
	frame	data/chars/m/Fall1.gif
	delay	15
	frame	data/chars/m/Rise0.gif
	frame	data/chars/m/Rise1.gif
		
anim	pain5
	loop	0
	offset	155 136
	bbox	135 82 35 54
	jumpframe	0 3
	delay	3
	quakeframe	0 3 4
	frame	data/chars/m/pain.gif
	delay	2
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	delay	9
	frame	data/chars/m/pain.gif
		
anim	pain6
	loop	0
	offset	155 136
	bbox	135 82 35 54
	jumpframe	0 3 -1.5
	delay	3
	quakeframe	0 3 4
	frame	data/chars/m/pain.gif
	delay	2
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	frame	data/chars/m/pain.gif
	delay	9
	frame	data/chars/m/pain.gif
		
anim	rise
	loop	0
	offset	155 136
	delay	15
	frame	data/chars/m/Rise0.gif
	frame	data/chars/m/Rise1.gif
		
anim	walk
	loop	1
	delay	5
	offset	155 136
	bbox	141 87 43 50
	frame	data/chars/m/Walk-0.gif
	frame	data/chars/m/Walk-1.gif
	frame	data/chars/m/Walk-2.gif
	frame	data/chars/m/Walk-1.gif
	frame	data/chars/m/Walk-3.gif
	frame	data/chars/m/Walk-1.gif
		
#|edited by openBor Stats v 0.53
		
